rb,Month,CI_max_lower,CI_max_upper
p10,1,287.9131414259643,289.0021125860807
p10,2,287.88451662052614,288.9794241003964
p10,3,291.0292600057121,292.07699977270136
p10,4,293.0371228813355,294.18782978967187
p10,5,296.16038094880497,297.1482309738231
p10,6,299.2777878072752,300.2095469048004
p10,7,302.50823519987205,303.117666034193
p10,8,303.1124304239314,303.76877590271
p10,9,301.45414620007006,302.39750618867953
p10,10,296.47843806779696,297.58632940565116
p10,11,291.95192458819815,293.11444754344893
p10,12,286.5694265109953,287.59938415981196
