rb,Month,CI_min_lower,CI_min_upper
p91,1,279.3001204072091,280.95194724421185
p91,2,280.4239930255398,282.0029413669177
p91,3,284.5336224495785,285.8878910366468
p91,4,287.79959187201695,288.86796772709255
p91,5,292.155449792029,292.9538548596736
p91,6,296.43785317550606,296.91685034080234
p91,7,297.2335576939352,297.5405078907415
p91,8,297.3446362113267,297.73619358996166
p91,9,294.7260101094381,295.45154053320573
p91,10,288.4406763838172,289.80383903785724
p91,11,283.31100660415547,284.5718011062658
p91,12,281.1978665255719,282.8422936597091
