state,Year,cdd
Alabama,2020,1478.361840145275
Alabama,2021,1422.0246031796232
Alabama,2022,1245.8778726563132
Alabama,2023,1499.1532377967294
Alabama,2024,1270.5835531250827
Alabama,2025,1392.2623597472336
Alabama,2026,1142.999048874166
Alabama,2027,1254.0702572059286
Alabama,2028,1320.785290097685
Alabama,2029,1300.0424420166728
Alabama,2030,899.1279927715311
Alabama,2031,1091.6073770961902
Alabama,2032,1206.997430560141
Alabama,2033,1351.1596280851493
Alabama,2034,1166.6462497815128
Alabama,2035,1324.5570777171065
Alabama,2036,1425.7741920788517
Alabama,2037,1243.799953291758
Alabama,2038,1038.022439355074
Alabama,2039,1066.1385136064296
Alabama,2040,1265.8217472499573
Alabama,2041,1180.9020949147866
Alabama,2042,1261.993158944613
Alabama,2043,1238.3207938396554
Alabama,2044,1183.0994094951366
Alabama,2045,1177.009444603073
Alabama,2046,1033.9408988284576
Alabama,2047,1042.9651969675097
Alabama,2048,1190.155987906303
Alabama,2049,1226.2918702265629
Alabama,2050,1468.4220388652493
Alabama,2051,1074.4580764025388
Alabama,2052,821.6201999588224
Alabama,2053,1203.0000143891552
Alabama,2054,1384.5212908564981
Alabama,2055,1004.298245142918
Alabama,2056,1003.1616351036805
Alabama,2057,836.0680148535735
Alabama,2058,1113.4127663168879
Alabama,2059,964.1928113495635
Alabama,2060,1057.8878729801352
Alabama,2061,1017.2197439163897
Alabama,2062,870.936612982878
Alabama,2063,1117.8634078236146
Alabama,2064,915.2221816252126
Alabama,2065,1069.4940143015558
Alabama,2066,852.7642999099542
Alabama,2067,880.9332313528846
Alabama,2068,964.4868885730489
Alabama,2069,968.6300058174031
Alabama,2070,598.8678664387438
Alabama,2071,788.9293337983102
Alabama,2072,854.3632610145983
Alabama,2073,981.1245044935872
Alabama,2074,844.2788089662624
Alabama,2075,928.4025812764359
Alabama,2076,1019.6384176286762
Alabama,2077,830.3112281996849
Alabama,2078,717.2191573687239
Alabama,2079,688.5054932178061
Alabama,2080,887.1995210025507
Alabama,2081,768.0200326260109
Alabama,2082,875.2308833201646
Alabama,2083,864.7715899487596
Alabama,2084,817.6395347327287
Alabama,2085,784.584510594173
Alabama,2086,654.9151460552829
Alabama,2087,688.3864117770052
Alabama,2088,787.4299200999055
Alabama,2089,809.4782926323231
Alabama,2090,1071.1880142553741
Alabama,2091,684.7582851197707
Alabama,2092,500.2994922821731
Alabama,2093,803.6992860875541
Alabama,2094,954.0860714360997
Alabama,2095,708.3431885455954
Alabama,2096,678.0631214345067
Alabama,2097,523.8489343477555
Alabama,2098,760.238393087872
Alabama,2099,627.7320504673121
