state,Year,Date
Alabama,2022,2022-01-10
Alabama,2022,2022-01-11
Alabama,2022,2022-01-17
Alabama,2023,2023-12-24
Alabama,2023,2023-12-25
Alabama,2023,2023-12-26
Alabama,2025,2025-01-20
Alabama,2025,2025-01-21
Alabama,2025,2025-01-22
Alabama,2025,2025-12-26
Alabama,2026,2026-01-27
Alabama,2026,2026-01-28
Alabama,2029,2029-12-22
Alabama,2029,2029-12-23
Alabama,2029,2029-12-24
Alabama,2033,2033-03-14
Alabama,2034,2034-01-18
Alabama,2034,2034-01-19
Alabama,2036,2036-02-04
Alabama,2036,2036-02-05
Alabama,2037,2037-01-17
Alabama,2043,2043-01-24
Alabama,2054,2054-01-07
Alabama,2054,2054-01-24
Alabama,2054,2054-01-29
Alabama,2055,2055-01-08
Alabama,2058,2058-01-17
Alabama,2062,2062-01-11
Alabama,2062,2062-01-17
Alabama,2063,2063-12-24
Alabama,2063,2063-12-25
Alabama,2063,2063-12-26
Alabama,2065,2065-01-20
Alabama,2065,2065-01-21
Alabama,2069,2069-12-22
Alabama,2069,2069-12-23
Alabama,2069,2069-12-24
Alabama,2074,2074-01-19
Alabama,2076,2076-02-04
Alabama,2076,2076-02-05
Alabama,2083,2083-01-24
Alabama,2094,2094-01-07
Alabama,2094,2094-01-29
Alabama,2095,2095-01-08
