state,Year,hdd
Alabama,2020,1405.7099247835395
Alabama,2021,1355.618247239345
Alabama,2022,1329.5509634226119
Alabama,2023,1207.1665416957726
Alabama,2024,1307.0293619330614
Alabama,2025,1399.6909261263536
Alabama,2026,1503.4891998570183
Alabama,2027,1358.603501055945
Alabama,2028,1358.1523344431969
Alabama,2029,1278.6424094375488
Alabama,2030,1560.7172118371227
Alabama,2031,1473.825511536377
Alabama,2032,1239.6485372113239
Alabama,2033,1428.4660469813257
Alabama,2034,1244.5573104390946
Alabama,2035,1470.9034072479283
Alabama,2036,1346.2400077114503
Alabama,2037,1229.714247001937
Alabama,2038,1728.7451478710504
Alabama,2039,1560.9726155584021
Alabama,2040,1637.83009271813
Alabama,2041,1357.5175378044542
Alabama,2042,1671.7801832226144
Alabama,2043,1381.762495338358
Alabama,2044,1523.6093135097408
Alabama,2045,1482.3714764299775
Alabama,2046,1667.0634197815548
Alabama,2047,1793.5922834810885
Alabama,2048,1541.836859605558
Alabama,2049,1457.2062539073675
Alabama,2050,1834.8891755067002
Alabama,2051,1797.512006299487
Alabama,2052,1728.2654516862572
Alabama,2053,1431.5037513241073
Alabama,2054,1536.8861231875658
Alabama,2055,1786.127447854065
Alabama,2056,1894.5579512578013
Alabama,2057,1675.0820703183429
Alabama,2058,1788.5815524381057
Alabama,2059,1841.386105499875
Alabama,2060,1985.1727523839547
Alabama,2061,2063.7047977738757
Alabama,2062,2033.5829480719274
Alabama,2063,1800.0635654675289
Alabama,2064,1979.046379923317
Alabama,2065,2148.200608398562
Alabama,2066,2267.0484497627904
Alabama,2067,2000.250078286197
Alabama,2068,2064.3384889847252
Alabama,2069,1938.1050667724749
Alabama,2070,2315.6083942606883
Alabama,2071,2166.496780963436
Alabama,2072,1967.7385538968806
Alabama,2073,2137.4159300074
Alabama,2074,1982.342536268043
Alabama,2075,2200.514811234151
Alabama,2076,2070.048256400048
Alabama,2077,1959.5456096963617
Alabama,2078,2546.596684136468
Alabama,2079,2428.4344448682095
Alabama,2080,2419.1879711778683
Alabama,2081,2121.9573081279036
Alabama,2082,2459.917050762444
Alabama,2083,2227.6483153854715
Alabama,2084,2405.0444954923846
Alabama,2085,2214.717937572501
Alabama,2086,2470.5221611295583
Alabama,2087,2622.7701856579856
Alabama,2088,2371.180217898756
Alabama,2089,2202.2685156380603
Alabama,2090,2659.656196863223
Alabama,2091,2601.1943401028725
Alabama,2092,2633.23497390905
Alabama,2093,2249.6964309914115
Alabama,2094,2319.7916837103057
Alabama,2095,2766.621649301592
Alabama,2096,2762.2118695676145
Alabama,2097,2529.641411385775
Alabama,2098,2626.979934038001
Alabama,2099,2662.5815755412773
