state,Year,cdd
Arizona,2020,833.5870827218675
Arizona,2021,666.6782252465251
Arizona,2022,911.5531197916964
Arizona,2023,920.9954023030218
Arizona,2024,872.7730293701661
Arizona,2025,954.9652408990285
Arizona,2026,652.881505613066
Arizona,2027,971.0241658250768
Arizona,2028,855.1925462747754
Arizona,2029,721.0212468380587
Arizona,2030,910.8552505664616
Arizona,2031,822.7486590403366
Arizona,2032,837.983006530518
Arizona,2033,751.3762674996838
Arizona,2034,776.4947833115159
Arizona,2035,581.9618268829361
Arizona,2036,604.4420897983832
Arizona,2037,776.7202469456614
Arizona,2038,862.5619227245603
Arizona,2039,677.9637062064498
Arizona,2040,699.0357510310944
Arizona,2041,856.6772833264066
Arizona,2042,717.7481739048558
Arizona,2043,650.1710749197003
Arizona,2044,779.6079941170201
Arizona,2045,609.5047165504332
Arizona,2046,664.0652707460852
Arizona,2047,749.1431994924947
Arizona,2048,706.9177993304088
Arizona,2049,671.9288505340527
Arizona,2050,710.5959604608943
Arizona,2051,785.4968008642925
Arizona,2052,568.3824059867961
Arizona,2053,733.5603452238047
Arizona,2054,403.9660158593198
Arizona,2055,535.503643460469
Arizona,2056,497.7329153548239
Arizona,2057,418.5138089070238
Arizona,2058,470.43952824163
Arizona,2059,671.2243819685569
Arizona,2060,416.42509243811713
Arizona,2061,324.46150350598344
Arizona,2062,512.2806470495639
Arizona,2063,513.6994953345844
Arizona,2064,448.09576411275344
Arizona,2065,559.0553947877561
Arizona,2066,312.6247193145949
Arizona,2067,576.7960168224821
Arizona,2068,461.0403748851987
Arizona,2069,396.642614448463
Arizona,2070,540.2258435327357
Arizona,2071,402.69401642716525
Arizona,2072,419.9223561747784
Arizona,2073,364.12697095318765
Arizona,2074,334.1797310380756
Arizona,2075,250.39900567548364
Arizona,2076,233.6828654634616
Arizona,2077,355.2608844574296
Arizona,2078,382.21287183904576
Arizona,2079,258.86904404226584
Arizona,2080,260.2984609309041
Arizona,2081,421.760094477866
Arizona,2082,304.7932030482569
Arizona,2083,221.76716767947886
Arizona,2084,348.68004266796845
Arizona,2085,213.56952854001167
Arizona,2086,271.8876251415116
Arizona,2087,370.6723196183969
Arizona,2088,302.9434394184508
Arizona,2089,244.0659172040601
Arizona,2090,249.60955011072087
Arizona,2091,328.5118123340205
Arizona,2092,206.98044829875136
Arizona,2093,335.7072873869339
Arizona,2094,119.83995898432369
Arizona,2095,194.17563900438847
Arizona,2096,189.21534027175665
Arizona,2097,144.63889270362574
Arizona,2098,124.66267745287723
Arizona,2099,272.43949143920804
