rb,Year,Date
p134,2030,2030-06-26
p134,2035,2035-07-28
p134,2035,2035-07-29
p134,2043,2043-07-14
p134,2043,2043-07-15
p134,2057,2057-06-20
p134,2060,2060-06-29
p134,2065,2065-07-07
p134,2065,2065-07-08
p134,2069,2069-06-18
p134,2069,2069-06-19
p134,2069,2069-07-03
p134,2069,2069-07-04
p134,2069,2069-07-05
p134,2069,2069-07-06
p134,2069,2069-07-19
p134,2070,2070-06-25
p134,2070,2070-06-26
p134,2070,2070-06-27
p134,2070,2070-06-28
p134,2074,2074-06-24
p134,2074,2074-06-25
p134,2074,2074-06-26
p134,2074,2074-06-28
p134,2074,2074-06-29
p134,2074,2074-06-30
p134,2075,2075-07-26
p134,2075,2075-07-27
p134,2075,2075-07-28
p134,2075,2075-07-29
p134,2078,2078-07-15
p134,2078,2078-07-16
p134,2083,2083-07-13
p134,2083,2083-07-14
p134,2083,2083-07-15
p134,2083,2083-07-16
p134,2085,2085-07-12
p134,2085,2085-07-13
p134,2085,2085-07-16
p134,2085,2085-07-17
p134,2085,2085-07-18
p134,2087,2087-07-04
p134,2087,2087-07-05
p134,2089,2089-07-18
p134,2093,2093-06-28
p134,2093,2093-06-29
p134,2096,2096-06-19
p134,2096,2096-06-20
p134,2097,2097-06-19
p134,2097,2097-06-20
p134,2097,2097-06-21
p134,2097,2097-06-24
p134,2097,2097-07-07
