state,Year,hdd
Arizona,2020,1405.1255565571328
Arizona,2021,1424.8875851172963
Arizona,2022,1218.6381018356442
Arizona,2023,1269.7619733586107
Arizona,2024,1322.5334023115481
Arizona,2025,1356.1327869937659
Arizona,2026,1278.2532100596827
Arizona,2027,1379.2661546335921
Arizona,2028,1467.090944600075
Arizona,2029,1528.1855508342042
Arizona,2030,1395.8391014081171
Arizona,2031,1320.4149387662258
Arizona,2032,1409.2450494247053
Arizona,2033,1287.826027484036
Arizona,2034,1482.3755329677488
Arizona,2035,1339.6511454088525
Arizona,2036,1519.615922915831
Arizona,2037,1467.511569285279
Arizona,2038,1297.5331758838463
Arizona,2039,1337.8198779041682
Arizona,2040,1527.9445812867107
Arizona,2041,1547.3590579829408
Arizona,2042,1435.9254757110502
Arizona,2043,1551.4858889155598
Arizona,2044,1339.6089941117516
Arizona,2045,1425.2192385414655
Arizona,2046,1429.2349421443892
Arizona,2047,1502.3338042662513
Arizona,2048,1372.1756888688742
Arizona,2049,1438.2567908047308
Arizona,2050,1395.898658031691
Arizona,2051,1408.8218030873509
Arizona,2052,1534.1123679125778
Arizona,2053,1369.5705126264538
Arizona,2054,1391.9761718799487
Arizona,2055,1414.893309322747
Arizona,2056,1397.623775721273
Arizona,2057,1467.1665489393506
Arizona,2058,1503.342544586187
Arizona,2059,1324.7347543242827
Arizona,2060,1604.8314903167316
Arizona,2061,1641.0340857987248
Arizona,2062,1424.3344751907312
Arizona,2063,1475.2084905941945
Arizona,2064,1532.6867982110443
Arizona,2065,1551.0782049807904
Arizona,2066,1487.4525631024383
Arizona,2067,1596.5918487960944
Arizona,2068,1695.9368275785405
Arizona,2069,1749.961024782501
Arizona,2070,1613.8857706435385
Arizona,2071,1522.0309806607884
Arizona,2072,1632.380100623353
Arizona,2073,1496.9291993367233
Arizona,2074,1700.409168754438
Arizona,2075,1549.1817552534972
Arizona,2076,1722.151188031361
Arizona,2077,1667.9595279160194
Arizona,2078,1481.3665165907482
Arizona,2079,1548.2302056421076
Arizona,2080,1704.4896188534576
Arizona,2081,1757.5974944917104
Arizona,2082,1615.8496355889909
Arizona,2083,1736.992539884587
Arizona,2084,1512.7246831843936
Arizona,2085,1602.168807670286
Arizona,2086,1587.3474049439328
Arizona,2087,1679.5539920470662
Arizona,2088,1544.1083626344232
Arizona,2089,1605.9070293120092
Arizona,2090,1555.297580182963
Arizona,2091,1570.2940636593482
Arizona,2092,1698.1499050421621
Arizona,2093,1524.234619078072
Arizona,2094,1544.03105420801
Arizona,2095,1564.330724497248
Arizona,2096,1557.4394532851015
Arizona,2097,1631.1001491820443
Arizona,2098,1644.2897441206646
Arizona,2099,1423.4061461247277
