state,Year,cdd
Arkansas,2020,1971.931704885613
Arkansas,2021,1701.5493216496689
Arkansas,2022,1813.9306500358869
Arkansas,2023,2076.027796798694
Arkansas,2024,1809.4757065853228
Arkansas,2025,1981.313398600312
Arkansas,2026,1570.0011252607183
Arkansas,2027,1673.9958063400563
Arkansas,2028,1861.1348670219259
Arkansas,2029,1915.56893228542
Arkansas,2030,1463.153951098968
Arkansas,2031,1561.3942582123718
Arkansas,2032,1529.2158873391868
Arkansas,2033,1928.6761438537114
Arkansas,2034,1709.5500545852908
Arkansas,2035,1756.3629781608597
Arkansas,2036,1930.5445353069408
Arkansas,2037,1882.30576430341
Arkansas,2038,1515.0040445304019
Arkansas,2039,1440.8279651354242
Arkansas,2040,1787.4569239892148
Arkansas,2041,1653.270647651719
Arkansas,2042,1778.9028127845866
Arkansas,2043,1707.2905210577533
Arkansas,2044,1629.185735107439
Arkansas,2045,1590.5482098999776
Arkansas,2046,1465.4060719819365
Arkansas,2047,1596.0711537360824
Arkansas,2048,1879.5690273556206
Arkansas,2049,1805.650720109469
Arkansas,2050,1876.482965829339
Arkansas,2051,1694.2244427939372
Arkansas,2052,1308.3565063078042
Arkansas,2053,2000.959682034416
Arkansas,2054,2118.0777714958
Arkansas,2055,1715.177548017969
Arkansas,2056,1518.2311667560493
Arkansas,2057,1338.9049755446367
Arkansas,2058,1891.3913600258074
Arkansas,2059,1813.9506972623085
Arkansas,2060,1648.5261263342154
Arkansas,2061,1396.9610785197774
Arkansas,2062,1516.260601543009
Arkansas,2063,1778.4392550975053
Arkansas,2064,1504.7817691192683
Arkansas,2065,1692.84098983472
Arkansas,2066,1287.1408828062113
Arkansas,2067,1376.2097814516524
Arkansas,2068,1558.301237705236
Arkansas,2069,1622.2823492265043
Arkansas,2070,1147.3564294885696
Arkansas,2071,1273.799995251121
Arkansas,2072,1247.0254212119537
Arkansas,2073,1623.3205398518908
Arkansas,2074,1429.8846605564931
Arkansas,2075,1453.7572142715185
Arkansas,2076,1645.707400134403
Arkansas,2077,1573.915381544411
Arkansas,2078,1276.2119505349772
Arkansas,2079,1215.296813628719
Arkansas,2080,1553.3249363023624
Arkansas,2081,1417.4060056728367
Arkansas,2082,1537.7583276401404
Arkansas,2083,1507.432533812813
Arkansas,2084,1410.1658116701615
Arkansas,2085,1379.5879778416638
Arkansas,2086,1250.9396612010555
Arkansas,2087,1405.6177566781473
Arkansas,2088,1641.9474336630783
Arkansas,2089,1564.7779627087432
Arkansas,2090,1650.8166487787028
Arkansas,2091,1469.651322659091
Arkansas,2092,1114.0613404919513
Arkansas,2093,1751.8910566984382
Arkansas,2094,1852.955333843904
Arkansas,2095,1498.7604760713639
Arkansas,2096,1319.8489362797418
Arkansas,2097,1151.946426383594
Arkansas,2098,1649.7156431911312
Arkansas,2099,1601.9975210940634
