state,Year,hdd
Arkansas,2020,1525.0353992750825
Arkansas,2021,1320.6444779377634
Arkansas,2022,1329.2708605691132
Arkansas,2023,1304.8646268754053
Arkansas,2024,1265.030668925534
Arkansas,2025,1443.5078828602627
Arkansas,2026,1449.5133651536776
Arkansas,2027,1470.467602777152
Arkansas,2028,1384.1034807624396
Arkansas,2029,1195.663927397292
Arkansas,2030,1432.0584325461245
Arkansas,2031,1425.5944906625523
Arkansas,2032,1149.103264807406
Arkansas,2033,1366.9552511993734
Arkansas,2034,1390.6396266061925
Arkansas,2035,1392.5575017722265
Arkansas,2036,1408.3284071159842
Arkansas,2037,1272.1279387326776
Arkansas,2038,1750.171315435865
Arkansas,2039,1394.7547921895125
Arkansas,2040,1621.0032367720767
Arkansas,2041,1489.084532617107
Arkansas,2042,1405.1566286492455
Arkansas,2043,1380.4559674936556
Arkansas,2044,1371.3539541778125
Arkansas,2045,1627.2536901329988
Arkansas,2046,1624.8351726276699
Arkansas,2047,1553.1535185075634
Arkansas,2048,1347.2406440888774
Arkansas,2049,1215.787962327687
Arkansas,2050,1700.3800318898507
Arkansas,2051,1736.1034220806212
Arkansas,2052,1684.2355930381038
Arkansas,2053,1359.7838254276337
Arkansas,2054,1293.115374773674
Arkansas,2055,1381.6372173033662
Arkansas,2056,1461.313334897156
Arkansas,2057,1448.2517033525428
Arkansas,2058,1637.3843750378737
Arkansas,2059,1414.708974800576
Arkansas,2060,1866.5756414468642
Arkansas,2061,1680.397414010858
Arkansas,2062,1741.5821473275885
Arkansas,2063,1620.665106379801
Arkansas,2064,1600.467747128549
Arkansas,2065,1785.5620405838138
Arkansas,2066,1859.3731918031563
Arkansas,2067,1869.6711103695366
Arkansas,2068,1704.4579099289808
Arkansas,2069,1540.157487543826
Arkansas,2070,1767.8110309626677
Arkansas,2071,1752.4802973609105
Arkansas,2072,1507.8097272891446
Arkansas,2073,1680.8803199609629
Arkansas,2074,1699.2146462752503
Arkansas,2075,1725.427294829275
Arkansas,2076,1744.0264470228644
Arkansas,2077,1570.7636947269339
Arkansas,2078,2088.390033028305
Arkansas,2079,1762.8570362953192
Arkansas,2080,1997.5497052766527
Arkansas,2081,1821.5295169070173
Arkansas,2082,1700.8425237515462
Arkansas,2083,1715.7900002214697
Arkansas,2084,1696.3451740247478
Arkansas,2085,1912.7492771909383
Arkansas,2086,1902.4899528202204
Arkansas,2087,1891.1625885447684
Arkansas,2088,1596.315591529659
Arkansas,2089,1435.1751074927433
Arkansas,2090,1961.6625145979267
Arkansas,2091,1967.577273176655
Arkansas,2092,1909.2696465648662
Arkansas,2093,1560.4469482952716
Arkansas,2094,1486.9028880230662
Arkansas,2095,1603.421722171624
Arkansas,2096,1668.2880178661399
Arkansas,2097,1663.695609681441
Arkansas,2098,1821.1401074917158
Arkansas,2099,1549.7738085895326
