state,Year,cdd
California,2020,1290.726979082408
California,2021,1156.1765162367728
California,2022,1425.7608153932563
California,2023,1283.2092886881494
California,2024,1289.6316275874742
California,2025,1343.1054097588762
California,2026,999.7728870218054
California,2027,1240.2842730096684
California,2028,1155.3238772180575
California,2029,1090.17028888899
California,2030,1222.3966299756153
California,2031,1170.4634053023467
California,2032,997.2254447437583
California,2033,1084.633234111178
California,2034,1198.9278501161252
California,2035,1004.3627069600082
California,2036,948.107670975196
California,2037,979.4465090709361
California,2038,1307.74015055368
California,2039,1141.296605660703
California,2040,1047.2583118776079
California,2041,1145.5065684776896
California,2042,1121.5771630985332
California,2043,1084.8141138200058
California,2044,1059.0035169471598
California,2045,963.3105673479413
California,2046,1105.7648830687388
California,2047,1021.2368394812784
California,2048,1084.4792601682682
California,2049,1034.6409030305304
California,2050,1099.5329469011733
California,2051,1169.685195987318
California,2052,976.6037753662144
California,2053,965.594016285299
California,2054,646.5192175968048
California,2055,748.8400876134451
California,2056,772.5208110193806
California,2057,778.4161624625904
California,2058,759.9385281329647
California,2059,984.2059081370699
California,2060,758.4675126588777
California,2061,623.186444241801
California,2062,876.1693920572297
California,2063,762.5031101633314
California,2064,735.2328659601994
California,2065,818.2475207415007
California,2066,498.8391905595791
California,2067,771.1832215536438
California,2068,665.5994311797376
California,2069,620.336453017686
California,2070,735.1430203988239
California,2071,643.7073026284813
California,2072,559.2094825502029
California,2073,599.6456687784603
California,2074,655.9693640112215
California,2075,511.2969353713876
California,2076,458.75157910989486
California,2077,526.3986315347012
California,2078,717.4296938236553
California,2079,638.4942635273163
California,2080,524.6347803350616
California,2081,713.0461209406811
California,2082,581.3523058132629
California,2083,560.2069511529053
California,2084,561.041708927536
California,2085,479.8792600382012
California,2086,611.0370559029903
California,2087,554.0798996686467
California,2088,577.9302874256816
California,2089,521.1536532924717
California,2090,553.3653110608639
California,2091,588.49040785686
California,2092,471.583597522643
California,2093,473.30707486667256
California,2094,217.39285568858088
California,2095,308.89360059939537
California,2096,344.8798695409102
California,2097,349.2855701378629
California,2098,321.7623177724278
California,2099,483.08763514804673
