rb,Year,Date,Load_sum
p10,2027,2027-01-16,
p10,2027,2027-12-24,
p10,2028,2028-12-26,
p10,2028,2028-12-27,
p10,2028,2028-12-29,
p10,2029,2029-02-05,
p10,2029,2029-02-06,
p10,2029,2029-02-07,
p10,2029,2029-02-08,
p10,2030,2030-02-14,
p10,2030,2030-02-15,
p10,2030,2030-12-20,
p10,2030,2030-12-21,
p10,2030,2030-12-22,
p10,2030,2030-12-23,
p10,2030,2030-12-24,
p10,2038,2038-12-21,
p10,2038,2038-12-22,
p10,2047,2047-01-13,
p10,2047,2047-01-14,
p10,2053,2053-01-12,
p10,2053,2053-01-13,
p10,2053,2053-01-14,
p10,2053,2053-12-08,
p10,2058,2058-02-20,
p10,2069,2069-02-05,
p10,2069,2069-02-06,
p10,2069,2069-02-07,
p10,2070,2070-02-14,
p10,2070,2070-02-15,
p10,2070,2070-12-20,
p10,2070,2070-12-21,
p10,2070,2070-12-22,
p10,2070,2070-12-23,
