state,Year,Date
California,2020,2020-01-19
California,2020,2020-12-07
California,2021,2021-01-31
California,2022,2022-01-03
California,2022,2022-01-06
California,2022,2022-01-07
California,2022,2022-01-22
California,2022,2022-02-05
California,2022,2022-12-24
California,2023,2023-12-22
California,2024,2024-01-14
California,2024,2024-12-17
California,2025,2025-01-30
California,2025,2025-01-31
California,2025,2025-02-01
California,2025,2025-02-02
California,2025,2025-02-03
California,2025,2025-02-04
California,2025,2025-02-05
California,2025,2025-02-10
California,2025,2025-03-03
California,2025,2025-11-12
California,2025,2025-11-13
California,2025,2025-12-11
California,2025,2025-12-12
California,2027,2027-01-08
California,2027,2027-01-15
California,2027,2027-01-16
California,2027,2027-01-17
California,2027,2027-02-24
California,2027,2027-02-25
California,2027,2027-02-26
California,2027,2027-12-13
California,2027,2027-12-14
California,2027,2027-12-23
California,2027,2027-12-24
California,2027,2027-12-25
California,2027,2027-12-26
California,2027,2027-12-27
California,2027,2027-12-30
California,2027,2027-12-31
California,2028,2028-01-01
California,2028,2028-01-19
California,2028,2028-12-26
California,2028,2028-12-27
California,2028,2028-12-28
California,2028,2028-12-29
California,2029,2029-01-01
California,2029,2029-01-06
California,2029,2029-01-07
California,2029,2029-01-08
California,2029,2029-01-12
California,2029,2029-01-14
California,2029,2029-01-15
California,2029,2029-02-03
California,2029,2029-02-04
California,2029,2029-02-05
California,2029,2029-02-06
California,2029,2029-02-07
California,2029,2029-02-08
California,2029,2029-02-13
California,2029,2029-02-14
California,2029,2029-03-03
California,2030,2030-02-14
California,2030,2030-02-15
California,2030,2030-02-16
California,2030,2030-02-19
California,2030,2030-03-12
California,2030,2030-03-13
California,2030,2030-12-20
California,2030,2030-12-21
California,2030,2030-12-22
California,2030,2030-12-23
California,2030,2030-12-24
California,2030,2030-12-25
California,2030,2030-12-29
California,2030,2030-12-30
California,2032,2032-12-19
California,2033,2033-01-03
California,2033,2033-01-04
California,2033,2033-01-11
California,2033,2033-01-12
California,2033,2033-02-25
California,2034,2034-11-19
California,2036,2036-02-26
California,2036,2036-02-27
California,2038,2038-12-21
California,2038,2038-12-22
California,2038,2038-12-23
California,2039,2039-02-10
California,2039,2039-02-11
California,2041,2041-01-16
California,2041,2041-02-08
California,2042,2042-01-23
California,2042,2042-01-29
California,2042,2042-01-30
California,2042,2042-01-31
California,2042,2042-03-18
California,2043,2043-12-27
California,2046,2046-02-16
California,2046,2046-02-20
California,2046,2046-03-12
California,2046,2046-03-13
California,2046,2046-12-18
California,2047,2047-01-12
California,2047,2047-01-13
California,2047,2047-01-14
California,2047,2047-01-15
California,2047,2047-01-17
California,2047,2047-12-27
California,2048,2048-12-17
California,2048,2048-12-26
California,2049,2049-02-10
California,2049,2049-12-08
California,2049,2049-12-09
California,2050,2050-12-30
California,2050,2050-12-31
California,2051,2051-02-26
California,2051,2051-02-27
California,2052,2052-01-17
California,2052,2052-03-07
California,2052,2052-03-19
California,2052,2052-12-19
California,2052,2052-12-31
California,2053,2053-01-11
California,2053,2053-01-12
California,2053,2053-01-13
California,2053,2053-01-14
California,2053,2053-01-15
California,2053,2053-12-05
California,2053,2053-12-06
California,2053,2053-12-07
California,2053,2053-12-08
California,2053,2053-12-09
California,2055,2055-12-26
California,2055,2055-12-31
California,2056,2056-01-01
California,2056,2056-12-25
California,2057,2057-02-24
California,2058,2058-02-20
California,2058,2058-02-21
California,2058,2058-02-23
California,2059,2059-02-06
California,2059,2059-02-19
California,2059,2059-02-22
California,2062,2062-01-07
California,2062,2062-01-22
California,2064,2064-12-17
California,2065,2065-02-01
California,2065,2065-02-04
California,2065,2065-02-05
California,2065,2065-11-12
California,2065,2065-12-11
California,2067,2067-01-16
California,2067,2067-01-17
California,2067,2067-02-26
California,2067,2067-12-24
California,2067,2067-12-25
California,2067,2067-12-31
California,2068,2068-12-26
California,2068,2068-12-27
California,2068,2068-12-28
California,2068,2068-12-29
California,2069,2069-01-07
California,2069,2069-01-08
California,2069,2069-01-14
California,2069,2069-02-04
California,2069,2069-02-05
California,2069,2069-02-06
California,2069,2069-02-07
California,2069,2069-02-08
California,2069,2069-02-13
California,2069,2069-02-14
California,2070,2070-02-14
California,2070,2070-02-15
California,2070,2070-02-16
California,2070,2070-02-19
California,2070,2070-03-12
California,2070,2070-03-13
California,2070,2070-12-20
California,2070,2070-12-21
California,2070,2070-12-22
California,2070,2070-12-23
California,2070,2070-12-24
California,2070,2070-12-25
California,2070,2070-12-29
California,2070,2070-12-30
California,2073,2073-01-03
California,2073,2073-01-11
California,2076,2076-02-26
California,2076,2076-02-27
California,2078,2078-12-21
California,2078,2078-12-22
California,2078,2078-12-23
California,2079,2079-02-10
California,2082,2082-01-29
California,2082,2082-01-30
California,2086,2086-02-20
California,2087,2087-01-12
California,2087,2087-01-13
California,2087,2087-01-14
California,2087,2087-01-15
California,2087,2087-12-27
California,2088,2088-12-26
California,2089,2089-12-08
California,2089,2089-12-09
California,2090,2090-12-31
California,2091,2091-02-27
California,2092,2092-01-17
California,2093,2093-01-11
California,2093,2093-01-12
California,2093,2093-01-13
California,2093,2093-01-14
California,2093,2093-12-05
California,2093,2093-12-06
California,2093,2093-12-08
California,2093,2093-12-09
California,2095,2095-12-26
California,2098,2098-02-20
California,2098,2098-02-23
California,2099,2099-02-22
