state,Year,cdd
Colorado,2020,3387.648053178071
Colorado,2021,2988.4047115240264
Colorado,2022,3534.5545033380486
Colorado,2023,3639.5506758370016
Colorado,2024,3654.990444317016
Colorado,2025,3600.243328665924
Colorado,2026,3045.0284378200495
Colorado,2027,3276.3586506046877
Colorado,2028,3369.5040646562875
Colorado,2029,3184.9323915076448
Colorado,2030,3203.4063066930476
Colorado,2031,3173.6896402496395
Colorado,2032,3060.152746351329
Colorado,2033,3448.691542495599
Colorado,2034,3073.473779357433
Colorado,2035,3232.1853322957522
Colorado,2036,3176.042498613041
Colorado,2037,3357.6929972360367
Colorado,2038,3133.6328854709745
Colorado,2039,2890.275502900712
Colorado,2040,3095.9879119486964
Colorado,2041,3030.189559846805
Colorado,2042,3203.8480667828094
Colorado,2043,2972.3553596939523
Colorado,2044,2984.169836851215
Colorado,2045,2928.249956123182
Colorado,2046,2942.9782376603857
Colorado,2047,3041.8000681021476
Colorado,2048,3195.7603699356646
Colorado,2049,3150.5743266607865
Colorado,2050,3060.4539205407987
Colorado,2051,3157.5839398251896
Colorado,2052,2652.396702310431
Colorado,2053,3246.811350031412
Colorado,2054,2970.063953604708
Colorado,2055,2830.8233712290903
Colorado,2056,2768.8531095643484
Colorado,2057,2612.6717205768987
Colorado,2058,2827.9296524046486
Colorado,2059,3127.1035157051383
Colorado,2060,2647.654119822704
Colorado,2061,2246.8989239215807
Colorado,2062,2747.653128957393
Colorado,2063,2859.8554004711505
Colorado,2064,2893.319659800355
Colorado,2065,2843.0890667880376
Colorado,2066,2287.3550531116734
Colorado,2067,2527.5646792102802
Colorado,2068,2639.371412692192
Colorado,2069,2442.694627406191
Colorado,2070,2463.7024100301437
Colorado,2071,2462.403828121855
Colorado,2072,2333.4706135004926
Colorado,2073,2650.485240502698
Colorado,2074,2342.5019782916543
Colorado,2075,2384.905783301573
Colorado,2076,2421.4732346474216
Colorado,2077,2581.9758312818117
Colorado,2078,2345.831030482564
Colorado,2079,2079.722550481655
Colorado,2080,2342.598110209928
Colorado,2081,2258.6442416567943
Colorado,2082,2386.083886618901
Colorado,2083,2173.421573932
Colorado,2084,2176.0116102460283
Colorado,2085,2139.6725981553454
Colorado,2086,2154.607804157452
Colorado,2087,2226.3669892126663
Colorado,2088,2336.2541782412336
Colorado,2089,2291.1638246533557
Colorado,2090,2239.8119329386723
Colorado,2091,2306.225135624068
Colorado,2092,1856.6500719068717
Colorado,2093,2379.8643563599353
Colorado,2094,2155.145154216794
Colorado,2095,1977.4998960689552
Colorado,2096,1922.6635373485415
Colorado,2097,1762.3787826251266
Colorado,2098,2017.410245800932
Colorado,2099,2263.042575245557
