state,Year,hdd
Colorado,2020,433.4910855928318
Colorado,2021,374.27302105077035
Colorado,2022,296.5374830315368
Colorado,2023,367.08630161771913
Colorado,2024,340.5320589534531
Colorado,2025,362.95060039871635
Colorado,2026,308.07035776729873
Colorado,2027,344.4882362452428
Colorado,2028,410.0651300038119
Colorado,2029,374.2200289844365
Colorado,2030,421.61134922311953
Colorado,2031,339.1091130031297
Colorado,2032,281.27500287212996
Colorado,2033,327.0912770437827
Colorado,2034,573.6151642009563
Colorado,2035,431.5808909808783
Colorado,2036,498.96767303417903
Colorado,2037,461.8779016981991
Colorado,2038,494.7959315835416
Colorado,2039,382.8099477801328
Colorado,2040,596.8452555199266
Colorado,2041,558.4151203115766
Colorado,2042,585.2140263050028
Colorado,2043,525.5980495031318
Colorado,2044,358.5966774515267
Colorado,2045,521.5003480133007
Colorado,2046,535.4880819951389
Colorado,2047,539.5339461751886
Colorado,2048,449.5823762657939
Colorado,2049,403.57385824010254
Colorado,2050,567.1938581010454
Colorado,2051,591.3728610662606
Colorado,2052,654.4134547448823
Colorado,2053,603.8410084705141
Colorado,2054,479.2077941064077
Colorado,2055,542.4132836921681
Colorado,2056,562.9762576640378
Colorado,2057,523.7950025582969
Colorado,2058,697.3809473816673
Colorado,2059,603.2068336074999
Colorado,2060,714.5226608673288
Colorado,2061,648.4216443820707
Colorado,2062,556.2455553239049
Colorado,2063,634.739664165123
Colorado,2064,644.285153611891
Colorado,2065,661.843082385702
Colorado,2066,590.2480090403683
Colorado,2067,630.429314929926
Colorado,2068,730.6438854927674
Colorado,2069,666.3454930672671
Colorado,2070,737.4873751770922
Colorado,2071,683.6564960008377
Colorado,2072,592.3897203757756
Colorado,2073,577.7106116458552
Colorado,2074,910.2019189447623
Colorado,2075,690.3243135092841
Colorado,2076,824.773566320129
Colorado,2077,791.1633990660689
Colorado,2078,815.7536888608319
Colorado,2079,663.3411315909686
Colorado,2080,958.0715243085216
Colorado,2081,914.7255196263591
Colorado,2082,896.8331712247877
Colorado,2083,856.6415944771359
Colorado,2084,675.7628236855753
Colorado,2085,838.0160783494921
Colorado,2086,872.9244639469382
Colorado,2087,902.90159452903
Colorado,2088,773.2294159340438
Colorado,2089,745.7673158142021
Colorado,2090,902.9188947723113
Colorado,2091,935.9826152837265
Colorado,2092,1037.759268993224
Colorado,2093,963.509358075145
Colorado,2094,864.6232892434183
Colorado,2095,914.92267058979
Colorado,2096,936.867217313492
Colorado,2097,876.8035737622722
Colorado,2098,1099.7885375874157
Colorado,2099,960.5005573284335
