state,Year,hdd
Delaware,2020,741.5935697184398
Delaware,2021,603.2465449238954
Delaware,2022,501.1414794877518
Delaware,2023,715.3980165570466
Delaware,2024,614.2263446508945
Delaware,2025,638.8867857528442
Delaware,2026,679.3764888947733
Delaware,2027,704.8621643809487
Delaware,2028,695.2331075586724
Delaware,2029,666.4984109344009
Delaware,2030,654.0207084790902
Delaware,2031,838.5348543969384
Delaware,2032,561.1043466956734
Delaware,2033,741.6248549839058
Delaware,2034,646.838993885673
Delaware,2035,688.2960127467868
Delaware,2036,581.0113890730108
Delaware,2037,600.6238781166062
Delaware,2038,692.5859091924923
Delaware,2039,710.2162127078221
Delaware,2040,567.5042416793792
Delaware,2041,602.4213528572806
Delaware,2042,769.2740416414608
Delaware,2043,594.1151816412097
Delaware,2044,654.5953157521088
Delaware,2045,698.7842728493033
Delaware,2046,661.4732662540374
Delaware,2047,728.8746461056344
Delaware,2048,648.2476540526638
Delaware,2049,590.2895832755671
Delaware,2050,839.669945113186
Delaware,2051,790.6622675232218
Delaware,2052,739.9722194996393
Delaware,2053,652.5157433182586
Delaware,2054,556.3704400651089
Delaware,2055,683.0761744902446
Delaware,2056,773.5572755833036
Delaware,2057,703.0351960888836
Delaware,2058,815.9859040152512
Delaware,2059,811.0977617662073
Delaware,2060,924.2326759041335
Delaware,2061,751.5653622484458
Delaware,2062,650.2538498597698
Delaware,2063,875.4522522986699
Delaware,2064,740.6661050857323
Delaware,2065,803.820739462675
Delaware,2066,821.6197810051201
Delaware,2067,858.3285210787662
Delaware,2068,821.6667130083417
Delaware,2069,808.7866805665396
Delaware,2070,805.3306152083297
Delaware,2071,976.008265541375
Delaware,2072,698.0279842960636
Delaware,2073,892.5151369587791
Delaware,2074,784.0910534700458
Delaware,2075,866.2879047485026
Delaware,2076,723.9095145650019
Delaware,2077,723.2457631611237
Delaware,2078,826.8916578265814
Delaware,2079,830.2163561435882
Delaware,2080,692.6528491597066
Delaware,2081,758.0414840215718
Delaware,2082,956.2137670772355
Delaware,2083,724.4660473999905
Delaware,2084,780.7580623877866
Delaware,2085,820.6034994082898
Delaware,2086,767.6544036487395
Delaware,2087,847.8136431200219
Delaware,2088,758.4971205272722
Delaware,2089,694.7313805855784
Delaware,2090,946.7228496503155
Delaware,2091,915.0067266348575
Delaware,2092,841.9168362090152
Delaware,2093,747.0898338499545
Delaware,2094,700.1097097662832
Delaware,2095,802.9058197749096
Delaware,2096,888.6298041503892
Delaware,2097,821.4934794647446
Delaware,2098,935.794139283885
Delaware,2099,964.8982700292859
