state,Year,cdd
Florida,2020,389.1268101303128
Florida,2021,446.7005445407056
Florida,2022,199.3670950109402
Florida,2023,361.95811676797786
Florida,2024,293.7693205896251
Florida,2025,395.4025807120701
Florida,2026,228.9041298704464
Florida,2027,289.9229189544066
Florida,2028,331.54488484315414
Florida,2029,298.65877204361004
Florida,2030,118.60317455975064
Florida,2031,210.3631243928677
Florida,2032,250.1467609581273
Florida,2033,271.6267838059826
Florida,2034,221.5883310220242
Florida,2035,362.3227270349716
Florida,2036,399.631796386873
Florida,2037,244.40590860113747
Florida,2038,260.5425878419488
Florida,2039,230.48148355196673
Florida,2040,319.41257919230395
Florida,2041,273.4855869900556
Florida,2042,301.0003813662095
Florida,2043,368.43377108353377
Florida,2044,299.15368335771296
Florida,2045,287.0374451400284
Florida,2046,246.93423319435647
Florida,2047,196.78585410264282
Florida,2048,260.12513017884146
Florida,2049,322.19662894893264
Florida,2050,622.9729314232396
Florida,2051,237.3466326537059
Florida,2052,194.01986617340162
Florida,2053,217.24455973851332
Florida,2054,342.698115814935
Florida,2055,222.99630953528737
Florida,2056,242.60160463636424
Florida,2057,162.27742331454886
Florida,2058,296.97272756593304
Florida,2059,186.37969976904805
Florida,2060,299.2475252755254
Florida,2061,343.60008149839007
Florida,2062,147.81979913571513
Florida,2063,280.3238963966152
Florida,2064,224.0858341694045
Florida,2065,323.50281732573325
Florida,2066,167.0657006166839
Florida,2067,212.06398155564955
Florida,2068,251.50826607486198
Florida,2069,225.21500930559517
Florida,2070,68.47170734136324
Florida,2071,144.34713916747546
Florida,2072,168.96372362595827
Florida,2073,188.30810712253043
Florida,2074,161.50922283332199
Florida,2075,273.4902594060092
Florida,2076,293.33161237549115
Florida,2077,170.33022205354263
Florida,2078,183.44610899910833
Florida,2079,157.3291030405365
Florida,2080,230.78162479462634
Florida,2081,206.649740436395
Florida,2082,218.8035705065043
Florida,2083,279.91667243512035
Florida,2084,215.0790148586795
Florida,2085,200.01252568909518
Florida,2086,180.7169691543079
Florida,2087,135.6488602532923
Florida,2088,180.361475305534
Florida,2089,244.8515515499558
Florida,2090,525.0230854584167
Florida,2091,168.55215031227237
Florida,2092,135.14113560912745
Florida,2093,144.2143386759821
Florida,2094,250.8532104709853
Florida,2095,158.23250732865893
Florida,2096,182.8490731626897
Florida,2097,121.04627059087517
Florida,2098,232.12543379171564
Florida,2099,130.85418408335892
