rb,Year,Date,Load_sum
p91,2020,2020-06-04,
p91,2020,2020-06-05,
p91,2020,2020-06-08,
p91,2020,2020-06-17,
p91,2020,2020-06-30,
p91,2020,2020-07-02,
p91,2020,2020-07-05,
p91,2020,2020-07-06,
p91,2020,2020-07-07,
p91,2020,2020-07-09,
p91,2020,2020-07-10,
p91,2020,2020-07-11,
p91,2020,2020-07-12,
p91,2020,2020-07-13,
p91,2020,2020-07-14,
p91,2020,2020-07-15,
p91,2020,2020-07-16,
p91,2020,2020-07-31,
p91,2020,2020-08-01,
p91,2020,2020-08-02,
p91,2020,2020-08-03,
p91,2020,2020-08-04,
p91,2020,2020-08-05,
p91,2020,2020-08-06,
p91,2020,2020-08-07,
p91,2020,2020-08-08,
p91,2020,2020-08-09,
p91,2020,2020-08-17,
p91,2020,2020-08-18,
p91,2020,2020-08-20,
p91,2020,2020-08-21,
p91,2020,2020-08-22,
p91,2020,2020-08-23,
p91,2020,2020-09-29,
p91,2021,2021-06-06,
p91,2021,2021-06-07,
p91,2021,2021-06-10,
p91,2021,2021-06-11,
p91,2021,2021-06-12,
p91,2021,2021-06-13,
p91,2021,2021-06-14,
p91,2021,2021-06-15,
p91,2021,2021-06-16,
p91,2021,2021-06-17,
p91,2021,2021-06-18,
p91,2021,2021-06-19,
p91,2021,2021-06-20,
p91,2021,2021-06-21,
p91,2021,2021-06-22,
p91,2021,2021-06-23,
p91,2021,2021-06-24,
p91,2021,2021-06-26,
p91,2021,2021-06-27,
p91,2021,2021-07-06,
p91,2021,2021-07-07,
p91,2021,2021-07-08,
p91,2021,2021-07-11,
p91,2021,2021-07-12,
p91,2021,2021-07-13,
p91,2021,2021-07-14,
p91,2021,2021-07-15,
p91,2021,2021-07-16,
p91,2021,2021-07-17,
p91,2021,2021-07-18,
p91,2021,2021-07-19,
p91,2021,2021-07-21,
p91,2021,2021-07-22,
p91,2021,2021-07-23,
p91,2021,2021-07-24,
p91,2021,2021-07-25,
p91,2021,2021-07-26,
p91,2021,2021-07-27,
p91,2021,2021-07-28,
p91,2021,2021-07-29,
p91,2021,2021-08-07,
p91,2021,2021-08-08,
p91,2021,2021-08-09,
p91,2022,2022-06-10,
p91,2022,2022-06-11,
p91,2022,2022-07-01,
p91,2022,2022-07-26,
p91,2022,2022-08-24,
p91,2022,2022-08-25,
p91,2022,2022-08-27,
p91,2022,2022-08-28,
p91,2023,2023-07-11,
p91,2023,2023-07-13,
p91,2023,2023-07-15,
p91,2023,2023-07-16,
p91,2023,2023-07-17,
p91,2023,2023-07-18,
p91,2023,2023-07-19,
p91,2023,2023-07-21,
p91,2023,2023-07-22,
p91,2023,2023-07-23,
p91,2023,2023-07-24,
p91,2023,2023-07-25,
p91,2023,2023-07-26,
p91,2023,2023-08-12,
p91,2023,2023-08-19,
p91,2023,2023-08-20,
p91,2023,2023-08-21,
p91,2023,2023-08-22,
p91,2023,2023-08-24,
p91,2023,2023-08-27,
p91,2023,2023-09-09,
p91,2023,2023-09-10,
p91,2023,2023-09-11,
p91,2024,2024-06-20,
p91,2024,2024-06-21,
p91,2024,2024-07-08,
p91,2024,2024-07-09,
p91,2024,2024-08-09,
p91,2024,2024-08-10,
p91,2024,2024-08-11,
p91,2024,2024-08-12,
p91,2024,2024-08-13,
p91,2024,2024-08-15,
p91,2024,2024-08-16,
p91,2024,2024-08-17,
