state,Year,Date
Florida,2020,2020-03-03
Florida,2021,2021-01-13
Florida,2021,2021-12-20
Florida,2022,2022-01-11
Florida,2022,2022-01-12
Florida,2023,2023-12-25
Florida,2023,2023-12-26
Florida,2025,2025-01-21
Florida,2025,2025-01-22
Florida,2026,2026-01-28
Florida,2029,2029-12-24
Florida,2029,2029-12-25
Florida,2036,2036-02-05
Florida,2040,2040-12-20
Florida,2040,2040-12-31
Florida,2043,2043-01-24
Florida,2048,2048-01-03
Florida,2050,2050-01-10
Florida,2050,2050-12-14
Florida,2054,2054-01-07
Florida,2058,2058-01-18
Florida,2060,2060-03-03
Florida,2061,2061-01-13
Florida,2062,2062-01-11
Florida,2062,2062-01-12
Florida,2063,2063-12-25
Florida,2063,2063-12-26
Florida,2065,2065-01-21
Florida,2065,2065-01-22
Florida,2066,2066-01-28
Florida,2069,2069-12-24
Florida,2069,2069-12-25
Florida,2076,2076-02-05
Florida,2083,2083-01-24
Florida,2090,2090-12-14
