state,Year,cdd
Georgia,2020,1636.0994939248844
Georgia,2021,1666.0502121543382
Georgia,2022,1415.2546024619533
Georgia,2023,1645.5369500880063
Georgia,2024,1445.910720164909
Georgia,2025,1469.5563151040265
Georgia,2026,1324.2184754605148
Georgia,2027,1491.5725495614765
Georgia,2028,1564.13824879854
Georgia,2029,1517.7576371237255
Georgia,2030,1112.5077100005374
Georgia,2031,1289.0565814192225
Georgia,2032,1425.564852130822
Georgia,2033,1574.7389982440773
Georgia,2034,1364.8516511685764
Georgia,2035,1547.4257073403567
Georgia,2036,1684.479209276687
Georgia,2037,1454.8210722978624
Georgia,2038,1245.6091456729955
Georgia,2039,1333.1609964020734
Georgia,2040,1522.4697323076007
Georgia,2041,1357.4859805770557
Georgia,2042,1445.2597169138285
Georgia,2043,1460.471914634149
Georgia,2044,1439.0803777387096
Georgia,2045,1463.7912190382144
Georgia,2046,1307.8398429582492
Georgia,2047,1261.970712264752
Georgia,2048,1450.3186474893503
Georgia,2049,1485.8984448139427
Georgia,2050,1735.602590775736
Georgia,2051,1350.1735272186424
Georgia,2052,1123.9529352819832
Georgia,2053,1500.8461061938278
Georgia,2054,1723.681690404208
Georgia,2055,1303.5347971764163
Georgia,2056,1346.6657499304206
Georgia,2057,1155.3360836877132
Georgia,2058,1468.6959146033905
Georgia,2059,1311.9381007843713
Georgia,2060,1391.7974215635948
Georgia,2061,1414.1050260895795
Georgia,2062,1197.3307840206498
Georgia,2063,1435.5054683604276
Georgia,2064,1239.6382797388255
Georgia,2065,1284.4121046662597
Georgia,2066,1130.809036072842
Georgia,2067,1270.1771615360371
Georgia,2068,1341.3706638754247
Georgia,2069,1281.2148142557141
Georgia,2070,905.9872238339833
Georgia,2071,1097.985300724451
Georgia,2072,1214.8754498777157
Georgia,2073,1359.8389871194283
Georgia,2074,1168.266938199266
Georgia,2075,1320.4972401886898
Georgia,2076,1443.6938722839386
Georgia,2077,1210.2831597926938
Georgia,2078,1037.7325222062204
Georgia,2079,1114.981253756698
Georgia,2080,1311.6952473014494
Georgia,2081,1160.4764992091925
Georgia,2082,1264.44641124727
Georgia,2083,1280.740529580075
Georgia,2084,1270.3468300041893
Georgia,2085,1281.9909509974837
Georgia,2086,1125.6522371171209
Georgia,2087,1089.3943910501916
Georgia,2088,1260.7995883133326
Georgia,2089,1297.743236189433
Georgia,2090,1558.3530396734461
Georgia,2091,1163.5493339192867
Georgia,2092,960.2636537716725
Georgia,2093,1307.0077284229872
Georgia,2094,1519.6176576955831
Georgia,2095,1118.9435245800707
Georgia,2096,1181.301524840664
Georgia,2097,1009.0080238629178
Georgia,2098,1287.7766637423406
Georgia,2099,1148.8411531493527
