state,Year,Date
Georgia,2020,2020-03-03
Georgia,2021,2021-01-12
Georgia,2022,2022-01-10
Georgia,2022,2022-01-11
Georgia,2022,2022-01-12
Georgia,2022,2022-01-15
Georgia,2022,2022-01-17
Georgia,2023,2023-12-24
Georgia,2023,2023-12-25
Georgia,2023,2023-12-26
Georgia,2025,2025-01-20
Georgia,2025,2025-01-21
Georgia,2025,2025-01-22
Georgia,2025,2025-12-26
Georgia,2026,2026-01-27
Georgia,2026,2026-01-28
Georgia,2029,2029-12-22
Georgia,2029,2029-12-23
Georgia,2029,2029-12-24
Georgia,2031,2031-02-16
Georgia,2034,2034-01-16
Georgia,2034,2034-01-19
Georgia,2036,2036-02-04
Georgia,2036,2036-02-05
Georgia,2037,2037-01-17
Georgia,2043,2043-01-24
Georgia,2054,2054-01-07
Georgia,2054,2054-01-24
Georgia,2055,2055-01-08
Georgia,2060,2060-03-03
Georgia,2062,2062-01-10
Georgia,2062,2062-01-11
Georgia,2062,2062-01-17
Georgia,2063,2063-12-24
Georgia,2063,2063-12-25
Georgia,2063,2063-12-26
Georgia,2065,2065-01-20
Georgia,2065,2065-01-21
Georgia,2066,2066-01-28
Georgia,2069,2069-12-24
Georgia,2074,2074-01-19
Georgia,2076,2076-02-05
Georgia,2083,2083-01-24
Georgia,2094,2094-01-07
