state,Year,hdd
Georgia,2020,1190.3916203479905
Georgia,2021,1080.4593017478105
Georgia,2022,1030.6076242661281
Georgia,2023,1017.8092597494131
Georgia,2024,1035.7396640617287
Georgia,2025,1092.8965457031136
Georgia,2026,1264.780825752638
Georgia,2027,1175.184442569797
Georgia,2028,1091.5115189582511
Georgia,2029,1074.0413298809708
Georgia,2030,1302.3455169567574
Georgia,2031,1170.0667801459513
Georgia,2032,977.4220429747014
Georgia,2033,1243.853425273058
Georgia,2034,996.649024552433
Georgia,2035,1205.129002204568
Georgia,2036,1109.5379216026251
Georgia,2037,954.003585066459
Georgia,2038,1348.9627713505731
Georgia,2039,1151.6567654114158
Georgia,2040,1192.5268053817758
Georgia,2041,1060.997870130438
Georgia,2042,1277.0779208486956
Georgia,2043,1033.1626624327264
Georgia,2044,1126.1310637737397
Georgia,2045,1128.9357659663465
Georgia,2046,1210.401472020803
Georgia,2047,1285.5485373134647
Georgia,2048,1147.1471696287829
Georgia,2049,1118.7270244550505
Georgia,2050,1419.204459916608
Georgia,2051,1345.6508785381488
Georgia,2052,1199.707179683055
Georgia,2053,994.6622145510303
Georgia,2054,1119.6876526964634
Georgia,2055,1223.7312939209044
Georgia,2056,1362.5306004929957
Georgia,2057,1204.0267720700763
Georgia,2058,1309.5867643616407
Georgia,2059,1374.9064316360937
Georgia,2060,1396.7240645811019
Georgia,2061,1360.3597290986354
Georgia,2062,1250.0415252960322
Georgia,2063,1241.25915908659
Georgia,2064,1250.803951282502
Georgia,2065,1352.8021213025618
Georgia,2066,1503.8486215402208
Georgia,2067,1373.6292074670655
Georgia,2068,1313.0288422940744
Georgia,2069,1234.748034119705
Georgia,2070,1495.595317769063
Georgia,2071,1340.6718993107438
Georgia,2072,1162.569499009444
Georgia,2073,1433.870008495599
Georgia,2074,1181.8407666822957
Georgia,2075,1405.0906819270442
Georgia,2076,1281.9167974914967
Georgia,2077,1122.1990614996007
Georgia,2078,1568.9093298854493
Georgia,2079,1397.3329153996049
Georgia,2080,1411.9345322765562
Georgia,2081,1253.9776337179933
Georgia,2082,1513.8456894118149
Georgia,2083,1197.1202275662213
Georgia,2084,1330.4530223302395
Georgia,2085,1277.4411807255324
Georgia,2086,1399.2491157307054
Georgia,2087,1478.248663235884
Georgia,2088,1305.2199065309644
Georgia,2089,1231.1927580637412
Georgia,2090,1538.8962469533835
Georgia,2091,1499.5651178331418
Georgia,2092,1331.0726890629428
Georgia,2093,1115.2262783842461
Georgia,2094,1237.2016210523252
Georgia,2095,1361.5417899327417
Georgia,2096,1524.6373012223455
Georgia,2097,1330.4626004525458
Georgia,2098,1422.0025243687776
Georgia,2099,1524.1306686377743
