state,Year,cdd
Idaho,2020,3562.729652598443
Idaho,2021,3335.6379451865178
Idaho,2022,4032.7201551667818
Idaho,2023,3608.293457719804
Idaho,2024,4111.819243906114
Idaho,2025,4263.339320669628
Idaho,2026,3419.409497321873
Idaho,2027,3199.97760425724
Idaho,2028,3442.2927023691677
Idaho,2029,3623.408427928257
Idaho,2030,3585.7623065120306
Idaho,2031,3501.6218264874274
Idaho,2032,3111.26490781184
Idaho,2033,3799.18582543591
Idaho,2034,3388.317040834266
Idaho,2035,3395.093324280923
Idaho,2036,3688.3503484754497
Idaho,2037,3523.5157339543944
Idaho,2038,3453.9431996211065
Idaho,2039,3444.0073219554424
Idaho,2040,3524.055331593664
Idaho,2041,3490.353468501585
Idaho,2042,3720.118964902039
Idaho,2043,3288.7013912267635
Idaho,2044,3386.5773502141656
Idaho,2045,3422.7814019250313
Idaho,2046,3476.1003556910423
Idaho,2047,3393.4469146388415
Idaho,2048,3813.6521412444836
Idaho,2049,3732.8333965176002
Idaho,2050,3475.651931257753
Idaho,2051,3795.5719545547245
Idaho,2052,3285.9712107790097
Idaho,2053,3722.026861166307
Idaho,2054,3283.8414668373466
Idaho,2055,3024.6968683730424
Idaho,2056,3225.1727028799955
Idaho,2057,3651.225629712453
Idaho,2058,3341.032473643973
Idaho,2059,3694.5579742106993
Idaho,2060,3032.835204365115
Idaho,2061,2831.580999566362
Idaho,2062,3499.440187762133
Idaho,2063,3072.2671782175285
Idaho,2064,3538.9506291433313
Idaho,2065,3670.0412088063276
Idaho,2066,2884.3654032371787
Idaho,2067,2718.619017082491
Idaho,2068,2939.657337272739
Idaho,2069,3100.4319096419185
Idaho,2070,3095.253993246438
Idaho,2071,2995.037742727064
Idaho,2072,2609.43479740186
Idaho,2073,3248.4609524752386
Idaho,2074,2911.987845393576
Idaho,2075,2899.0226947533965
Idaho,2076,3228.9635175082994
Idaho,2077,3073.9376476071175
Idaho,2078,2999.530730335452
Idaho,2079,2990.7373280254496
Idaho,2080,3071.0830023418685
Idaho,2081,3070.6909027161764
Idaho,2082,3285.779299005701
Idaho,2083,2915.5065575122094
Idaho,2084,2969.1522444089414
Idaho,2085,3011.0113142788887
Idaho,2086,3082.7068781092266
Idaho,2087,3037.629910855234
Idaho,2088,3428.075874173612
Idaho,2089,3369.9359858662715
Idaho,2090,3101.080323415014
Idaho,2091,3449.9954005634627
Idaho,2092,2990.9347911524164
Idaho,2093,3403.1226160450374
Idaho,2094,2983.642235514774
Idaho,2095,2738.8880508109264
Idaho,2096,2919.3688088821714
Idaho,2097,3335.8590033366063
Idaho,2098,3021.728546117667
Idaho,2099,3347.9082073154873
