rb,Year,Date
p134,2020,2020-07-22
p134,2020,2020-07-23
p134,2023,2023-08-06
p134,2023,2023-08-07
p134,2023,2023-08-08
p134,2025,2025-07-04
p134,2025,2025-07-09
p134,2025,2025-07-10
p134,2028,2028-09-03
p134,2029,2029-07-19
p134,2029,2029-07-20
p134,2029,2029-07-26
p134,2030,2030-08-08
p134,2030,2030-08-09
p134,2032,2032-07-31
p134,2032,2032-08-01
p134,2032,2032-08-14
p134,2034,2034-07-21
p134,2034,2034-07-22
p134,2034,2034-07-23
p134,2034,2034-07-24
p134,2034,2034-07-27
p134,2034,2034-07-28
p134,2034,2034-07-29
p134,2034,2034-07-30
p134,2034,2034-08-04
p134,2034,2034-08-05
p134,2034,2034-08-14
p134,2036,2036-07-27
p134,2038,2038-07-17
p134,2038,2038-07-18
p134,2038,2038-08-05
p134,2040,2040-07-30
p134,2040,2040-07-31
p134,2040,2040-08-01
p134,2040,2040-08-09
p134,2041,2041-07-03
p134,2041,2041-07-04
p134,2041,2041-07-05
p134,2042,2042-07-10
p134,2042,2042-07-11
p134,2042,2042-07-12
p134,2042,2042-07-13
p134,2042,2042-07-14
p134,2043,2043-07-18
p134,2043,2043-07-19
p134,2043,2043-07-20
p134,2043,2043-07-22
p134,2043,2043-07-23
p134,2043,2043-07-24
p134,2043,2043-07-29
p134,2043,2043-07-30
p134,2043,2043-07-31
p134,2043,2043-08-01
p134,2043,2043-08-15
p134,2044,2044-07-14
p134,2045,2045-07-21
p134,2045,2045-07-22
p134,2046,2046-07-21
p134,2046,2046-07-22
p134,2046,2046-07-23
p134,2047,2047-07-05
p134,2047,2047-07-06
p134,2047,2047-07-13
p134,2047,2047-07-14
p134,2047,2047-07-15
p134,2047,2047-07-23
p134,2047,2047-07-24
p134,2052,2052-07-09
p134,2052,2052-07-10
p134,2052,2052-07-12
p134,2052,2052-07-13
p134,2053,2053-07-01
p134,2053,2053-07-02
p134,2053,2053-07-03
p134,2055,2055-06-27
p134,2055,2055-06-28
p134,2055,2055-06-29
p134,2055,2055-07-03
p134,2055,2055-08-01
p134,2055,2055-08-02
p134,2055,2055-08-03
p134,2055,2055-08-13
p134,2055,2055-08-14
p134,2058,2058-07-31
p134,2058,2058-08-01
p134,2058,2058-08-09
p134,2058,2058-08-10
p134,2058,2058-08-11
p134,2060,2060-07-22
p134,2060,2060-07-23
p134,2060,2060-07-28
p134,2060,2060-07-29
p134,2062,2062-08-07
p134,2062,2062-08-08
p134,2062,2062-08-20
p134,2063,2063-07-30
p134,2063,2063-08-05
p134,2063,2063-08-06
p134,2063,2063-08-07
p134,2063,2063-08-08
p134,2064,2064-07-25
p134,2064,2064-08-09
p134,2064,2064-08-10
p134,2065,2065-07-03
p134,2065,2065-07-04
p134,2065,2065-07-05
p134,2065,2065-07-06
p134,2065,2065-07-07
p134,2065,2065-07-08
p134,2065,2065-07-09
p134,2065,2065-07-10
p134,2065,2065-07-11
p134,2065,2065-07-20
p134,2065,2065-07-21
p134,2066,2066-08-10
p134,2066,2066-08-11
p134,2066,2066-08-18
p134,2066,2066-08-19
p134,2068,2068-07-20
p134,2068,2068-07-21
p134,2068,2068-07-22
p134,2068,2068-07-25
p134,2068,2068-07-26
p134,2068,2068-07-30
p134,2068,2068-07-31
p134,2068,2068-08-24
p134,2068,2068-08-25
p134,2068,2068-09-02
p134,2068,2068-09-03
p134,2068,2068-09-04
p134,2068,2068-09-05
p134,2069,2069-07-07
p134,2069,2069-07-19
p134,2069,2069-07-20
p134,2069,2069-07-26
p134,2069,2069-07-27
p134,2069,2069-07-29
p134,2069,2069-07-31
