state,Year,hdd
Idaho,2020,450.69423401532947
Idaho,2021,611.3004732213446
Idaho,2022,541.3704581250141
Idaho,2023,489.3377910162908
Idaho,2024,560.4001034164684
Idaho,2025,594.0185544166229
Idaho,2026,666.1898009974263
Idaho,2027,634.2909229898122
Idaho,2028,755.3967263013549
Idaho,2029,584.1500514553017
Idaho,2030,715.7952658293568
Idaho,2031,626.3527993834502
Idaho,2032,676.6623549345506
Idaho,2033,360.3938207686823
Idaho,2034,793.3602899929157
Idaho,2035,533.0127822336174
Idaho,2036,641.6612504534829
Idaho,2037,581.9089853344565
Idaho,2038,684.8972666924694
Idaho,2039,555.6998976525038
Idaho,2040,633.169813979175
Idaho,2041,753.0703837913654
Idaho,2042,660.3879410497436
Idaho,2043,863.6719393351275
Idaho,2044,609.4143988609434
Idaho,2045,615.8569421137602
Idaho,2046,771.8406152899258
Idaho,2047,816.9535794063796
Idaho,2048,670.9355818532938
Idaho,2049,713.7033115638333
Idaho,2050,594.0267726815025
Idaho,2051,660.2984172410443
Idaho,2052,823.8768295313112
Idaho,2053,870.3701740489951
Idaho,2054,728.159577217998
Idaho,2055,839.3270976818917
Idaho,2056,681.0261100009246
Idaho,2057,880.9561602848294
Idaho,2058,766.8774048378801
Idaho,2059,704.76852278369
Idaho,2060,878.5029217648688
Idaho,2061,1014.2180620049692
Idaho,2062,942.2192185386839
Idaho,2063,886.3300328760705
Idaho,2064,961.6158845696298
Idaho,2065,1008.0177732772083
Idaho,2066,1091.4187444870022
Idaho,2067,1174.9696589234936
Idaho,2068,1283.4487921996665
Idaho,2069,1058.387087904933
Idaho,2070,1186.3302127057732
Idaho,2071,1116.1148618611262
Idaho,2072,1185.2608172487123
Idaho,2073,807.5918336163966
Idaho,2074,1330.0056770060696
Idaho,2075,976.2314085934286
Idaho,2076,1130.1033536744371
Idaho,2077,1082.985104565266
Idaho,2078,1160.2519494350308
Idaho,2079,1053.238599016519
Idaho,2080,1160.540967768373
Idaho,2081,1327.4835411187148
Idaho,2082,1184.2955924829307
Idaho,2083,1470.1542911020297
Idaho,2084,1156.448767943745
Idaho,2085,1125.4292704798415
Idaho,2086,1358.3960532269384
Idaho,2087,1402.6813317541032
Idaho,2088,1233.751524771549
Idaho,2089,1276.3395333619628
Idaho,2090,1145.171533832808
Idaho,2091,1199.1848198742127
Idaho,2092,1433.5882050344894
Idaho,2093,1424.0693214095313
Idaho,2094,1381.7316467765027
Idaho,2095,1511.8891557766228
Idaho,2096,1282.6269558584606
Idaho,2097,1414.727876296256
Idaho,2098,1425.0832357994495
Idaho,2099,1246.5955255717379
