state,Year,cdd
Illinois,2020,3846.3645668150766
Illinois,2021,3578.034929727683
Illinois,2022,3748.470405836144
Illinois,2023,3555.8996226148142
Illinois,2024,3637.2193206555858
Illinois,2025,3773.4125082388323
Illinois,2026,3455.1263212438366
Illinois,2027,3186.5185153320135
Illinois,2028,3705.7034471649185
Illinois,2029,3772.6973336106394
Illinois,2030,3204.0885511477572
Illinois,2031,3290.146141725412
Illinois,2032,3376.09444493715
Illinois,2033,3639.252687010476
Illinois,2034,3548.2768975290523
Illinois,2035,3633.8620140690964
Illinois,2036,3782.8739485084
Illinois,2037,3611.744119622587
Illinois,2038,2877.927664617633
Illinois,2039,3268.6822162389826
Illinois,2040,3433.9825169055007
Illinois,2041,3297.2783734255486
Illinois,2042,3403.371091459655
Illinois,2043,3515.4473757243586
Illinois,2044,3327.857946914945
Illinois,2045,3334.1713557042112
Illinois,2046,3142.23001951234
Illinois,2047,3279.8548505103195
Illinois,2048,3782.3182893138164
Illinois,2049,3592.4835673305265
Illinois,2050,3358.769714974496
Illinois,2051,3414.14369481703
Illinois,2052,2855.1964021539115
Illinois,2053,3687.0796703006517
Illinois,2054,3962.2407063533296
Illinois,2055,3330.707394054773
Illinois,2056,3162.4330338026534
Illinois,2057,3080.3949597654655
Illinois,2058,3494.7138077929526
Illinois,2059,3507.2042559576566
Illinois,2060,3352.5923801601857
Illinois,2061,3121.787667870811
Illinois,2062,3243.3371088914837
Illinois,2063,3122.0946786382306
Illinois,2064,3171.9328001287545
Illinois,2065,3289.545121654066
Illinois,2066,3030.4936858616293
Illinois,2067,2778.7993524069457
Illinois,2068,3236.6024383753356
Illinois,2069,3312.1774396687615
Illinois,2070,2761.08146517853
Illinois,2071,2879.8448639954954
Illinois,2072,2904.4431936338037
Illinois,2073,3149.5725276804715
Illinois,2074,3075.1403051140314
Illinois,2075,3135.6391614584995
Illinois,2076,3277.2049170002615
Illinois,2077,3095.382987178451
Illinois,2078,2434.8492559341717
Illinois,2079,2768.161373824516
Illinois,2080,2909.213605365616
Illinois,2081,2769.4996479702354
Illinois,2082,2932.18266641022
Illinois,2083,2994.6377031748825
Illinois,2084,2827.4835142094485
Illinois,2085,2853.6645576755045
Illinois,2086,2648.8774757622446
Illinois,2087,2804.25688169097
Illinois,2088,3203.0890972651564
Illinois,2089,3058.299688883114
Illinois,2090,2859.549452030041
Illinois,2091,2929.869402673207
Illinois,2092,2401.7098609784516
Illinois,2093,3158.240234337585
Illinois,2094,3438.7483713346014
Illinois,2095,2840.3389939787303
Illinois,2096,2684.184107280639
Illinois,2097,2607.3728696585586
Illinois,2098,3029.0806915875446
Illinois,2099,2965.44903218576
