state,Year,Date
Illinois,2020,2020-07-15
Illinois,2020,2020-07-20
Illinois,2023,2023-07-21
Illinois,2023,2023-07-22
Illinois,2023,2023-08-17
Illinois,2023,2023-08-19
Illinois,2023,2023-09-09
Illinois,2027,2027-06-14
Illinois,2027,2027-08-02
Illinois,2027,2027-08-16
Illinois,2028,2028-06-20
Illinois,2028,2028-06-21
Illinois,2028,2028-06-25
Illinois,2028,2028-07-15
Illinois,2028,2028-07-16
Illinois,2028,2028-07-28
Illinois,2028,2028-07-30
Illinois,2028,2028-08-01
Illinois,2028,2028-08-02
Illinois,2028,2028-08-03
Illinois,2028,2028-08-08
Illinois,2028,2028-08-13
Illinois,2028,2028-08-14
Illinois,2028,2028-08-15
Illinois,2028,2028-08-16
Illinois,2028,2028-08-17
Illinois,2028,2028-08-18
Illinois,2030,2030-07-04
Illinois,2031,2031-07-22
Illinois,2035,2035-07-13
Illinois,2035,2035-07-14
Illinois,2038,2038-09-06
Illinois,2039,2039-07-29
Illinois,2039,2039-07-30
Illinois,2040,2040-08-15
Illinois,2040,2040-09-01
Illinois,2043,2043-08-21
Illinois,2043,2043-08-22
Illinois,2043,2043-08-26
Illinois,2045,2045-07-24
Illinois,2045,2045-07-25
Illinois,2045,2045-08-03
Illinois,2046,2046-07-31
Illinois,2046,2046-08-01
Illinois,2046,2046-08-02
Illinois,2046,2046-08-03
Illinois,2051,2051-07-20
Illinois,2051,2051-07-21
Illinois,2051,2051-08-02
Illinois,2051,2051-08-24
Illinois,2051,2051-09-01
Illinois,2051,2051-09-02
Illinois,2052,2052-06-28
Illinois,2052,2052-07-03
Illinois,2052,2052-07-04
Illinois,2052,2052-07-05
Illinois,2052,2052-07-07
Illinois,2052,2052-07-17
Illinois,2052,2052-07-22
Illinois,2052,2052-07-23
Illinois,2052,2052-07-24
Illinois,2052,2052-07-25
Illinois,2052,2052-07-26
Illinois,2053,2053-08-27
Illinois,2053,2053-09-10
Illinois,2060,2060-07-05
Illinois,2060,2060-07-07
Illinois,2060,2060-07-11
Illinois,2060,2060-07-14
Illinois,2060,2060-07-15
Illinois,2060,2060-07-16
Illinois,2060,2060-07-17
Illinois,2060,2060-07-20
Illinois,2060,2060-07-21
Illinois,2060,2060-07-31
Illinois,2060,2060-08-01
Illinois,2060,2060-08-07
Illinois,2060,2060-08-08
Illinois,2060,2060-08-09
Illinois,2060,2060-08-19
Illinois,2060,2060-08-20
Illinois,2060,2060-08-21
Illinois,2060,2060-09-04
Illinois,2060,2060-09-08
Illinois,2060,2060-09-13
Illinois,2060,2060-09-20
Illinois,2062,2062-07-17
Illinois,2062,2062-07-18
Illinois,2062,2062-08-03
Illinois,2062,2062-08-04
Illinois,2062,2062-08-19
Illinois,2063,2063-07-20
Illinois,2063,2063-07-21
Illinois,2063,2063-07-22
Illinois,2063,2063-08-08
Illinois,2063,2063-08-16
Illinois,2063,2063-08-17
Illinois,2063,2063-08-18
Illinois,2063,2063-08-19
Illinois,2063,2063-08-20
Illinois,2063,2063-08-21
Illinois,2063,2063-08-22
Illinois,2063,2063-09-05
Illinois,2063,2063-09-09
Illinois,2063,2063-09-10
Illinois,2063,2063-09-18
