state,Year,Date
Iowa,2020,2020-07-30
Iowa,2020,2020-08-07
Iowa,2020,2020-08-25
Iowa,2021,2021-07-12
Iowa,2021,2021-07-13
Iowa,2023,2023-08-16
Iowa,2024,2024-08-28
Iowa,2024,2024-08-29
Iowa,2027,2027-07-31
Iowa,2027,2027-08-01
Iowa,2027,2027-08-02
Iowa,2027,2027-08-21
Iowa,2028,2028-06-21
Iowa,2028,2028-07-14
Iowa,2028,2028-07-15
Iowa,2028,2028-07-29
Iowa,2028,2028-07-30
Iowa,2028,2028-07-31
Iowa,2028,2028-08-01
Iowa,2028,2028-08-02
Iowa,2028,2028-08-03
Iowa,2028,2028-08-07
Iowa,2028,2028-08-08
Iowa,2028,2028-08-11
Iowa,2028,2028-08-14
Iowa,2028,2028-08-15
Iowa,2028,2028-08-16
Iowa,2028,2028-08-17
Iowa,2028,2028-08-18
Iowa,2029,2029-07-09
Iowa,2029,2029-08-04
Iowa,2029,2029-08-05
Iowa,2040,2040-08-08
Iowa,2040,2040-08-14
Iowa,2040,2040-08-31
Iowa,2040,2040-09-02
Iowa,2042,2042-07-21
Iowa,2043,2043-08-18
Iowa,2043,2043-08-19
Iowa,2043,2043-08-20
Iowa,2043,2043-08-24
Iowa,2043,2043-08-25
Iowa,2043,2043-08-26
Iowa,2045,2045-07-23
Iowa,2045,2045-07-24
Iowa,2045,2045-08-03
Iowa,2045,2045-08-04
Iowa,2045,2045-08-09
Iowa,2046,2046-07-29
Iowa,2046,2046-07-30
Iowa,2046,2046-07-31
Iowa,2046,2046-08-01
Iowa,2051,2051-09-01
Iowa,2051,2051-09-02
Iowa,2052,2052-06-27
Iowa,2052,2052-06-28
Iowa,2052,2052-07-03
Iowa,2052,2052-07-04
Iowa,2052,2052-07-05
Iowa,2052,2052-07-06
Iowa,2052,2052-07-07
Iowa,2052,2052-07-16
Iowa,2052,2052-07-17
Iowa,2052,2052-07-18
Iowa,2052,2052-07-19
Iowa,2052,2052-07-21
Iowa,2052,2052-07-22
Iowa,2052,2052-07-23
Iowa,2052,2052-07-24
Iowa,2052,2052-07-25
Iowa,2052,2052-07-26
Iowa,2052,2052-07-30
Iowa,2052,2052-07-31
Iowa,2052,2052-08-01
Iowa,2052,2052-08-02
Iowa,2052,2052-08-07
Iowa,2052,2052-08-29
Iowa,2052,2052-08-30
Iowa,2053,2053-08-26
Iowa,2053,2053-08-27
Iowa,2053,2053-08-28
Iowa,2053,2053-08-30
Iowa,2053,2053-09-09
Iowa,2054,2054-08-24
Iowa,2054,2054-09-04
Iowa,2060,2060-07-07
Iowa,2060,2060-07-11
Iowa,2060,2060-07-15
Iowa,2060,2060-07-30
Iowa,2060,2060-07-31
Iowa,2060,2060-08-01
Iowa,2060,2060-08-06
Iowa,2060,2060-08-07
Iowa,2060,2060-08-08
Iowa,2060,2060-08-19
Iowa,2060,2060-08-20
Iowa,2060,2060-08-24
Iowa,2060,2060-08-25
Iowa,2060,2060-08-26
Iowa,2060,2060-09-07
Iowa,2060,2060-09-08
Iowa,2061,2061-07-12
Iowa,2061,2061-07-13
Iowa,2061,2061-07-14
Iowa,2063,2063-08-10
Iowa,2063,2063-08-16
Iowa,2063,2063-08-17
Iowa,2063,2063-08-18
Iowa,2063,2063-08-19
Iowa,2063,2063-08-20
Iowa,2063,2063-08-26
Iowa,2063,2063-09-08
Iowa,2063,2063-09-09
Iowa,2064,2064-08-27
Iowa,2064,2064-08-28
Iowa,2064,2064-08-29
Iowa,2064,2064-09-01
Iowa,2065,2065-08-09
Iowa,2065,2065-09-02
Iowa,2065,2065-09-06
Iowa,2065,2065-09-07
Iowa,2065,2065-09-08
Iowa,2067,2067-07-20
Iowa,2067,2067-07-24
Iowa,2067,2067-07-26
Iowa,2067,2067-07-28
Iowa,2067,2067-07-29
Iowa,2067,2067-07-31
Iowa,2067,2067-08-01
Iowa,2067,2067-08-02
Iowa,2067,2067-08-03
Iowa,2067,2067-08-15
Iowa,2067,2067-08-16
Iowa,2067,2067-08-21
Iowa,2067,2067-08-22
Iowa,2068,2068-06-19
Iowa,2068,2068-06-20
Iowa,2068,2068-06-21
Iowa,2068,2068-06-22
Iowa,2068,2068-06-24
Iowa,2068,2068-06-25
Iowa,2068,2068-07-05
Iowa,2068,2068-07-06
Iowa,2068,2068-07-07
Iowa,2068,2068-07-13
Iowa,2068,2068-07-14
Iowa,2068,2068-07-15
Iowa,2068,2068-07-16
Iowa,2068,2068-07-27
Iowa,2068,2068-07-28
Iowa,2068,2068-07-29
Iowa,2068,2068-07-30
Iowa,2068,2068-07-31
Iowa,2068,2068-08-01
Iowa,2068,2068-08-02
Iowa,2068,2068-08-03
Iowa,2068,2068-08-04
Iowa,2068,2068-08-07
Iowa,2068,2068-08-08
Iowa,2068,2068-08-10
Iowa,2068,2068-08-11
Iowa,2068,2068-08-12
Iowa,2068,2068-08-14
Iowa,2068,2068-08-15
Iowa,2068,2068-08-16
Iowa,2068,2068-08-17
Iowa,2068,2068-08-18
Iowa,2069,2069-07-06
Iowa,2069,2069-07-08
Iowa,2069,2069-07-09
Iowa,2069,2069-07-10
Iowa,2069,2069-07-11
Iowa,2069,2069-07-27
Iowa,2069,2069-08-04
Iowa,2069,2069-08-05
Iowa,2069,2069-08-22
Iowa,2070,2070-08-26
Iowa,2070,2070-08-27
Iowa,2070,2070-09-04
Iowa,2070,2070-09-05
Iowa,2070,2070-09-06
Iowa,2071,2071-08-24
Iowa,2071,2071-08-25
Iowa,2071,2071-08-26
Iowa,2071,2071-08-27
Iowa,2074,2074-08-27
Iowa,2074,2074-08-28
Iowa,2077,2077-07-25
Iowa,2077,2077-07-26
Iowa,2078,2078-09-06
Iowa,2079,2079-07-29
Iowa,2079,2079-07-30
Iowa,2080,2080-08-01
Iowa,2080,2080-08-05
Iowa,2080,2080-08-07
Iowa,2080,2080-08-08
Iowa,2080,2080-08-09
Iowa,2080,2080-08-11
Iowa,2080,2080-08-12
Iowa,2080,2080-08-14
Iowa,2080,2080-08-15
Iowa,2080,2080-08-25
Iowa,2080,2080-08-28
Iowa,2080,2080-08-30
Iowa,2080,2080-08-31
Iowa,2080,2080-09-02
Iowa,2080,2080-09-11
Iowa,2081,2081-07-31
Iowa,2081,2081-08-01
Iowa,2081,2081-08-04
Iowa,2081,2081-08-05
Iowa,2081,2081-08-06
Iowa,2081,2081-08-07
Iowa,2081,2081-08-08
Iowa,2081,2081-08-21
Iowa,2082,2082-07-20
Iowa,2082,2082-07-21
Iowa,2082,2082-07-22
Iowa,2082,2082-07-27
Iowa,2082,2082-07-28
Iowa,2082,2082-07-30
Iowa,2082,2082-07-31
Iowa,2082,2082-08-01
Iowa,2082,2082-08-03
Iowa,2082,2082-08-11
Iowa,2082,2082-09-02
Iowa,2082,2082-09-06
Iowa,2083,2083-07-25
Iowa,2083,2083-07-26
Iowa,2083,2083-07-27
Iowa,2083,2083-08-16
Iowa,2083,2083-08-17
Iowa,2083,2083-08-18
Iowa,2083,2083-08-19
Iowa,2083,2083-08-20
Iowa,2083,2083-08-21
Iowa,2083,2083-08-24
Iowa,2083,2083-08-25
Iowa,2083,2083-08-26
Iowa,2085,2085-07-16
Iowa,2085,2085-07-17
Iowa,2085,2085-07-20
Iowa,2085,2085-07-21
Iowa,2085,2085-07-22
Iowa,2085,2085-07-23
Iowa,2085,2085-07-24
Iowa,2085,2085-07-25
Iowa,2085,2085-08-01
Iowa,2085,2085-08-02
Iowa,2085,2085-08-03
Iowa,2085,2085-08-04
Iowa,2085,2085-08-08
Iowa,2085,2085-08-09
Iowa,2085,2085-08-10
Iowa,2086,2086-07-15
Iowa,2086,2086-07-16
Iowa,2086,2086-07-17
Iowa,2086,2086-07-19
Iowa,2086,2086-07-25
Iowa,2086,2086-07-28
