state,Year,hdd
Iowa,2020,240.04504692252817
Iowa,2021,181.3373346149125
Iowa,2022,128.9803083809258
Iowa,2023,80.10125863599632
Iowa,2024,44.58877890122585
Iowa,2025,17.33768067565228
Iowa,2026,3.975541754286553
Iowa,2027,0.3095299764536321
Iowa,2028,0.0
Iowa,2029,0.0
Iowa,2030,0.0
Iowa,2031,0.0
Iowa,2032,0.0
Iowa,2033,0.0
Iowa,2034,0.0
Iowa,2035,0.0
Iowa,2036,0.0
Iowa,2037,0.0
Iowa,2038,0.0
Iowa,2039,0.0
Iowa,2040,0.0
Iowa,2041,0.0
Iowa,2042,0.0
Iowa,2043,0.0
Iowa,2044,0.0
Iowa,2045,0.0
Iowa,2046,0.0
Iowa,2047,0.0
Iowa,2048,0.0
Iowa,2049,0.0
Iowa,2050,0.0
Iowa,2051,0.0
Iowa,2052,0.0
Iowa,2053,0.0
Iowa,2054,0.0
Iowa,2055,0.0
Iowa,2056,0.0
Iowa,2057,0.0
Iowa,2058,0.0
Iowa,2059,0.0
Iowa,2060,0.0
Iowa,2061,0.0
Iowa,2062,0.0
Iowa,2063,0.0
Iowa,2064,0.0
Iowa,2065,0.0
Iowa,2066,0.0
Iowa,2067,0.0
Iowa,2068,0.0
Iowa,2069,0.0
Iowa,2070,0.0
Iowa,2071,0.0
Iowa,2072,0.0
Iowa,2073,0.0
Iowa,2074,0.0
Iowa,2075,0.0
Iowa,2076,0.0
Iowa,2077,0.0
Iowa,2078,0.0
Iowa,2079,0.0
Iowa,2080,0.0
Iowa,2081,0.0
Iowa,2082,0.0
Iowa,2083,0.0
Iowa,2084,0.0
Iowa,2085,0.0
Iowa,2086,0.0
Iowa,2087,0.0
Iowa,2088,0.0
Iowa,2089,0.0
Iowa,2090,0.0
Iowa,2091,0.0
Iowa,2092,0.0
Iowa,2093,0.0
Iowa,2094,0.0
Iowa,2095,0.0
Iowa,2096,0.0
Iowa,2097,0.0
Iowa,2098,0.0
Iowa,2099,0.0
