state,Year,cdd
Kentucky,2020,2749.1484699769994
Kentucky,2021,2587.0232322888855
Kentucky,2022,2379.266767119478
Kentucky,2023,2533.0334689623496
Kentucky,2024,2472.048612699847
Kentucky,2025,2495.1449039606755
Kentucky,2026,2271.6020341090893
Kentucky,2027,2236.9356756273355
Kentucky,2028,2539.5686636066985
Kentucky,2029,2515.9396087375612
Kentucky,2030,1940.304657344902
Kentucky,2031,2082.8414182785127
Kentucky,2032,2203.117319798763
Kentucky,2033,2420.5747466872444
Kentucky,2034,2326.9291444142377
Kentucky,2035,2439.6285554873634
Kentucky,2036,2536.586817272967
Kentucky,2037,2438.9197971881517
Kentucky,2038,1888.926859928637
Kentucky,2039,2053.5460439254407
Kentucky,2040,2302.957784448297
Kentucky,2041,2110.7171448716435
Kentucky,2042,2264.9900738105603
Kentucky,2043,2266.3235203587255
Kentucky,2044,2155.642327108051
Kentucky,2045,2167.200241601381
Kentucky,2046,1944.3519246990745
Kentucky,2047,2055.5975769842275
Kentucky,2048,2380.733923556181
Kentucky,2049,2265.6569552006677
Kentucky,2050,2335.2803507385674
Kentucky,2051,2077.0046201310506
Kentucky,2052,1787.1724299222542
Kentucky,2053,2335.6580323501007
Kentucky,2054,2589.589451510462
Kentucky,2055,2140.959068697999
Kentucky,2056,2005.5425461114553
Kentucky,2057,1833.963795644173
Kentucky,2058,2256.604776528985
Kentucky,2059,2059.9877617781385
Kentucky,2060,2138.366202131813
Kentucky,2061,1948.2473049691007
Kentucky,2062,1825.8182616351373
Kentucky,2063,1946.0561499062242
Kentucky,2064,1912.9817040220742
Kentucky,2065,1965.836038033146
Kentucky,2066,1738.9874785649433
Kentucky,2067,1681.4311575334682
Kentucky,2068,1953.0202374306045
Kentucky,2069,1971.274816291695
Kentucky,2070,1428.927242903565
Kentucky,2071,1636.637093399171
Kentucky,2072,1641.9330310268351
Kentucky,2073,1852.1268846377009
Kentucky,2074,1742.4196457561497
Kentucky,2075,1838.816699468635
Kentucky,2076,1959.5647854088065
Kentucky,2077,1767.1631900440939
Kentucky,2078,1358.9525401544242
Kentucky,2079,1505.3182316216034
Kentucky,2080,1731.834720996209
Kentucky,2081,1485.2478971643563
Kentucky,2082,1665.283224778412
Kentucky,2083,1673.1140597667804
Kentucky,2084,1629.8928000667304
Kentucky,2085,1629.4544641294788
Kentucky,2086,1372.4231561315494
Kentucky,2087,1542.2635797821767
Kentucky,2088,1766.0852623867572
Kentucky,2089,1615.7171241400736
Kentucky,2090,1748.8365889060176
Kentucky,2091,1508.171316557327
Kentucky,2092,1258.5547987628202
Kentucky,2093,1735.9713628704721
Kentucky,2094,1957.6312848548314
Kentucky,2095,1548.9722226589802
Kentucky,2096,1459.1348332500436
Kentucky,2097,1342.2322699707718
Kentucky,2098,1684.7209843815529
Kentucky,2099,1514.3381105032058
