state,Year,Date
Kentucky,2020,2020-07-02
Kentucky,2020,2020-07-08
Kentucky,2020,2020-07-09
Kentucky,2020,2020-07-10
Kentucky,2020,2020-07-15
Kentucky,2020,2020-07-16
Kentucky,2020,2020-07-31
Kentucky,2020,2020-08-08
Kentucky,2020,2020-08-09
Kentucky,2020,2020-08-10
Kentucky,2020,2020-08-21
Kentucky,2023,2023-07-21
Kentucky,2023,2023-07-22
Kentucky,2023,2023-07-23
Kentucky,2023,2023-08-19
Kentucky,2023,2023-08-20
Kentucky,2023,2023-08-21
Kentucky,2023,2023-08-22
Kentucky,2026,2026-07-19
Kentucky,2027,2027-08-03
Kentucky,2027,2027-08-26
Kentucky,2028,2028-06-22
Kentucky,2028,2028-07-08
Kentucky,2028,2028-07-09
Kentucky,2028,2028-07-15
Kentucky,2028,2028-07-16
Kentucky,2028,2028-08-01
Kentucky,2028,2028-08-02
Kentucky,2028,2028-08-03
Kentucky,2028,2028-08-10
Kentucky,2028,2028-08-14
Kentucky,2028,2028-08-15
Kentucky,2028,2028-08-16
Kentucky,2028,2028-08-17
Kentucky,2028,2028-08-18
Kentucky,2030,2030-07-09
Kentucky,2030,2030-07-10
Kentucky,2030,2030-08-28
Kentucky,2030,2030-09-07
Kentucky,2033,2033-07-26
Kentucky,2033,2033-07-27
Kentucky,2033,2033-07-28
Kentucky,2033,2033-08-29
Kentucky,2039,2039-07-25
Kentucky,2039,2039-07-26
Kentucky,2039,2039-07-29
Kentucky,2039,2039-07-30
Kentucky,2039,2039-07-31
Kentucky,2039,2039-08-13
Kentucky,2039,2039-08-17
Kentucky,2040,2040-08-06
Kentucky,2042,2042-08-03
Kentucky,2042,2042-08-04
Kentucky,2042,2042-08-05
Kentucky,2046,2046-07-17
Kentucky,2046,2046-07-18
Kentucky,2046,2046-07-19
Kentucky,2046,2046-07-21
Kentucky,2046,2046-07-31
Kentucky,2046,2046-08-01
Kentucky,2046,2046-08-03
Kentucky,2046,2046-08-07
Kentucky,2046,2046-08-14
Kentucky,2046,2046-08-19
Kentucky,2046,2046-08-25
Kentucky,2047,2047-08-04
Kentucky,2047,2047-08-07
Kentucky,2047,2047-08-08
Kentucky,2047,2047-08-09
Kentucky,2047,2047-08-12
Kentucky,2047,2047-08-13
Kentucky,2047,2047-08-15
Kentucky,2047,2047-08-16
Kentucky,2047,2047-08-20
Kentucky,2047,2047-08-22
Kentucky,2047,2047-08-23
Kentucky,2047,2047-08-24
Kentucky,2047,2047-08-28
Kentucky,2048,2048-07-21
Kentucky,2050,2050-06-22
Kentucky,2050,2050-08-04
Kentucky,2050,2050-08-09
Kentucky,2050,2050-08-12
Kentucky,2050,2050-08-13
Kentucky,2050,2050-08-14
Kentucky,2051,2051-07-12
Kentucky,2051,2051-07-20
Kentucky,2051,2051-07-21
Kentucky,2051,2051-07-22
Kentucky,2051,2051-07-28
Kentucky,2051,2051-08-02
Kentucky,2051,2051-08-03
Kentucky,2051,2051-08-24
Kentucky,2051,2051-09-01
Kentucky,2051,2051-09-02
Kentucky,2051,2051-09-03
Kentucky,2052,2052-06-28
Kentucky,2052,2052-06-29
Kentucky,2052,2052-06-30
Kentucky,2052,2052-07-01
Kentucky,2052,2052-07-02
Kentucky,2052,2052-07-04
Kentucky,2052,2052-07-05
Kentucky,2052,2052-07-06
Kentucky,2052,2052-07-07
Kentucky,2052,2052-07-08
Kentucky,2052,2052-07-26
Kentucky,2052,2052-08-01
Kentucky,2052,2052-08-04
Kentucky,2060,2060-06-28
Kentucky,2060,2060-07-02
Kentucky,2060,2060-07-05
Kentucky,2060,2060-07-08
Kentucky,2060,2060-07-09
Kentucky,2060,2060-07-10
Kentucky,2060,2060-07-11
Kentucky,2060,2060-07-12
Kentucky,2060,2060-07-14
Kentucky,2060,2060-07-15
Kentucky,2060,2060-07-16
Kentucky,2060,2060-07-17
Kentucky,2060,2060-07-19
Kentucky,2060,2060-07-20
Kentucky,2060,2060-07-30
Kentucky,2060,2060-07-31
Kentucky,2060,2060-08-01
Kentucky,2060,2060-08-02
Kentucky,2060,2060-08-06
Kentucky,2060,2060-08-07
Kentucky,2060,2060-08-08
Kentucky,2060,2060-08-09
Kentucky,2060,2060-08-10
Kentucky,2060,2060-08-11
Kentucky,2060,2060-08-17
Kentucky,2060,2060-08-18
Kentucky,2060,2060-08-19
Kentucky,2060,2060-08-20
Kentucky,2060,2060-08-21
Kentucky,2060,2060-08-26
Kentucky,2060,2060-08-27
Kentucky,2060,2060-08-28
Kentucky,2060,2060-09-06
Kentucky,2060,2060-09-09
Kentucky,2060,2060-09-13
Kentucky,2060,2060-09-14
Kentucky,2061,2061-07-09
Kentucky,2061,2061-08-04
Kentucky,2061,2061-08-05
Kentucky,2062,2062-08-04
Kentucky,2063,2063-07-21
Kentucky,2063,2063-07-22
Kentucky,2063,2063-07-23
Kentucky,2063,2063-08-19
Kentucky,2063,2063-08-20
Kentucky,2063,2063-08-21
Kentucky,2063,2063-08-22
Kentucky,2063,2063-08-26
Kentucky,2063,2063-08-27
Kentucky,2063,2063-09-09
Kentucky,2063,2063-09-10
Kentucky,2063,2063-09-11
Kentucky,2064,2064-08-30
Kentucky,2065,2065-08-13
Kentucky,2066,2066-07-06
Kentucky,2066,2066-07-07
Kentucky,2066,2066-07-08
Kentucky,2066,2066-07-17
Kentucky,2066,2066-07-18
Kentucky,2066,2066-07-19
Kentucky,2066,2066-07-20
Kentucky,2066,2066-07-24
Kentucky,2066,2066-07-25
Kentucky,2066,2066-07-26
Kentucky,2066,2066-07-27
Kentucky,2066,2066-07-28
Kentucky,2066,2066-07-29
Kentucky,2066,2066-08-15
Kentucky,2066,2066-08-26
Kentucky,2066,2066-09-28
Kentucky,2066,2066-09-29
Kentucky,2067,2067-07-20
Kentucky,2067,2067-07-21
Kentucky,2067,2067-07-24
Kentucky,2067,2067-07-25
Kentucky,2067,2067-07-26
Kentucky,2067,2067-08-01
Kentucky,2067,2067-08-02
Kentucky,2067,2067-08-03
Kentucky,2067,2067-08-07
Kentucky,2067,2067-08-08
Kentucky,2067,2067-08-12
Kentucky,2067,2067-08-19
Kentucky,2067,2067-08-21
Kentucky,2067,2067-08-22
Kentucky,2067,2067-08-26
Kentucky,2067,2067-08-27
Kentucky,2068,2068-06-21
Kentucky,2068,2068-06-22
Kentucky,2068,2068-06-23
Kentucky,2068,2068-06-24
Kentucky,2068,2068-06-25
Kentucky,2068,2068-06-26
Kentucky,2068,2068-07-05
Kentucky,2068,2068-07-07
Kentucky,2068,2068-07-08
Kentucky,2068,2068-07-09
Kentucky,2068,2068-07-14
Kentucky,2068,2068-07-15
Kentucky,2068,2068-07-16
Kentucky,2068,2068-07-17
Kentucky,2068,2068-07-18
Kentucky,2068,2068-07-29
Kentucky,2068,2068-07-31
Kentucky,2068,2068-08-01
Kentucky,2068,2068-08-02
Kentucky,2068,2068-08-03
Kentucky,2068,2068-08-04
Kentucky,2068,2068-08-07
Kentucky,2068,2068-08-08
Kentucky,2068,2068-08-09
Kentucky,2068,2068-08-10
Kentucky,2068,2068-08-11
Kentucky,2068,2068-08-12
Kentucky,2068,2068-08-13
Kentucky,2068,2068-08-14
Kentucky,2068,2068-08-15
Kentucky,2068,2068-08-16
Kentucky,2068,2068-08-17
Kentucky,2068,2068-08-18
