state,Year,hdd
Kentucky,2020,727.7096044350787
Kentucky,2021,770.640612345433
Kentucky,2022,814.5725338331106
Kentucky,2023,861.5480802640898
Kentucky,2024,907.6011216645217
Kentucky,2025,955.6075517957571
Kentucky,2026,1003.4368972635939
Kentucky,2027,1052.5040056035996
Kentucky,2028,1102.5348348456992
Kentucky,2029,1152.3282737654106
Kentucky,2030,1202.950145211731
Kentucky,2031,1256.947909785512
Kentucky,2032,1308.8907306582328
Kentucky,2033,1360.529087393058
Kentucky,2034,1415.092406654489
Kentucky,2035,1470.1583977885057
Kentucky,2036,1524.523311500474
Kentucky,2037,1581.0185125597422
Kentucky,2038,1637.6182433789822
Kentucky,2039,1694.1803340800832
Kentucky,2040,1753.0009741709227
Kentucky,2041,1810.4076303147547
Kentucky,2042,1869.9804177767546
Kentucky,2043,1931.104197143325
Kentucky,2044,1992.322662908817
Kentucky,2045,2052.474437140668
Kentucky,2046,2117.1268396579667
Kentucky,2047,2179.4450842005963
Kentucky,2048,2243.596690896271
Kentucky,2049,2308.034042085324
Kentucky,2050,2376.165320459111
Kentucky,2051,2441.8322445918775
Kentucky,2052,2509.582953069056
Kentucky,2053,2577.69818043156
Kentucky,2054,2647.0729922939745
Kentucky,2055,2716.628295531288
Kentucky,2056,2787.00700309725
Kentucky,2057,2859.337869940163
Kentucky,2058,2929.9405598494177
Kentucky,2059,3002.7892816274943
Kentucky,2060,3074.845002783343
Kentucky,2061,3151.0813212913868
Kentucky,2062,3225.4040985863517
Kentucky,2063,3300.1787228893554
Kentucky,2064,3377.463332454051
Kentucky,2065,3454.283066084109
Kentucky,2066,3531.83517861959
Kentucky,2067,3610.5361092140624
Kentucky,2068,3691.0533903138817
Kentucky,2069,3769.021730462583
Kentucky,2070,3851.250657269141
Kentucky,2071,3932.649569606669
Kentucky,2072,4015.75317206971
Kentucky,2073,4100.899553909896
Kentucky,2074,4186.647173642244
Kentucky,2075,4271.853471333644
Kentucky,2076,4362.077498092951
Kentucky,2077,4452.35213684581
Kentucky,2078,4542.588608411313
Kentucky,2079,4634.670108152393
Kentucky,2080,4731.178318155914
Kentucky,2081,4822.49215679854
Kentucky,2082,4919.22992005416
Kentucky,2083,5013.3229103011845
Kentucky,2084,5115.434473444208
Kentucky,2085,5211.943670955713
Kentucky,2086,5314.1069256078445
Kentucky,2087,5417.335024641871
Kentucky,2088,5522.965953284984
Kentucky,2089,5627.750560324764
Kentucky,2090,5730.837230779198
Kentucky,2091,5838.974983315902
Kentucky,2092,5947.693953083209
Kentucky,2093,6051.490748763542
Kentucky,2094,6157.343860487257
Kentucky,2095,6262.906177793615
Kentucky,2096,6374.390388618582
Kentucky,2097,6475.526692173469
Kentucky,2098,6582.626897993441
Kentucky,2099,6686.20396608769
