state,Year,cdd
Maine,2020,4779.2090264402705
Maine,2021,4342.952179779425
Maine,2022,4712.623840104493
Maine,2023,4303.898348285162
Maine,2024,4429.9790118684505
Maine,2025,4593.481457401343
Maine,2026,4579.286025010113
Maine,2027,4497.932634787665
Maine,2028,4487.691268835891
Maine,2029,4672.6789684658115
Maine,2030,4115.961411956726
Maine,2031,4161.8111694530635
Maine,2032,4531.729305577347
Maine,2033,4502.933665648163
Maine,2034,4541.711624791188
Maine,2035,4368.189545014106
Maine,2036,4379.584532136779
Maine,2037,4591.050108524844
Maine,2038,3972.714191408642
Maine,2039,4027.0490015035607
Maine,2040,4433.871857944407
Maine,2041,4240.677553877152
Maine,2042,4355.778610843515
Maine,2043,4708.0454235401285
Maine,2044,4583.106269449871
Maine,2045,4425.424180319362
Maine,2046,3951.039259413501
Maine,2047,4547.373010967357
Maine,2048,4381.450870606234
Maine,2049,4451.355229276377
Maine,2050,3806.037047624801
Maine,2051,4068.6703476295966
Maine,2052,3821.3153229525356
Maine,2053,4206.408739643797
Maine,2054,4320.578453746014
Maine,2055,4363.569851143068
Maine,2056,3949.413878651155
Maine,2057,4004.9286591383393
Maine,2058,4200.694180214707
Maine,2059,4311.343652391376
Maine,2060,4093.0918704088813
Maine,2061,3714.386119555344
Maine,2062,4035.025961941279
Maine,2063,3687.104052163023
Maine,2064,3818.1011745735336
Maine,2065,3951.269328073536
Maine,2066,3924.2249864168803
Maine,2067,3881.6059800783714
Maine,2068,3848.626978442704
Maine,2069,4040.9231416427037
Maine,2070,3530.0540398041476
Maine,2071,3556.121298667499
Maine,2072,3890.455908131512
Maine,2073,3878.498363300847
Maine,2074,3882.4406216763523
Maine,2075,3709.4360029088048
Maine,2076,3719.4501480644685
Maine,2077,3885.0641831124603
Maine,2078,3304.406389689512
Maine,2079,3368.617754885162
Maine,2080,3715.2190586261972
Maine,2081,3495.7149914311312
Maine,2082,3625.5064259668216
Maine,2083,3973.544838705857
Maine,2084,3837.321221236735
Maine,2085,3728.1636901507754
Maine,2086,3221.8948290554786
Maine,2087,3801.5361934293505
Maine,2088,3664.4898920761207
Maine,2089,3682.7921453067593
Maine,2090,3110.9930201101024
Maine,2091,3407.0127899791382
Maine,2092,3200.2196062994653
Maine,2093,3550.210789032526
Maine,2094,3664.6592287698945
Maine,2095,3732.7958447757983
Maine,2096,3343.3576589753698
Maine,2097,3377.187883732197
Maine,2098,3539.956776121985
Maine,2099,3598.93343804106
