state,Year,hdd
Maine,2020,221.78300510268275
Maine,2021,163.68647363234032
Maine,2022,137.54043931627865
Maine,2023,276.68780169238875
Maine,2024,238.80604729169096
Maine,2025,163.8019993744012
Maine,2026,133.2564663931293
Maine,2027,186.6899852244153
Maine,2028,311.00021751352693
Maine,2029,218.41789661373144
Maine,2030,250.74206432156075
Maine,2031,267.36735641552553
Maine,2032,148.9984628720926
Maine,2033,252.9312208487878
Maine,2034,269.1401809611758
Maine,2035,275.5217150434894
Maine,2036,184.71176373040532
Maine,2037,216.55813859273343
Maine,2038,223.13043845262092
Maine,2039,333.1565297772737
Maine,2040,159.55970529757633
Maine,2041,283.413796128357
Maine,2042,288.0391705715373
Maine,2043,250.6773665291023
Maine,2044,165.7427322469025
Maine,2045,308.5888561677661
Maine,2046,279.7461695867061
Maine,2047,240.25675328831625
Maine,2048,244.39771037749205
Maine,2049,204.804312078752
Maine,2050,369.8739892134586
Maine,2051,321.5097014000475
Maine,2052,345.3062579658959
Maine,2053,329.45897476563295
Maine,2054,316.41139872848936
Maine,2055,326.715880036567
Maine,2056,377.46047906343654
Maine,2057,318.14972635405434
Maine,2058,434.3207914144866
Maine,2059,316.25027431976065
Maine,2060,480.1783868586303
Maine,2061,463.11458317445215
Maine,2062,395.2811332331656
Maine,2063,584.9635602774221
Maine,2064,523.0404362510693
Maine,2065,436.22246650075436
Maine,2066,371.56288730975166
Maine,2067,475.26676453858335
Maine,2068,587.8871292839353
Maine,2069,550.17347548902
Maine,2070,577.2927632202114
Maine,2071,610.5394105926422
Maine,2072,475.52845974279836
Maine,2073,594.1094032282728
Maine,2074,587.859877274811
Maine,2075,616.2886889744882
Maine,2076,552.6827504468025
Maine,2077,585.2349662370805
Maine,2078,616.5666073886703
Maine,2079,758.4928626580581
Maine,2080,513.0664759132005
Maine,2081,710.0831100424273
Maine,2082,667.7076471122932
Maine,2083,663.020830153026
Maine,2084,549.7797497354795
Maine,2085,748.5584241766851
Maine,2086,693.53367696759
Maine,2087,681.5317612257617
Maine,2088,653.4110132641124
Maine,2089,590.0024877156528
Maine,2090,820.6426174318158
Maine,2091,798.261791995471
Maine,2092,825.5572358135013
Maine,2093,761.9526695094457
Maine,2094,763.0773944750185
Maine,2095,780.167546826987
Maine,2096,854.8981341958797
Maine,2097,814.1896599223088
Maine,2098,867.9523388603802
Maine,2099,706.8263045048318
