state,Year,cdd
Maryland,2020,2995.8709292767244
Maryland,2021,2937.5223972869417
Maryland,2022,2846.2141474457662
Maryland,2023,2774.878512102294
Maryland,2024,2775.351908430091
Maryland,2025,2674.395833956871
Maryland,2026,2718.8462445955415
Maryland,2027,2803.556377900652
Maryland,2028,2893.7288002829946
Maryland,2029,2883.4371212489896
Maryland,2030,2316.27026151887
Maryland,2031,2428.0667831996084
Maryland,2032,2694.752876261653
Maryland,2033,2772.476125888956
Maryland,2034,2784.8421203734206
Maryland,2035,2736.193070553578
Maryland,2036,2949.2416736672185
Maryland,2037,2764.498487325033
Maryland,2038,2248.871505727395
Maryland,2039,2600.351029124906
Maryland,2040,2832.1864329304203
Maryland,2041,2570.481075559352
Maryland,2042,2550.6960838059285
Maryland,2043,2938.9423246048505
Maryland,2044,2709.419806294241
Maryland,2045,2780.201762513046
Maryland,2046,2399.192990206567
Maryland,2047,2609.5060496003334
Maryland,2048,2603.3003866829654
Maryland,2049,2698.0155574809296
Maryland,2050,2726.052147532913
Maryland,2051,2484.636632763769
Maryland,2052,2208.30026674199
Maryland,2053,2667.3203575238967
Maryland,2054,2848.389779931516
Maryland,2055,2544.3834592996723
Maryland,2056,2503.194972774468
Maryland,2057,2308.8299821785067
Maryland,2058,2592.9513012163748
Maryland,2059,2467.6446564530056
Maryland,2060,2551.280380825395
Maryland,2061,2479.733199102151
Maryland,2062,2374.7774037586855
Maryland,2063,2362.6347685569344
Maryland,2064,2331.141272081615
Maryland,2065,2284.1576483840327
Maryland,2066,2303.7867477773557
Maryland,2067,2366.9769305978625
Maryland,2068,2449.9397740963395
Maryland,2069,2460.2877372622443
Maryland,2070,1905.744876963636
Maryland,2071,2027.032113478947
Maryland,2072,2253.577003178737
Maryland,2073,2312.5702125736134
Maryland,2074,2296.5347960770073
Maryland,2075,2288.27187396537
Maryland,2076,2449.0761782243944
Maryland,2077,2238.938597181481
Maryland,2078,1792.844547630358
Maryland,2079,2114.774439607046
Maryland,2080,2301.006927555206
Maryland,2081,2096.468485706748
Maryland,2082,2093.0504906903143
Maryland,2083,2417.692419513085
Maryland,2084,2277.1058713817615
Maryland,2085,2298.170097366333
Maryland,2086,1927.3699066656582
Maryland,2087,2181.608068759016
Maryland,2088,2149.6495397126055
Maryland,2089,2252.9831041655107
Maryland,2090,2278.261713104897
Maryland,2091,2051.8562985242525
Maryland,2092,1810.0544846480618
Maryland,2093,2224.7316300772095
Maryland,2094,2405.6260311062465
Maryland,2095,2112.5878650454415
Maryland,2096,2085.321354555326
Maryland,2097,1877.06213386796
Maryland,2098,2166.8477350898957
Maryland,2099,2037.1783801457318
