state,Year,cdd
Maryland,2020,3019.255330947418
Maryland,2021,2924.5686311743775
Maryland,2022,2833.1656063044375
Maryland,2023,2768.1108310845193
Maryland,2024,2768.3617899485344
Maryland,2025,2657.38157472916
Maryland,2026,2676.932091961172
Maryland,2027,2744.29614944933
Maryland,2028,2852.746358267803
Maryland,2029,2831.825327630846
Maryland,2030,2241.4657197928923
Maryland,2031,2338.522749376216
Maryland,2032,2634.3723707473687
Maryland,2033,2732.6792819465136
Maryland,2034,2730.8494331590714
Maryland,2035,2712.058765286264
Maryland,2036,2869.0622607286173
Maryland,2037,2711.8231723551435
Maryland,2038,2179.438981374477
Maryland,2039,2507.290975210838
Maryland,2040,2696.2468698450452
Maryland,2041,2453.29673925198
Maryland,2042,2467.538389297775
Maryland,2043,2820.0862107416106
Maryland,2044,2610.9423052895154
Maryland,2045,2669.9015833585427
Maryland,2046,2258.2300038110698
Maryland,2047,2547.8950883773327
Maryland,2048,2549.0296816351206
Maryland,2049,2609.0992469483845
Maryland,2050,2628.227701735067
Maryland,2051,2420.3907144978457
Maryland,2052,2156.5774025036967
Maryland,2053,2609.7803776372753
Maryland,2054,2833.64024832224
Maryland,2055,2490.1386101893095
Maryland,2056,2426.2352704833224
Maryland,2057,2251.697246796918
Maryland,2058,2524.0864756975934
Maryland,2059,2392.3106002203326
Maryland,2060,2381.9197994503456
Maryland,2061,2244.3594227366675
Maryland,2062,2186.8424214935435
Maryland,2063,2178.8862203473977
Maryland,2064,2148.9786544191265
Maryland,2065,2109.9862049938806
Maryland,2066,2088.87534827627
Maryland,2067,2113.279381456956
Maryland,2068,2223.3173689533646
Maryland,2069,2256.412308780801
Maryland,2070,1718.2977474381528
Maryland,2071,1819.5733235486261
Maryland,2072,2047.92222837286
Maryland,2073,2126.6838762482653
Maryland,2074,2066.50121373317
Maryland,2075,2079.756029996583
Maryland,2076,2247.447141537161
Maryland,2077,2024.7218557364035
Maryland,2078,1572.6704859604606
Maryland,2079,1884.149427715981
Maryland,2080,2046.8959892903383
Maryland,2081,1797.6166652182337
Maryland,2082,1837.9781757822755
Maryland,2083,2130.153356449381
Maryland,2084,2002.3557844692896
Maryland,2085,2031.2842278340404
Maryland,2086,1659.9939599988795
Maryland,2087,1941.443592499505
Maryland,2088,1904.2557448474427
Maryland,2089,1933.955842014001
Maryland,2090,1957.003211149327
Maryland,2091,1768.8045718162384
Maryland,2092,1565.327055727913
Maryland,2093,1950.7333987971465
Maryland,2094,2136.039640902497
Maryland,2095,1854.633748373567
Maryland,2096,1823.7151112242586
Maryland,2097,1680.3884998660037
Maryland,2098,1935.9693997345094
Maryland,2099,1843.140930786216
