state,Year,Date
Maryland,2020,2020-12-25
Maryland,2021,2021-01-11
Maryland,2021,2021-01-12
Maryland,2022,2022-01-10
Maryland,2022,2022-01-11
Maryland,2022,2022-01-17
Maryland,2022,2022-01-18
Maryland,2022,2022-01-27
Maryland,2023,2023-12-25
Maryland,2023,2023-12-26
Maryland,2024,2024-01-20
Maryland,2024,2024-01-21
Maryland,2024,2024-01-22
Maryland,2025,2025-01-20
Maryland,2025,2025-01-21
Maryland,2027,2027-01-24
Maryland,2027,2027-01-25
Maryland,2027,2027-01-27
Maryland,2027,2027-01-28
Maryland,2028,2028-01-06
Maryland,2029,2029-12-22
Maryland,2029,2029-12-23
Maryland,2033,2033-03-15
Maryland,2034,2034-01-16
Maryland,2034,2034-01-19
Maryland,2034,2034-01-20
Maryland,2034,2034-01-21
Maryland,2036,2036-01-11
Maryland,2036,2036-02-04
Maryland,2036,2036-02-05
Maryland,2036,2036-02-06
Maryland,2037,2037-01-19
Maryland,2045,2045-01-24
Maryland,2049,2049-01-17
Maryland,2054,2054-01-07
Maryland,2054,2054-01-23
Maryland,2055,2055-02-15
Maryland,2055,2055-02-16
Maryland,2055,2055-02-20
Maryland,2055,2055-02-24
Maryland,2056,2056-02-14
Maryland,2058,2058-01-07
Maryland,2059,2059-01-31
Maryland,2062,2062-01-11
Maryland,2062,2062-01-17
Maryland,2062,2062-01-18
Maryland,2065,2065-01-21
Maryland,2067,2067-01-24
Maryland,2067,2067-01-27
Maryland,2074,2074-01-19
Maryland,2074,2074-01-20
Maryland,2076,2076-02-05
Maryland,2094,2094-01-07
Maryland,2095,2095-02-20
Maryland,2098,2098-01-07
