state,Year,hdd
Maryland,2020,818.8667154311038
Maryland,2021,663.1607695712078
Maryland,2022,581.1360633120598
Maryland,2023,809.0257421780502
Maryland,2024,660.2893945881574
Maryland,2025,706.226290148779
Maryland,2026,748.870049511619
Maryland,2027,826.8533713893512
Maryland,2028,803.1820916964139
Maryland,2029,702.5134038682434
Maryland,2030,710.0083402694175
Maryland,2031,953.3928988920471
Maryland,2032,592.4804277623556
Maryland,2033,811.9284357691756
Maryland,2034,712.182555297399
Maryland,2035,804.5495942859591
Maryland,2036,652.7755319655832
Maryland,2037,652.1774446050201
Maryland,2038,800.4519499997311
Maryland,2039,793.1536065743439
Maryland,2040,613.4766392058444
Maryland,2041,686.1982640662943
Maryland,2042,895.9668907951684
Maryland,2043,631.6874663934931
Maryland,2044,732.4989113042504
Maryland,2045,785.4783195533298
Maryland,2046,704.7866423675953
Maryland,2047,849.7376640350565
Maryland,2048,711.2964858492821
Maryland,2049,652.5850044196424
Maryland,2050,945.3360223951604
Maryland,2051,878.7024314329341
Maryland,2052,839.5559027630226
Maryland,2053,737.4091604828909
Maryland,2054,678.6128329891594
Maryland,2055,783.8190980279262
Maryland,2056,873.3353020735607
Maryland,2057,792.4066558836105
Maryland,2058,894.298585493774
Maryland,2059,912.9030904629617
Maryland,2060,1107.0501487485383
Maryland,2061,915.4631745318753
Maryland,2062,836.1593816464243
Maryland,2063,1025.3574140676346
Maryland,2064,897.2836770662868
Maryland,2065,1003.5765335781157
Maryland,2066,988.0369244414285
Maryland,2067,1041.964378434317
Maryland,2068,1013.3076886980929
Maryland,2069,925.179108614844
Maryland,2070,961.8389173837926
Maryland,2071,1224.5020476575905
Maryland,2072,809.1955955847973
Maryland,2073,1056.7159073165346
Maryland,2074,931.978881321567
Maryland,2075,1068.2920887480618
Maryland,2076,864.4709044478635
Maryland,2077,825.757967439736
Maryland,2078,1026.5246449910417
Maryland,2079,1026.6726770145806
Maryland,2080,843.0998240783304
Maryland,2081,944.7419313324126
Maryland,2082,1175.1416323476626
Maryland,2083,820.5647495766705
Maryland,2084,949.5286615207899
Maryland,2085,973.8872377697489
Maryland,2086,904.5860922630408
Maryland,2087,1098.9505253151742
Maryland,2088,900.2426300807477
Maryland,2089,827.7363090325389
Maryland,2090,1158.3657639637463
Maryland,2091,1075.4468855219304
Maryland,2092,1035.0469325390934
Maryland,2093,896.8531939078925
Maryland,2094,844.7657659978167
Maryland,2095,945.6328464107343
Maryland,2096,1029.6100937199103
Maryland,2097,943.990931967759
Maryland,2098,1055.231130244003
Maryland,2099,1088.6728243671405
