state,Year,Date
Massachusetts,2020,2020-12-25
Massachusetts,2020,2020-12-26
Massachusetts,2021,2021-01-03
Massachusetts,2021,2021-01-04
Massachusetts,2021,2021-01-05
Massachusetts,2021,2021-01-12
Massachusetts,2022,2022-01-18
Massachusetts,2022,2022-01-23
Massachusetts,2022,2022-01-26
Massachusetts,2022,2022-01-27
Massachusetts,2027,2027-02-14
Massachusetts,2027,2027-02-16
Massachusetts,2028,2028-01-14
Massachusetts,2033,2033-03-15
Massachusetts,2034,2034-01-16
Massachusetts,2034,2034-01-17
Massachusetts,2034,2034-01-20
Massachusetts,2034,2034-01-27
Massachusetts,2035,2035-02-06
Massachusetts,2035,2035-02-07
Massachusetts,2036,2036-01-06
Massachusetts,2043,2043-01-18
Massachusetts,2043,2043-01-22
Massachusetts,2043,2043-01-23
Massachusetts,2043,2043-01-28
Massachusetts,2043,2043-02-14
Massachusetts,2043,2043-02-16
Massachusetts,2044,2044-01-10
Massachusetts,2044,2044-01-14
Massachusetts,2044,2044-01-16
Massachusetts,2044,2044-01-25
Massachusetts,2051,2051-01-24
Massachusetts,2054,2054-01-04
Massachusetts,2055,2055-02-06
Massachusetts,2055,2055-02-14
Massachusetts,2055,2055-02-16
Massachusetts,2055,2055-02-21
Massachusetts,2055,2055-02-24
Massachusetts,2056,2056-02-14
Massachusetts,2058,2058-01-07
Massachusetts,2060,2060-12-25
Massachusetts,2061,2061-01-05
Massachusetts,2074,2074-01-16
Massachusetts,2095,2095-02-24
