state,Year,hdd
Massachusetts,2020,365.78388428565887
Massachusetts,2021,316.4927612701733
Massachusetts,2022,218.3415977048124
Massachusetts,2023,422.61944604802557
Massachusetts,2024,340.144451108275
Massachusetts,2025,260.68873129539946
Massachusetts,2026,239.44907647303506
Massachusetts,2027,315.01517951702004
Massachusetts,2028,428.4009525203168
Massachusetts,2029,343.09046157376696
Massachusetts,2030,337.07348008304314
Massachusetts,2031,397.15780066214614
Massachusetts,2032,256.0880099074746
Massachusetts,2033,369.03661652296364
Massachusetts,2034,376.46264498581246
Massachusetts,2035,339.948041646309
Massachusetts,2036,280.12695715281603
Massachusetts,2037,317.5534853828591
Massachusetts,2038,334.30453674751766
Massachusetts,2039,433.73724764666144
Massachusetts,2040,238.83480022126253
Massachusetts,2041,355.4119715879932
Massachusetts,2042,385.6175944842286
Massachusetts,2043,324.63746399585153
Massachusetts,2044,252.05623137396145
Massachusetts,2045,406.07404143597876
Massachusetts,2046,343.9466009182309
Massachusetts,2047,348.33934304613524
Massachusetts,2048,361.9633708971538
Massachusetts,2049,248.4195151457746
Massachusetts,2050,436.93852135237205
Massachusetts,2051,408.94160726729456
Massachusetts,2052,418.8647849845992
Massachusetts,2053,383.8635168636803
Massachusetts,2054,293.60600806372076
Massachusetts,2055,370.24197157505466
Massachusetts,2056,446.33800531313364
Massachusetts,2057,359.5098773091511
Massachusetts,2058,441.44395211017286
Massachusetts,2059,347.7854639499557
Massachusetts,2060,478.34941565657874
Massachusetts,2061,447.3793638287011
Massachusetts,2062,314.67491268007336
Massachusetts,2063,535.8690010018464
Massachusetts,2064,457.57909285421533
Massachusetts,2065,365.58258832877397
Massachusetts,2066,342.53676693012903
Massachusetts,2067,415.24592312089476
Massachusetts,2068,531.5979896115159
Massachusetts,2069,447.0699831238247
Massachusetts,2070,460.6209087652496
Massachusetts,2071,525.8618262872094
Massachusetts,2072,371.7055574790885
Massachusetts,2073,491.6380101106471
Massachusetts,2074,473.3397655895145
Massachusetts,2075,447.4067796467025
Massachusetts,2076,391.14271669774524
Massachusetts,2077,424.848240231264
Massachusetts,2078,454.6197414318755
Massachusetts,2079,542.6310962015116
Massachusetts,2080,338.09276032125024
Massachusetts,2081,487.36976866539095
Massachusetts,2082,488.1618214731745
Massachusetts,2083,405.9666473748424
Massachusetts,2084,331.3765413620135
Massachusetts,2085,501.63037493862555
Massachusetts,2086,434.0870393460622
Massachusetts,2087,430.7073598407349
Massachusetts,2088,438.4960837134259
Massachusetts,2089,310.4162166124038
Massachusetts,2090,536.4373175003076
Massachusetts,2091,497.21543255589984
Massachusetts,2092,497.9439217792275
Massachusetts,2093,464.02015976119185
Massachusetts,2094,379.86526236898715
Massachusetts,2095,476.92368528433406
Massachusetts,2096,541.0455171976114
Massachusetts,2097,455.19562918109295
Massachusetts,2098,559.1105379878646
Massachusetts,2099,455.4465273083898
