state,Year,cdd
Minnesota,2020,4786.389275422845
Minnesota,2021,4225.912481509014
Minnesota,2022,5013.416376432888
Minnesota,2023,4774.015909358017
Minnesota,2024,4627.984049225575
Minnesota,2025,4985.494791667833
Minnesota,2026,4524.656208370159
Minnesota,2027,3795.229198897621
Minnesota,2028,4815.683507204968
Minnesota,2029,5004.941668424003
Minnesota,2030,4239.528521422183
Minnesota,2031,4641.851199371683
Minnesota,2032,4089.6227262689017
Minnesota,2033,4739.712648241451
Minnesota,2034,4541.804282572249
Minnesota,2035,4618.811381348479
Minnesota,2036,5185.5671350202365
Minnesota,2037,4590.589257549245
Minnesota,2038,3672.0054344650157
Minnesota,2039,3948.236049628818
Minnesota,2040,4198.308391468961
Minnesota,2041,4246.109842324902
Minnesota,2042,4354.090388471037
Minnesota,2043,4341.331073436231
Minnesota,2044,4121.35482936958
Minnesota,2045,4078.629856673206
Minnesota,2046,3774.4765615004103
Minnesota,2047,4164.094302061046
Minnesota,2048,4723.836378110784
Minnesota,2049,4477.224204203172
Minnesota,2050,4132.91546009758
Minnesota,2051,4395.385047603207
Minnesota,2052,3546.064942724113
Minnesota,2053,4790.437266422421
Minnesota,2054,4956.364295703363
Minnesota,2055,3862.29761387111
Minnesota,2056,3712.8300063677343
Minnesota,2057,3868.304180803412
Minnesota,2058,4440.375355269394
Minnesota,2059,4599.123570101193
Minnesota,2060,3859.189711020692
Minnesota,2061,3254.448573286737
Minnesota,2062,3981.4545882048633
Minnesota,2063,3700.1345875939655
Minnesota,2064,3646.3903702208027
Minnesota,2065,3985.9930377434976
Minnesota,2066,3482.534779847975
Minnesota,2067,2864.724395215832
Minnesota,2068,3749.903585301022
Minnesota,2069,3871.908672637244
Minnesota,2070,3200.548644724525
Minnesota,2071,3502.9912044248604
Minnesota,2072,3071.4115217927997
Minnesota,2073,3552.5710887336713
Minnesota,2074,3510.861525694402
Minnesota,2075,3440.2989515358877
Minnesota,2076,3960.0525705230475
Minnesota,2077,3406.090614269557
Minnesota,2078,2620.747736554837
Minnesota,2079,2922.364295204189
Minnesota,2080,3115.404490980234
Minnesota,2081,2900.50729781283
Minnesota,2082,3242.683029019813
Minnesota,2083,3202.804939412031
Minnesota,2084,3045.6654124743263
Minnesota,2085,3025.5578112371186
Minnesota,2086,2669.010744657956
Minnesota,2087,3107.4134999801972
Minnesota,2088,3461.1742793057697
Minnesota,2089,3421.3863973547695
Minnesota,2090,2974.1817910704376
Minnesota,2091,3215.801778055864
Minnesota,2092,2521.238209050509
Minnesota,2093,3537.6483240786133
Minnesota,2094,3756.9140638839226
Minnesota,2095,2792.023404831859
Minnesota,2096,2694.83507006566
Minnesota,2097,2846.834382721291
Minnesota,2098,3360.885093508917
Minnesota,2099,3494.6371714157895
