state,Year,Date
Minnesota,2020,2020-07-07
Minnesota,2020,2020-07-10
Minnesota,2020,2020-07-11
Minnesota,2020,2020-07-14
Minnesota,2020,2020-07-15
Minnesota,2020,2020-08-01
Minnesota,2020,2020-08-06
Minnesota,2020,2020-08-19
Minnesota,2020,2020-08-20
Minnesota,2020,2020-08-24
Minnesota,2020,2020-08-25
Minnesota,2020,2020-08-29
Minnesota,2020,2020-09-03
Minnesota,2020,2020-09-07
Minnesota,2020,2020-09-08
Minnesota,2021,2021-07-06
Minnesota,2021,2021-07-08
Minnesota,2021,2021-07-31
Minnesota,2021,2021-08-12
Minnesota,2021,2021-08-13
Minnesota,2021,2021-09-10
Minnesota,2022,2022-07-04
Minnesota,2022,2022-09-11
Minnesota,2023,2023-07-09
Minnesota,2023,2023-07-10
Minnesota,2023,2023-07-13
Minnesota,2023,2023-07-14
Minnesota,2023,2023-07-19
Minnesota,2023,2023-07-20
Minnesota,2023,2023-07-21
Minnesota,2023,2023-07-22
Minnesota,2023,2023-07-29
Minnesota,2023,2023-08-03
Minnesota,2023,2023-08-04
Minnesota,2023,2023-08-06
Minnesota,2023,2023-08-07
Minnesota,2023,2023-08-08
Minnesota,2023,2023-08-15
Minnesota,2023,2023-08-16
Minnesota,2023,2023-08-19
Minnesota,2023,2023-08-25
Minnesota,2023,2023-08-26
Minnesota,2023,2023-08-27
Minnesota,2023,2023-08-28
Minnesota,2023,2023-08-29
Minnesota,2023,2023-08-30
Minnesota,2023,2023-09-01
Minnesota,2023,2023-09-02
Minnesota,2023,2023-09-03
Minnesota,2023,2023-09-08
Minnesota,2023,2023-09-09
Minnesota,2024,2024-07-22
Minnesota,2024,2024-08-06
Minnesota,2024,2024-08-13
Minnesota,2024,2024-08-14
Minnesota,2024,2024-08-27
Minnesota,2024,2024-08-28
Minnesota,2024,2024-08-29
Minnesota,2024,2024-09-19
Minnesota,2025,2025-06-08
Minnesota,2025,2025-07-07
Minnesota,2025,2025-09-06
Minnesota,2027,2027-06-13
Minnesota,2027,2027-06-14
Minnesota,2027,2027-06-18
Minnesota,2027,2027-07-10
Minnesota,2027,2027-07-11
Minnesota,2027,2027-07-17
Minnesota,2027,2027-07-19
Minnesota,2027,2027-07-20
Minnesota,2027,2027-07-21
Minnesota,2027,2027-07-22
Minnesota,2027,2027-07-23
Minnesota,2027,2027-07-24
Minnesota,2027,2027-07-25
Minnesota,2027,2027-07-26
Minnesota,2027,2027-07-27
Minnesota,2027,2027-07-28
Minnesota,2027,2027-07-29
Minnesota,2027,2027-07-30
Minnesota,2027,2027-07-31
Minnesota,2027,2027-08-01
Minnesota,2027,2027-08-02
Minnesota,2027,2027-08-03
Minnesota,2027,2027-08-06
Minnesota,2027,2027-08-15
Minnesota,2027,2027-08-16
Minnesota,2027,2027-08-21
Minnesota,2027,2027-09-04
Minnesota,2028,2028-06-07
Minnesota,2028,2028-06-12
Minnesota,2028,2028-06-13
Minnesota,2028,2028-06-18
Minnesota,2028,2028-06-19
Minnesota,2028,2028-06-20
Minnesota,2028,2028-06-21
Minnesota,2028,2028-06-22
Minnesota,2028,2028-06-24
Minnesota,2028,2028-06-25
Minnesota,2028,2028-07-04
Minnesota,2028,2028-07-05
Minnesota,2028,2028-07-06
Minnesota,2028,2028-07-07
Minnesota,2028,2028-07-08
Minnesota,2028,2028-07-13
Minnesota,2028,2028-07-14
Minnesota,2028,2028-07-15
Minnesota,2028,2028-07-16
Minnesota,2028,2028-07-17
Minnesota,2028,2028-07-23
Minnesota,2028,2028-07-26
Minnesota,2028,2028-07-27
Minnesota,2028,2028-07-28
Minnesota,2028,2028-07-29
Minnesota,2028,2028-07-30
Minnesota,2028,2028-07-31
Minnesota,2028,2028-08-01
Minnesota,2028,2028-08-02
Minnesota,2028,2028-08-03
Minnesota,2028,2028-08-04
Minnesota,2028,2028-08-06
Minnesota,2028,2028-08-07
Minnesota,2028,2028-08-08
Minnesota,2028,2028-08-10
Minnesota,2028,2028-08-11
Minnesota,2028,2028-08-12
Minnesota,2028,2028-08-13
Minnesota,2028,2028-08-14
Minnesota,2028,2028-08-15
Minnesota,2028,2028-08-16
Minnesota,2028,2028-08-17
Minnesota,2028,2028-08-18
Minnesota,2028,2028-08-31
Minnesota,2028,2028-09-11
Minnesota,2029,2029-07-02
Minnesota,2029,2029-07-03
Minnesota,2029,2029-07-04
Minnesota,2029,2029-07-05
Minnesota,2029,2029-07-06
Minnesota,2029,2029-07-08
Minnesota,2029,2029-07-09
Minnesota,2029,2029-07-10
Minnesota,2029,2029-07-25
Minnesota,2029,2029-07-26
Minnesota,2029,2029-07-27
Minnesota,2029,2029-08-01
Minnesota,2029,2029-08-02
Minnesota,2029,2029-08-03
Minnesota,2029,2029-08-04
Minnesota,2029,2029-08-05
Minnesota,2029,2029-08-11
Minnesota,2029,2029-08-31
Minnesota,2030,2030-07-03
Minnesota,2030,2030-07-04
Minnesota,2030,2030-08-26
Minnesota,2030,2030-08-27
Minnesota,2030,2030-09-12
Minnesota,2030,2030-09-13
Minnesota,2031,2031-06-26
Minnesota,2031,2031-07-18
Minnesota,2031,2031-08-24
Minnesota,2031,2031-08-25
Minnesota,2031,2031-08-26
Minnesota,2031,2031-08-27
Minnesota,2031,2031-08-28
Minnesota,2031,2031-08-29
Minnesota,2031,2031-08-30
Minnesota,2032,2032-08-09
Minnesota,2034,2034-06-14
Minnesota,2034,2034-08-24
Minnesota,2034,2034-08-27
Minnesota,2035,2035-06-17
Minnesota,2035,2035-07-12
Minnesota,2035,2035-07-13
Minnesota,2035,2035-07-14
Minnesota,2035,2035-07-30
Minnesota,2035,2035-08-18
Minnesota,2035,2035-08-30
Minnesota,2036,2036-06-28
Minnesota,2036,2036-08-06
Minnesota,2036,2036-08-13
Minnesota,2036,2036-08-21
Minnesota,2036,2036-08-22
Minnesota,2036,2036-08-24
Minnesota,2036,2036-08-25
Minnesota,2036,2036-09-04
Minnesota,2036,2036-09-05
Minnesota,2037,2037-07-16
Minnesota,2037,2037-08-02
Minnesota,2037,2037-09-01
Minnesota,2038,2038-07-13
Minnesota,2038,2038-07-20
Minnesota,2038,2038-08-23
Minnesota,2038,2038-09-04
Minnesota,2038,2038-09-05
Minnesota,2038,2038-09-10
Minnesota,2038,2038-09-11
Minnesota,2038,2038-09-13
Minnesota,2039,2039-07-23
Minnesota,2039,2039-07-24
Minnesota,2039,2039-07-25
Minnesota,2039,2039-07-28
Minnesota,2039,2039-07-29
Minnesota,2039,2039-07-30
Minnesota,2039,2039-08-26
Minnesota,2039,2039-08-27
Minnesota,2039,2039-09-02
Minnesota,2039,2039-09-03
Minnesota,2039,2039-09-07
Minnesota,2040,2040-07-13
Minnesota,2040,2040-07-31
Minnesota,2040,2040-08-10
Minnesota,2040,2040-08-11
Minnesota,2040,2040-08-12
Minnesota,2040,2040-08-13
Minnesota,2040,2040-08-14
Minnesota,2040,2040-08-15
Minnesota,2040,2040-08-24
Minnesota,2040,2040-08-25
Minnesota,2040,2040-08-28
Minnesota,2040,2040-08-29
Minnesota,2040,2040-08-30
Minnesota,2040,2040-08-31
Minnesota,2040,2040-09-09
Minnesota,2040,2040-09-18
Minnesota,2041,2041-07-17
Minnesota,2041,2041-07-18
Minnesota,2041,2041-07-19
Minnesota,2041,2041-07-20
Minnesota,2041,2041-07-21
Minnesota,2041,2041-07-22
Minnesota,2041,2041-07-23
Minnesota,2041,2041-07-30
Minnesota,2041,2041-07-31
Minnesota,2041,2041-08-01
Minnesota,2041,2041-08-03
Minnesota,2041,2041-08-04
Minnesota,2041,2041-08-05
Minnesota,2041,2041-08-06
Minnesota,2041,2041-08-07
Minnesota,2041,2041-08-08
Minnesota,2041,2041-08-09
Minnesota,2041,2041-08-21
Minnesota,2041,2041-08-22
Minnesota,2041,2041-08-29
Minnesota,2041,2041-09-02
Minnesota,2041,2041-09-05
Minnesota,2041,2041-09-06
Minnesota,2042,2042-06-24
Minnesota,2042,2042-06-29
Minnesota,2042,2042-06-30
Minnesota,2042,2042-07-01
Minnesota,2042,2042-07-20
Minnesota,2042,2042-07-21
