state,Year,hdd
Mississippi,2020,1523.9519550306704
Mississippi,2021,1507.813997465262
Mississippi,2022,1519.3164760789155
Mississippi,2023,1317.7220276400587
Mississippi,2024,1423.8612534935826
Mississippi,2025,1572.139091794385
Mississippi,2026,1625.5750785854748
Mississippi,2027,1455.169244971412
Mississippi,2028,1479.548933523903
Mississippi,2029,1363.4182326425002
Mississippi,2030,1666.811806148134
Mississippi,2031,1590.9894961509785
Mississippi,2032,1355.4263045405987
Mississippi,2033,1500.6670373622835
Mississippi,2034,1400.7978307116966
Mississippi,2035,1604.120767069228
Mississippi,2036,1505.3593805825506
Mississippi,2037,1400.1820095865614
Mississippi,2038,1883.3064731932673
Mississippi,2039,1711.009221238527
Mississippi,2040,1811.3387800726252
Mississippi,2041,1504.6266979859915
Mississippi,2042,1720.4440679971228
Mississippi,2043,1532.409700365884
Mississippi,2044,1637.2723570415924
Mississippi,2045,1660.7176788126137
Mississippi,2046,1829.7290254124264
Mississippi,2047,1888.2495771231347
Mississippi,2048,1683.9259284050247
Mississippi,2049,1596.6438034873293
Mississippi,2050,1983.8839834981086
Mississippi,2051,1994.0190888376455
Mississippi,2052,1861.507401780315
Mississippi,2053,1612.3312181491158
Mississippi,2054,1656.7420767911528
Mississippi,2055,1880.2214769430566
Mississippi,2056,1939.3052625628832
Mississippi,2057,1799.69630694119
Mississippi,2058,1977.64603976068
Mississippi,2059,1878.6232842109944
Mississippi,2060,2067.1607702663264
Mississippi,2061,2215.892730644332
Mississippi,2062,2252.849890446206
Mississippi,2063,1872.5098869913213
Mississippi,2064,2143.667002243288
Mississippi,2065,2316.3739644119414
Mississippi,2066,2402.8663248775038
Mississippi,2067,2139.710540931045
Mississippi,2068,2170.551684574854
Mississippi,2069,2048.54571281126
Mississippi,2070,2416.224423791101
Mississippi,2071,2282.0757537646355
Mississippi,2072,2133.4474204019443
Mississippi,2073,2206.7450384786125
Mississippi,2074,2176.384325793167
Mississippi,2075,2349.9701814824784
Mississippi,2076,2259.477151882473
Mississippi,2077,2122.5000868122493
Mississippi,2078,2712.507865000557
Mississippi,2079,2583.7490294932636
Mississippi,2080,2630.6868130869657
Mississippi,2081,2201.5993368646773
Mississippi,2082,2489.4078475879614
Mississippi,2083,2390.804417407471
Mississippi,2084,2462.486985526301
Mississippi,2085,2461.6552577317366
Mississippi,2086,2619.0085688140944
Mississippi,2087,2765.143364846457
Mississippi,2088,2514.7673736803326
Mississippi,2089,2357.511469264619
Mississippi,2090,2775.1666322886035
Mississippi,2091,2780.363195791895
Mississippi,2092,2702.548436447116
Mississippi,2093,2442.4137058136885
Mississippi,2094,2399.895813137484
Mississippi,2095,2772.3723643344324
Mississippi,2096,2839.3951073500643
Mississippi,2097,2632.6491752880365
Mississippi,2098,2778.889373375522
Mississippi,2099,2666.142994322786
