state,Year,cdd
Montana,2020,5479.53117254078
Montana,2021,5723.917821564106
Montana,2022,6003.031952920735
Montana,2023,6284.086174460097
Montana,2024,6596.522135992264
Montana,2025,6846.4799941401
Montana,2026,7127.484916228006
Montana,2027,7408.037431216567
Montana,2028,7722.37132368363
Montana,2029,7970.895148583253
Montana,2030,8252.49060839639
Montana,2031,8532.129600248292
Montana,2032,8851.502341556783
Montana,2033,9094.85981128768
Montana,2034,9376.318660980633
Montana,2035,9658.459272194332
Montana,2036,9980.401430233294
Montana,2037,10219.732553668722
Montana,2038,10502.412614122566
Montana,2039,10784.251924745371
Montana,2040,11109.736934632145
Montana,2041,11347.359108862507
Montana,2042,11627.20837021188
Montana,2043,11908.72737488566
Montana,2044,12237.493313676825
Montana,2045,12471.073588927673
Montana,2046,12751.470840322361
Montana,2047,13032.723183752933
Montana,2048,13364.492560771787
Montana,2049,13595.072828606104
Montana,2050,13876.012111113774
Montana,2051,14154.443981189886
Montana,2052,14489.644740290343
Montana,2053,14716.991339023156
Montana,2054,14995.325927597516
Montana,2055,15275.276426093116
Montana,2056,15610.936307633248
Montana,2057,15835.585335984288
Montana,2058,16115.230399018079
Montana,2059,16394.311437851346
Montana,2060,16731.57297144909
Montana,2061,16954.92071006733
Montana,2062,17236.371534800008
Montana,2063,17516.15609821565
Montana,2064,17860.090085159107
Montana,2065,18078.527094138957
Montana,2066,18359.566666512677
Montana,2067,18641.222117744397
Montana,2068,18987.70103431407
Montana,2069,19202.209564888562
Montana,2070,19484.519584562036
Montana,2071,19766.719813629
Montana,2072,20116.72595343594
Montana,2073,20331.007553168158
Montana,2074,20612.290721947877
Montana,2075,20895.05094928067
Montana,2076,21249.923240209282
Montana,2077,21460.016359505888
Montana,2078,21741.734702097827
Montana,2079,22024.73573015938
Montana,2080,22383.246759636502
Montana,2081,22591.523468717358
Montana,2082,22875.036906280508
Montana,2083,23156.809367445956
Montana,2084,23520.054686366064
Montana,2085,23727.153113031665
Montana,2086,24009.563326261276
Montana,2087,24293.809943567456
Montana,2088,24658.61775450986
Montana,2089,24862.87871581376
Montana,2090,25147.51481405939
Montana,2091,25432.89534078715
Montana,2092,25801.33974232952
Montana,2093,26004.76991206534
Montana,2094,26291.19759227995
Montana,2095,26576.099741358077
Montana,2096,26950.64990241335
Montana,2097,27150.015308051334
Montana,2098,27436.93549631025
Montana,2099,27724.625170214604
