state,Year,cdd
Montana,2020,4380.286493350506
Montana,2021,3997.542534741473
Montana,2022,4962.223072880922
Montana,2023,4480.663690157335
Montana,2024,4657.971972520527
Montana,2025,4984.241056302622
Montana,2026,4139.728791058714
Montana,2027,3763.2678792259944
Montana,2028,4105.475112995285
Montana,2029,4591.874632118187
Montana,2030,4330.496747817336
Montana,2031,4237.721234828823
Montana,2032,3872.8839104965045
Montana,2033,4613.4529277266565
Montana,2034,4123.650503050679
Montana,2035,4267.034331416589
Montana,2036,4806.476022318849
Montana,2037,4287.784766522075
Montana,2038,4027.0778028800737
Montana,2039,3934.335314574672
Montana,2040,4259.293757029406
Montana,2041,4004.560976217928
Montana,2042,4458.054831380972
Montana,2043,4081.934513683414
Montana,2044,4015.2203125426468
Montana,2045,4087.45352935852
Montana,2046,3932.908082551641
Montana,2047,4025.7262979264005
Montana,2048,4481.352348859522
Montana,2049,4494.984442027447
Montana,2050,4235.506931745419
Montana,2051,4507.359640408813
Montana,2052,3958.8125973486203
Montana,2053,4337.112778327946
Montana,2054,4328.115335491559
Montana,2055,3763.720816057051
Montana,2056,3828.0446527841646
Montana,2057,4271.278807609896
Montana,2058,4394.222952630447
Montana,2059,4678.318729943746
Montana,2060,3766.1428072149147
Montana,2061,3419.3938619194337
Montana,2062,4370.118424045037
Montana,2063,3866.6500622345084
Montana,2064,4059.367357166432
Montana,2065,4373.506555194947
Montana,2066,3553.083547515917
Montana,2067,3199.8396962376232
Montana,2068,3562.5797598934664
Montana,2069,4007.7531913537823
Montana,2070,3760.0040250773236
Montana,2071,3679.5432027423694
Montana,2072,3291.2234453295196
Montana,2073,3978.3241541313882
Montana,2074,3612.491357993083
Montana,2075,3717.4405568978646
Montana,2076,4296.3387651942085
Montana,2077,3789.6898524448206
Montana,2078,3566.2241482273216
Montana,2079,3446.0905758259923
Montana,2080,3791.0381092483285
Montana,2081,3584.762481489294
Montana,2082,4025.5714744388315
Montana,2083,3668.9569991265753
Montana,2084,3571.9704918481057
Montana,2085,3665.7427850998124
Montana,2086,3551.6244690466447
Montana,2087,3647.2565813454157
Montana,2088,4090.7820983358847
Montana,2089,4102.187813710618
Montana,2090,3846.840286381533
Montana,2091,4148.563255971531
Montana,2092,3621.3575758991524
Montana,2093,4010.960248396086
Montana,2094,3965.3756352973223
Montana,2095,3418.9595740131012
Montana,2096,3482.450842759723
Montana,2097,3929.1291307711126
Montana,2098,3992.0922025173063
Montana,2099,4310.23612158067
