rb,Year,Date
p134,2020,2020-07-23
p134,2021,2021-07-05
p134,2021,2021-07-06
p134,2023,2023-08-05
p134,2023,2023-08-06
p134,2023,2023-08-07
p134,2023,2023-08-08
p134,2023,2023-09-01
p134,2024,2024-08-10
p134,2024,2024-08-11
p134,2025,2025-07-05
p134,2025,2025-07-06
p134,2025,2025-07-10
p134,2025,2025-07-11
p134,2025,2025-07-22
p134,2025,2025-07-23
p134,2028,2028-06-05
p134,2028,2028-06-06
p134,2028,2028-06-23
p134,2028,2028-07-22
p134,2028,2028-07-23
p134,2028,2028-07-25
p134,2028,2028-07-26
p134,2028,2028-07-27
p134,2028,2028-07-28
p134,2028,2028-07-30
p134,2028,2028-07-31
p134,2029,2029-07-04
p134,2029,2029-07-07
p134,2029,2029-07-08
p134,2029,2029-07-20
p134,2029,2029-07-31
p134,2029,2029-08-01
p134,2030,2030-06-30
p134,2030,2030-07-01
p134,2030,2030-08-06
p134,2030,2030-08-07
p134,2030,2030-08-08
p134,2030,2030-08-15
p134,2030,2030-08-16
p134,2031,2031-07-16
p134,2031,2031-08-09
p134,2031,2031-08-31
p134,2031,2031-09-01
p134,2034,2034-08-15
p134,2035,2035-08-06
p134,2036,2036-07-03
p134,2036,2036-07-04
p134,2036,2036-08-11
p134,2038,2038-07-17
p134,2038,2038-07-18
p134,2038,2038-09-04
p134,2039,2039-07-28
p134,2039,2039-07-29
p134,2040,2040-07-13
p134,2040,2040-07-14
p134,2040,2040-07-15
p134,2040,2040-07-29
p134,2040,2040-07-30
p134,2040,2040-07-31
p134,2040,2040-08-09
p134,2040,2040-08-10
p134,2040,2040-08-11
p134,2041,2041-08-03
p134,2041,2041-08-04
p134,2041,2041-08-06
p134,2041,2041-08-07
p134,2041,2041-08-08
p134,2042,2042-06-27
p134,2042,2042-07-12
p134,2042,2042-07-13
p134,2042,2042-07-14
p134,2042,2042-07-15
p134,2043,2043-07-16
p134,2043,2043-07-17
p134,2043,2043-07-18
p134,2043,2043-07-19
p134,2043,2043-07-20
p134,2043,2043-07-23
p134,2043,2043-07-24
p134,2043,2043-08-07
p134,2043,2043-08-10
p134,2043,2043-08-11
p134,2043,2043-08-12
p134,2043,2043-08-13
p134,2043,2043-08-14
p134,2043,2043-08-15
p134,2043,2043-08-16
p134,2044,2044-07-17
p134,2045,2045-07-13
p134,2045,2045-08-06
p134,2045,2045-08-07
p134,2046,2046-07-23
p134,2046,2046-07-24
p134,2046,2046-07-27
p134,2046,2046-07-28
p134,2046,2046-07-29
p134,2046,2046-08-07
p134,2046,2046-08-08
p134,2047,2047-07-06
p134,2047,2047-07-07
p134,2047,2047-07-15
p134,2047,2047-07-16
p134,2047,2047-07-17
p134,2047,2047-07-20
p134,2047,2047-07-21
p134,2047,2047-07-22
p134,2047,2047-07-23
p134,2047,2047-07-24
p134,2047,2047-07-29
p134,2047,2047-07-30
p134,2047,2047-07-31
p134,2048,2048-08-25
p134,2050,2050-08-26
p134,2051,2051-07-18
p134,2051,2051-07-19
p134,2052,2052-07-10
p134,2052,2052-07-19
p134,2052,2052-07-20
p134,2052,2052-08-28
p134,2053,2053-08-16
p134,2055,2055-08-12
p134,2055,2055-08-13
p134,2055,2055-08-14
p134,2055,2055-08-15
p134,2057,2057-07-05
p134,2057,2057-07-08
p134,2057,2057-07-09
p134,2057,2057-07-14
p134,2057,2057-07-20
p134,2058,2058-07-06
p134,2058,2058-08-09
p134,2058,2058-08-10
p134,2058,2058-08-11
p134,2058,2058-08-12
p134,2060,2060-07-10
p134,2060,2060-07-22
p134,2060,2060-07-23
p134,2060,2060-07-24
p134,2060,2060-07-28
p134,2060,2060-07-29
p134,2061,2061-07-05
p134,2061,2061-07-06
p134,2062,2062-07-21
p134,2062,2062-08-01
p134,2062,2062-08-17
p134,2063,2063-07-07
p134,2063,2063-07-08
p134,2063,2063-07-09
p134,2063,2063-07-19
p134,2063,2063-08-02
p134,2063,2063-08-03
p134,2063,2063-08-04
p134,2063,2063-08-05
p134,2063,2063-08-06
p134,2063,2063-08-07
p134,2063,2063-08-08
p134,2063,2063-08-11
p134,2063,2063-08-31
p134,2063,2063-09-01
p134,2063,2063-09-02
p134,2064,2064-08-05
p134,2064,2064-08-10
p134,2064,2064-08-11
p134,2064,2064-08-12
p134,2064,2064-08-15
p134,2065,2065-07-02
p134,2065,2065-07-03
p134,2065,2065-07-05
p134,2065,2065-07-06
p134,2065,2065-07-07
p134,2065,2065-07-08
p134,2065,2065-07-09
p134,2065,2065-07-10
p134,2065,2065-07-11
p134,2065,2065-07-22
p134,2065,2065-07-23
p134,2065,2065-07-26
p134,2065,2065-07-27
p134,2065,2065-08-25
p134,2066,2066-06-17
p134,2066,2066-06-24
p134,2066,2066-08-18
p134,2066,2066-08-19
p134,2067,2067-07-15
p134,2067,2067-07-27
p134,2067,2067-08-10
p134,2068,2068-06-04
p134,2068,2068-06-05
p134,2068,2068-06-06
p134,2068,2068-06-07
p134,2068,2068-06-17
p134,2068,2068-06-20
p134,2068,2068-06-21
p134,2068,2068-06-22
p134,2068,2068-06-23
p134,2068,2068-06-24
p134,2068,2068-06-25
p134,2068,2068-06-26
p134,2068,2068-06-27
p134,2068,2068-07-02
p134,2068,2068-07-21
p134,2068,2068-07-22
p134,2068,2068-07-23
p134,2068,2068-07-25
p134,2068,2068-07-26
p134,2068,2068-07-27
p134,2068,2068-07-28
p134,2068,2068-07-30
p134,2068,2068-07-31
p134,2068,2068-08-01
p134,2068,2068-08-05
p134,2068,2068-08-06
p134,2068,2068-08-10
p134,2068,2068-08-11
p134,2068,2068-08-12
p134,2068,2068-08-15
p134,2068,2068-08-16
p134,2068,2068-08-24
p134,2069,2069-06-30
p134,2069,2069-07-04
p134,2069,2069-07-05
p134,2069,2069-07-07
p134,2069,2069-07-08
p134,2069,2069-07-20
p134,2069,2069-07-21
p134,2069,2069-07-24
p134,2069,2069-07-25
p134,2069,2069-07-27
p134,2069,2069-07-28
p134,2069,2069-07-29
p134,2069,2069-07-30
p134,2069,2069-07-31
p134,2069,2069-08-01
p134,2069,2069-08-02
p134,2070,2070-06-26
p134,2070,2070-06-27
p134,2070,2070-06-30
p134,2070,2070-07-01
p134,2070,2070-07-02
p134,2070,2070-07-16
p134,2070,2070-08-06
p134,2070,2070-08-07
p134,2070,2070-08-08
p134,2070,2070-08-09
p134,2070,2070-08-15
p134,2070,2070-08-16
p134,2070,2070-09-02
p134,2071,2071-07-14
p134,2071,2071-07-16
p134,2071,2071-07-17
p134,2071,2071-07-29
p134,2071,2071-08-08
p134,2071,2071-08-09
p134,2071,2071-08-10
p134,2071,2071-08-19
p134,2071,2071-08-21
p134,2071,2071-08-23
p134,2071,2071-08-30
p134,2071,2071-08-31
p134,2071,2071-09-01
p134,2072,2072-08-14
p134,2072,2072-08-15
p134,2072,2072-08-19
p134,2072,2072-08-20
p134,2074,2074-07-28
p134,2074,2074-07-29
p134,2074,2074-07-30
p134,2074,2074-08-05
p134,2074,2074-08-14
p134,2074,2074-08-15
p134,2074,2074-08-16
p134,2074,2074-09-08
p134,2075,2075-07-29
p134,2075,2075-08-06
p134,2075,2075-08-07
p134,2075,2075-08-21
p134,2076,2076-07-02
p134,2076,2076-07-03
p134,2076,2076-07-04
p134,2076,2076-08-11
p134,2076,2076-08-12
p134,2076,2076-08-16
p134,2076,2076-08-27
p134,2077,2077-08-04
p134,2077,2077-08-23
p134,2078,2078-07-10
p134,2078,2078-07-16
p134,2078,2078-07-17
p134,2078,2078-07-18
p134,2078,2078-07-19
p134,2078,2078-07-20
p134,2078,2078-07-27
p134,2078,2078-08-06
p134,2078,2078-08-07
p134,2078,2078-08-10
p134,2078,2078-09-02
p134,2078,2078-09-03
p134,2078,2078-09-04
p134,2078,2078-09-05
p134,2079,2079-07-24
p134,2079,2079-07-25
p134,2079,2079-07-27
p134,2079,2079-07-28
p134,2079,2079-07-29
p134,2079,2079-08-10
p134,2079,2079-08-11
p134,2079,2079-08-27
p134,2079,2079-08-30
p134,2080,2080-07-12
p134,2080,2080-07-13
p134,2080,2080-07-14
p134,2080,2080-07-15
p134,2080,2080-07-23
p134,2080,2080-07-26
p134,2080,2080-07-27
p134,2080,2080-07-28
p134,2080,2080-07-29
p134,2080,2080-07-30
p134,2080,2080-07-31
p134,2080,2080-08-01
p134,2080,2080-08-02
p134,2080,2080-08-09
p134,2080,2080-08-10
p134,2080,2080-08-11
p134,2080,2080-08-23
p134,2080,2080-08-24
p134,2081,2081-07-05
