rb,Year,Date,Load_sum
p39,2020,2020-01-31,
p39,2021,2021-02-11,
p39,2022,2022-01-07,
p39,2022,2022-01-10,
p39,2022,2022-01-11,
p39,2022,2022-01-16,
p39,2022,2022-02-04,
p39,2022,2022-02-05,
p39,2022,2022-02-06,
p39,2022,2022-02-09,
p39,2023,2023-12-18,
p39,2023,2023-12-19,
p39,2023,2023-12-20,
p39,2023,2023-12-21,
p39,2023,2023-12-22,
p39,2023,2023-12-23,
p39,2023,2023-12-24,
p39,2023,2023-12-25,
p39,2023,2023-12-29,
p39,2023,2023-12-30,
p39,2024,2024-01-18,
p39,2024,2024-01-19,
p39,2024,2024-01-20,
p39,2025,2025-01-20,
p39,2025,2025-01-31,
p39,2025,2025-02-01,
p39,2025,2025-12-02,
p39,2025,2025-12-13,
p39,2028,2028-02-11,
p39,2029,2029-02-03,
p39,2029,2029-02-04,
p39,2029,2029-12-21,
p39,2029,2029-12-22,
p39,2029,2029-12-23,
p39,2030,2030-12-22,
p39,2030,2030-12-23,
p39,2030,2030-12-30,
p39,2033,2033-02-17,
p39,2034,2034-02-09,
p39,2036,2036-01-31,
p39,2036,2036-02-01,
p39,2036,2036-02-02,
p39,2036,2036-02-03,
p39,2036,2036-02-04,
p39,2037,2037-01-12,
p39,2050,2050-01-08,
p39,2062,2062-01-10,
p39,2063,2063-12-21,
p39,2063,2063-12-22,
p39,2063,2063-12-23,
p39,2063,2063-12-24,
p39,2063,2063-12-25,
p39,2063,2063-12-29,
p39,2069,2069-12-22,
p39,2069,2069-12-23,
p39,2070,2070-12-22,
p39,2070,2070-12-23,
p39,2076,2076-02-02,
p39,2076,2076-02-03,
