state,Year,Date
Nebraska,2020,2020-08-07
Nebraska,2020,2020-08-24
Nebraska,2023,2023-08-16
Nebraska,2023,2023-08-17
Nebraska,2023,2023-08-18
Nebraska,2024,2024-08-28
Nebraska,2027,2027-08-01
Nebraska,2028,2028-06-20
Nebraska,2028,2028-06-21
Nebraska,2028,2028-06-24
Nebraska,2028,2028-07-14
Nebraska,2028,2028-07-31
Nebraska,2028,2028-08-07
Nebraska,2028,2028-08-14
Nebraska,2028,2028-08-15
Nebraska,2028,2028-08-16
Nebraska,2028,2028-08-17
Nebraska,2029,2029-07-09
Nebraska,2029,2029-07-10
Nebraska,2029,2029-08-04
Nebraska,2029,2029-08-05
Nebraska,2030,2030-07-03
Nebraska,2030,2030-08-25
Nebraska,2030,2030-08-26
Nebraska,2030,2030-08-27
Nebraska,2030,2030-08-28
Nebraska,2030,2030-08-31
Nebraska,2034,2034-07-04
Nebraska,2034,2034-08-12
Nebraska,2034,2034-08-27
Nebraska,2034,2034-08-28
Nebraska,2035,2035-08-08
Nebraska,2036,2036-08-06
Nebraska,2037,2037-07-16
Nebraska,2037,2037-07-17
Nebraska,2037,2037-07-18
Nebraska,2037,2037-07-23
Nebraska,2037,2037-07-24
Nebraska,2037,2037-07-25
Nebraska,2037,2037-07-26
Nebraska,2038,2038-07-20
Nebraska,2038,2038-08-24
Nebraska,2039,2039-07-29
Nebraska,2039,2039-07-30
Nebraska,2040,2040-07-05
Nebraska,2040,2040-07-06
Nebraska,2040,2040-07-08
Nebraska,2040,2040-07-09
Nebraska,2040,2040-07-10
Nebraska,2040,2040-07-13
Nebraska,2040,2040-07-14
Nebraska,2040,2040-07-15
Nebraska,2040,2040-07-16
Nebraska,2040,2040-08-04
Nebraska,2040,2040-08-05
Nebraska,2040,2040-08-07
Nebraska,2040,2040-08-08
Nebraska,2040,2040-08-09
Nebraska,2040,2040-08-11
Nebraska,2040,2040-08-12
Nebraska,2040,2040-08-14
Nebraska,2040,2040-08-15
Nebraska,2040,2040-08-16
Nebraska,2040,2040-08-28
Nebraska,2040,2040-08-30
Nebraska,2040,2040-09-02
Nebraska,2041,2041-07-07
Nebraska,2041,2041-08-05
Nebraska,2041,2041-08-21
Nebraska,2042,2042-07-18
Nebraska,2042,2042-07-19
Nebraska,2042,2042-07-20
Nebraska,2042,2042-07-21
Nebraska,2042,2042-07-25
Nebraska,2042,2042-07-30
Nebraska,2042,2042-07-31
Nebraska,2042,2042-08-01
Nebraska,2043,2043-07-17
Nebraska,2043,2043-07-18
Nebraska,2043,2043-07-20
Nebraska,2043,2043-07-25
Nebraska,2043,2043-07-26
Nebraska,2043,2043-07-27
Nebraska,2043,2043-08-16
Nebraska,2043,2043-08-17
Nebraska,2043,2043-08-20
Nebraska,2043,2043-08-23
Nebraska,2043,2043-08-24
Nebraska,2043,2043-08-25
Nebraska,2044,2044-07-19
Nebraska,2044,2044-07-20
Nebraska,2044,2044-08-01
Nebraska,2044,2044-08-02
Nebraska,2044,2044-08-03
Nebraska,2045,2045-07-20
Nebraska,2045,2045-07-21
Nebraska,2045,2045-07-22
Nebraska,2045,2045-07-23
Nebraska,2045,2045-07-24
Nebraska,2045,2045-07-25
Nebraska,2045,2045-08-02
Nebraska,2045,2045-08-03
Nebraska,2045,2045-08-04
Nebraska,2046,2046-06-30
Nebraska,2046,2046-07-15
Nebraska,2046,2046-07-16
Nebraska,2046,2046-07-17
Nebraska,2046,2046-07-19
Nebraska,2046,2046-07-20
Nebraska,2046,2046-07-25
Nebraska,2046,2046-07-28
Nebraska,2046,2046-07-29
Nebraska,2046,2046-07-30
Nebraska,2046,2046-07-31
Nebraska,2046,2046-08-01
Nebraska,2046,2046-08-09
Nebraska,2046,2046-08-10
Nebraska,2047,2047-08-11
Nebraska,2047,2047-08-12
Nebraska,2047,2047-08-13
Nebraska,2047,2047-08-14
Nebraska,2047,2047-08-27
Nebraska,2048,2048-08-02
Nebraska,2048,2048-08-03
Nebraska,2048,2048-08-04
Nebraska,2049,2049-08-07
Nebraska,2049,2049-08-08
Nebraska,2049,2049-08-09
Nebraska,2050,2050-08-12
Nebraska,2051,2051-06-30
Nebraska,2051,2051-07-01
Nebraska,2051,2051-07-17
Nebraska,2051,2051-07-18
Nebraska,2051,2051-07-19
Nebraska,2051,2051-07-20
Nebraska,2051,2051-07-21
Nebraska,2051,2051-07-23
Nebraska,2051,2051-07-27
Nebraska,2051,2051-07-31
Nebraska,2051,2051-08-01
Nebraska,2051,2051-08-02
Nebraska,2051,2051-08-23
Nebraska,2051,2051-08-24
Nebraska,2051,2051-08-26
Nebraska,2051,2051-08-31
Nebraska,2051,2051-09-01
Nebraska,2051,2051-09-02
Nebraska,2052,2052-06-27
Nebraska,2052,2052-06-28
Nebraska,2052,2052-06-29
Nebraska,2052,2052-06-30
Nebraska,2052,2052-07-03
Nebraska,2052,2052-07-04
Nebraska,2052,2052-07-05
Nebraska,2052,2052-07-06
Nebraska,2052,2052-07-07
Nebraska,2052,2052-07-15
Nebraska,2052,2052-07-17
Nebraska,2052,2052-07-18
Nebraska,2052,2052-07-19
Nebraska,2052,2052-07-20
Nebraska,2052,2052-07-21
Nebraska,2052,2052-07-22
Nebraska,2052,2052-07-23
Nebraska,2052,2052-07-24
Nebraska,2052,2052-07-25
Nebraska,2052,2052-07-26
Nebraska,2052,2052-07-29
Nebraska,2052,2052-07-31
Nebraska,2052,2052-08-01
Nebraska,2052,2052-08-03
Nebraska,2052,2052-08-06
Nebraska,2052,2052-08-07
Nebraska,2052,2052-08-30
Nebraska,2053,2053-08-25
Nebraska,2053,2053-08-26
Nebraska,2053,2053-08-27
Nebraska,2053,2053-08-29
Nebraska,2053,2053-08-30
Nebraska,2053,2053-08-31
Nebraska,2053,2053-09-06
Nebraska,2053,2053-09-07
Nebraska,2054,2054-07-21
Nebraska,2054,2054-07-22
Nebraska,2054,2054-07-25
Nebraska,2054,2054-07-26
Nebraska,2057,2057-07-19
Nebraska,2057,2057-07-20
Nebraska,2057,2057-07-21
Nebraska,2057,2057-07-22
Nebraska,2058,2058-06-14
Nebraska,2058,2058-06-28
Nebraska,2058,2058-06-29
Nebraska,2058,2058-08-31
Nebraska,2060,2060-06-27
Nebraska,2060,2060-07-06
Nebraska,2060,2060-07-07
Nebraska,2060,2060-07-09
Nebraska,2060,2060-07-10
Nebraska,2060,2060-07-11
Nebraska,2060,2060-07-12
Nebraska,2060,2060-07-13
Nebraska,2060,2060-07-14
Nebraska,2060,2060-07-15
Nebraska,2060,2060-07-17
Nebraska,2060,2060-07-18
Nebraska,2060,2060-07-19
Nebraska,2060,2060-07-20
Nebraska,2060,2060-07-28
Nebraska,2060,2060-07-29
Nebraska,2060,2060-07-30
Nebraska,2060,2060-07-31
Nebraska,2060,2060-08-01
Nebraska,2060,2060-08-02
Nebraska,2060,2060-08-03
Nebraska,2060,2060-08-04
Nebraska,2060,2060-08-06
Nebraska,2060,2060-08-07
Nebraska,2060,2060-08-08
Nebraska,2060,2060-08-09
Nebraska,2060,2060-08-10
Nebraska,2060,2060-08-18
Nebraska,2060,2060-08-19
Nebraska,2060,2060-08-20
Nebraska,2060,2060-08-23
Nebraska,2060,2060-08-24
Nebraska,2060,2060-08-25
Nebraska,2060,2060-08-29
Nebraska,2060,2060-09-03
Nebraska,2060,2060-09-06
Nebraska,2061,2061-07-10
Nebraska,2061,2061-07-11
Nebraska,2061,2061-07-12
Nebraska,2061,2061-07-13
Nebraska,2061,2061-07-14
Nebraska,2061,2061-07-15
Nebraska,2061,2061-07-20
Nebraska,2061,2061-08-04
Nebraska,2061,2061-08-14
Nebraska,2061,2061-08-30
Nebraska,2062,2062-09-10
Nebraska,2063,2063-07-19
Nebraska,2063,2063-07-21
Nebraska,2063,2063-07-22
Nebraska,2063,2063-08-02
Nebraska,2063,2063-08-03
Nebraska,2063,2063-08-04
Nebraska,2063,2063-08-10
Nebraska,2063,2063-08-11
Nebraska,2063,2063-08-15
Nebraska,2063,2063-08-16
Nebraska,2063,2063-08-17
Nebraska,2063,2063-08-18
Nebraska,2063,2063-08-19
Nebraska,2063,2063-08-24
Nebraska,2063,2063-08-25
Nebraska,2063,2063-08-26
Nebraska,2063,2063-08-29
Nebraska,2063,2063-09-02
Nebraska,2063,2063-09-03
Nebraska,2063,2063-09-08
Nebraska,2063,2063-09-09
Nebraska,2064,2064-08-05
Nebraska,2064,2064-08-06
Nebraska,2064,2064-08-26
Nebraska,2064,2064-08-27
Nebraska,2064,2064-08-28
Nebraska,2064,2064-08-29
Nebraska,2064,2064-08-31
Nebraska,2064,2064-09-01
Nebraska,2064,2064-09-06
Nebraska,2064,2064-09-12
Nebraska,2065,2065-06-08
Nebraska,2065,2065-07-07
Nebraska,2065,2065-07-08
Nebraska,2065,2065-07-09
Nebraska,2065,2065-07-13
Nebraska,2065,2065-08-05
Nebraska,2065,2065-08-08
Nebraska,2065,2065-08-09
Nebraska,2065,2065-08-31
Nebraska,2065,2065-09-01
Nebraska,2065,2065-09-02
Nebraska,2065,2065-09-03
Nebraska,2065,2065-09-06
Nebraska,2065,2065-09-07
Nebraska,2066,2066-07-17
Nebraska,2066,2066-07-18
Nebraska,2066,2066-07-27
Nebraska,2066,2066-07-28
Nebraska,2066,2066-07-29
Nebraska,2066,2066-07-30
Nebraska,2066,2066-08-16
Nebraska,2067,2067-07-24
Nebraska,2067,2067-07-26
Nebraska,2067,2067-07-28
Nebraska,2067,2067-07-29
Nebraska,2067,2067-07-30
Nebraska,2067,2067-07-31
Nebraska,2067,2067-08-01
Nebraska,2067,2067-08-02
Nebraska,2067,2067-08-03
Nebraska,2067,2067-08-06
Nebraska,2067,2067-08-15
Nebraska,2067,2067-08-16
Nebraska,2067,2067-08-20
Nebraska,2067,2067-08-21
Nebraska,2067,2067-08-22
Nebraska,2068,2068-06-19
Nebraska,2068,2068-06-20
Nebraska,2068,2068-06-21
Nebraska,2068,2068-06-22
Nebraska,2068,2068-06-23
Nebraska,2068,2068-06-24
Nebraska,2068,2068-06-25
Nebraska,2068,2068-06-28
Nebraska,2068,2068-07-04
Nebraska,2068,2068-07-13
Nebraska,2068,2068-07-14
Nebraska,2068,2068-07-15
Nebraska,2068,2068-07-16
Nebraska,2068,2068-07-17
Nebraska,2068,2068-07-29
Nebraska,2068,2068-07-30
Nebraska,2068,2068-07-31
Nebraska,2068,2068-08-01
Nebraska,2068,2068-08-02
Nebraska,2068,2068-08-03
Nebraska,2068,2068-08-06
Nebraska,2068,2068-08-07
Nebraska,2068,2068-08-08
Nebraska,2068,2068-08-10
Nebraska,2068,2068-08-11
Nebraska,2068,2068-08-12
Nebraska,2068,2068-08-13
Nebraska,2068,2068-08-14
Nebraska,2068,2068-08-15
Nebraska,2068,2068-08-16
Nebraska,2068,2068-08-17
Nebraska,2068,2068-08-18
Nebraska,2068,2068-08-21
Nebraska,2068,2068-09-10
Nebraska,2069,2069-05-29
Nebraska,2069,2069-06-20
Nebraska,2069,2069-06-21
Nebraska,2069,2069-07-03
Nebraska,2069,2069-07-04
Nebraska,2069,2069-07-05
Nebraska,2069,2069-07-06
Nebraska,2069,2069-07-07
Nebraska,2069,2069-07-08
Nebraska,2069,2069-07-09
Nebraska,2069,2069-07-10
Nebraska,2069,2069-07-11
Nebraska,2069,2069-07-12
Nebraska,2069,2069-07-27
Nebraska,2069,2069-07-30
Nebraska,2069,2069-07-31
