state,Year,cdd
New Hampshire,2020,4413.1457161553935
New Hampshire,2021,4077.6040981271926
New Hampshire,2022,4294.651171204314
New Hampshire,2023,4016.713298425639
New Hampshire,2024,4086.3471509864903
New Hampshire,2025,4228.193499308369
New Hampshire,2026,4254.541404153646
New Hampshire,2027,4265.063429453795
New Hampshire,2028,4269.570302021112
New Hampshire,2029,4341.206282275861
New Hampshire,2030,3759.235753220978
New Hampshire,2031,3821.2793315459085
New Hampshire,2032,4269.960129182728
New Hampshire,2033,4268.511918668969
New Hampshire,2034,4296.627045999376
New Hampshire,2035,4101.035236443241
New Hampshire,2036,4155.347756205264
New Hampshire,2037,4294.537201292077
New Hampshire,2038,3650.7852936134977
New Hampshire,2039,3834.2537589465446
New Hampshire,2040,4223.765489248361
New Hampshire,2041,3996.415303820985
New Hampshire,2042,4034.166402973475
New Hampshire,2043,4517.094844421339
New Hampshire,2044,4335.607493278929
New Hampshire,2045,4262.129104256501
New Hampshire,2046,3812.2294579007557
New Hampshire,2047,4325.757431521179
New Hampshire,2048,4171.175049986072
New Hampshire,2049,4299.2534671504145
New Hampshire,2050,3808.113650462141
New Hampshire,2051,3947.9209019277027
New Hampshire,2052,3666.1690741699067
New Hampshire,2053,4100.503288230114
New Hampshire,2054,4291.914462199253
New Hampshire,2055,4215.77987795147
New Hampshire,2056,3890.7733894896846
New Hampshire,2057,3964.9468490507165
New Hampshire,2058,4132.954899137902
New Hampshire,2059,4209.942231597192
New Hampshire,2060,4046.4815742926276
New Hampshire,2061,3736.2058119604276
New Hampshire,2062,3904.1983741798476
New Hampshire,2063,3691.8298093302587
New Hampshire,2064,3726.7070940899257
New Hampshire,2065,3831.9637613218747
New Hampshire,2066,3836.2995451549978
New Hampshire,2067,3856.864807939897
New Hampshire,2068,3865.9850857535857
New Hampshire,2069,3946.757472202823
New Hampshire,2070,3394.656767701567
New Hampshire,2071,3470.377821751928
New Hampshire,2072,3862.9546306375914
New Hampshire,2073,3867.759677919961
New Hampshire,2074,3890.672774688315
New Hampshire,2075,3722.2334605283363
New Hampshire,2076,3802.177110511614
New Hampshire,2077,3902.808702932832
New Hampshire,2078,3278.4448009474186
New Hampshire,2079,3466.7642680525637
New Hampshire,2080,3843.067724775402
New Hampshire,2081,3618.765899697879
New Hampshire,2082,3673.4864997889313
New Hampshire,2083,4164.220726619687
New Hampshire,2084,3989.14733680862
New Hampshire,2085,3922.765466921112
New Hampshire,2086,3497.955529960316
New Hampshire,2087,4005.1265671248384
New Hampshire,2088,3878.7560153016743
New Hampshire,2089,4007.968611397687
New Hampshire,2090,3533.7361932480917
New Hampshire,2091,3725.8669085708602
New Hampshire,2092,3444.958218013348
New Hampshire,2093,3876.366333333519
New Hampshire,2094,4027.720084634931
New Hampshire,2095,3989.8022872980914
New Hampshire,2096,3659.025011046392
New Hampshire,2097,3701.8283524817352
New Hampshire,2098,3851.5223401913163
New Hampshire,2099,3844.24171588216
