state,Year,Date
New Hampshire,2020,2020-06-25
New Hampshire,2020,2020-07-16
New Hampshire,2020,2020-07-17
New Hampshire,2020,2020-07-20
New Hampshire,2020,2020-07-21
New Hampshire,2020,2020-07-22
New Hampshire,2020,2020-07-27
New Hampshire,2020,2020-08-05
New Hampshire,2020,2020-08-06
New Hampshire,2020,2020-08-08
New Hampshire,2020,2020-09-02
New Hampshire,2021,2021-06-16
New Hampshire,2021,2021-07-07
New Hampshire,2021,2021-07-08
New Hampshire,2021,2021-07-09
New Hampshire,2021,2021-07-21
New Hampshire,2021,2021-08-11
New Hampshire,2022,2022-07-16
New Hampshire,2022,2022-07-17
New Hampshire,2022,2022-07-19
New Hampshire,2023,2023-06-22
New Hampshire,2023,2023-06-23
New Hampshire,2023,2023-07-03
New Hampshire,2023,2023-07-04
New Hampshire,2023,2023-07-16
New Hampshire,2023,2023-07-18
New Hampshire,2023,2023-07-28
New Hampshire,2023,2023-08-08
New Hampshire,2023,2023-08-20
New Hampshire,2023,2023-08-27
New Hampshire,2023,2023-09-06
New Hampshire,2023,2023-09-07
New Hampshire,2023,2023-09-11
New Hampshire,2023,2023-09-20
New Hampshire,2024,2024-06-08
New Hampshire,2024,2024-06-09
New Hampshire,2024,2024-06-10
New Hampshire,2024,2024-06-11
New Hampshire,2024,2024-06-13
New Hampshire,2024,2024-07-15
New Hampshire,2024,2024-08-05
New Hampshire,2024,2024-08-06
New Hampshire,2025,2025-08-14
New Hampshire,2026,2026-05-19
New Hampshire,2026,2026-07-07
New Hampshire,2027,2027-05-31
New Hampshire,2027,2027-07-10
New Hampshire,2027,2027-07-12
New Hampshire,2027,2027-07-13
New Hampshire,2027,2027-07-18
New Hampshire,2027,2027-07-23
New Hampshire,2027,2027-07-24
New Hampshire,2027,2027-08-15
New Hampshire,2027,2027-08-16
New Hampshire,2027,2027-08-17
New Hampshire,2027,2027-08-18
New Hampshire,2028,2028-06-13
New Hampshire,2028,2028-06-14
New Hampshire,2028,2028-06-15
New Hampshire,2028,2028-06-16
New Hampshire,2028,2028-06-20
New Hampshire,2028,2028-06-22
New Hampshire,2028,2028-07-06
New Hampshire,2028,2028-07-07
New Hampshire,2028,2028-07-08
New Hampshire,2028,2028-07-10
New Hampshire,2028,2028-07-11
New Hampshire,2028,2028-07-12
New Hampshire,2028,2028-07-14
New Hampshire,2028,2028-07-30
New Hampshire,2028,2028-08-02
New Hampshire,2028,2028-08-03
New Hampshire,2028,2028-08-04
New Hampshire,2028,2028-08-05
New Hampshire,2028,2028-08-06
New Hampshire,2028,2028-08-10
New Hampshire,2028,2028-08-11
New Hampshire,2028,2028-08-12
New Hampshire,2028,2028-08-13
New Hampshire,2028,2028-08-14
New Hampshire,2028,2028-08-15
New Hampshire,2029,2029-06-23
New Hampshire,2029,2029-06-27
New Hampshire,2029,2029-07-07
New Hampshire,2029,2029-07-24
New Hampshire,2029,2029-07-25
New Hampshire,2029,2029-07-26
New Hampshire,2029,2029-07-27
New Hampshire,2029,2029-08-04
New Hampshire,2029,2029-08-06
New Hampshire,2029,2029-09-10
New Hampshire,2030,2030-04-27
New Hampshire,2030,2030-07-04
New Hampshire,2030,2030-07-18
New Hampshire,2030,2030-07-19
New Hampshire,2030,2030-07-20
New Hampshire,2030,2030-08-03
New Hampshire,2030,2030-08-04
New Hampshire,2030,2030-08-18
New Hampshire,2031,2031-05-24
New Hampshire,2031,2031-06-20
New Hampshire,2031,2031-06-27
New Hampshire,2031,2031-06-28
New Hampshire,2031,2031-07-17
New Hampshire,2031,2031-07-18
New Hampshire,2031,2031-07-19
New Hampshire,2031,2031-07-20
New Hampshire,2031,2031-07-21
New Hampshire,2031,2031-07-23
New Hampshire,2031,2031-08-14
New Hampshire,2031,2031-08-17
New Hampshire,2031,2031-08-27
New Hampshire,2031,2031-08-28
New Hampshire,2031,2031-08-30
New Hampshire,2032,2032-05-22
New Hampshire,2033,2033-06-18
New Hampshire,2033,2033-07-06
New Hampshire,2033,2033-07-07
New Hampshire,2033,2033-07-08
New Hampshire,2033,2033-07-09
New Hampshire,2033,2033-07-10
New Hampshire,2033,2033-08-03
New Hampshire,2033,2033-08-25
New Hampshire,2033,2033-08-26
New Hampshire,2033,2033-08-27
New Hampshire,2033,2033-08-28
New Hampshire,2033,2033-08-31
New Hampshire,2034,2034-06-17
New Hampshire,2034,2034-06-18
New Hampshire,2034,2034-07-13
New Hampshire,2034,2034-07-21
New Hampshire,2035,2035-06-18
New Hampshire,2035,2035-06-19
New Hampshire,2035,2035-06-30
New Hampshire,2035,2035-07-13
New Hampshire,2035,2035-07-14
New Hampshire,2035,2035-07-15
New Hampshire,2035,2035-07-31
New Hampshire,2035,2035-08-01
New Hampshire,2035,2035-08-04
New Hampshire,2035,2035-08-16
New Hampshire,2035,2035-08-21
New Hampshire,2037,2037-06-11
New Hampshire,2037,2037-06-30
New Hampshire,2037,2037-07-17
New Hampshire,2037,2037-07-27
New Hampshire,2037,2037-07-28
New Hampshire,2037,2037-08-10
New Hampshire,2037,2037-08-11
New Hampshire,2037,2037-08-16
New Hampshire,2038,2038-07-14
New Hampshire,2038,2038-07-15
New Hampshire,2038,2038-07-16
New Hampshire,2038,2038-07-22
New Hampshire,2038,2038-08-24
New Hampshire,2039,2039-05-31
New Hampshire,2039,2039-06-07
New Hampshire,2039,2039-06-08
New Hampshire,2039,2039-06-26
New Hampshire,2039,2039-06-27
New Hampshire,2039,2039-06-29
New Hampshire,2039,2039-07-04
New Hampshire,2039,2039-07-05
New Hampshire,2039,2039-07-06
New Hampshire,2039,2039-07-16
New Hampshire,2039,2039-07-17
New Hampshire,2039,2039-07-23
New Hampshire,2039,2039-07-24
New Hampshire,2039,2039-07-27
New Hampshire,2039,2039-07-28
New Hampshire,2039,2039-07-29
New Hampshire,2039,2039-07-30
New Hampshire,2039,2039-07-31
New Hampshire,2039,2039-08-01
New Hampshire,2039,2039-08-13
New Hampshire,2039,2039-08-17
New Hampshire,2039,2039-09-03
New Hampshire,2041,2041-05-02
New Hampshire,2041,2041-05-03
New Hampshire,2041,2041-06-14
New Hampshire,2041,2041-06-15
New Hampshire,2041,2041-06-16
New Hampshire,2041,2041-06-26
