state,Year,hdd
New Hampshire,2020,294.20469466378046
New Hampshire,2021,249.68593178428705
New Hampshire,2022,174.94363888104846
New Hampshire,2023,359.88664410929306
New Hampshire,2024,290.5898970203491
New Hampshire,2025,211.31227367253342
New Hampshire,2026,195.91248363967088
New Hampshire,2027,276.3438938524605
New Hampshire,2028,389.1051778368151
New Hampshire,2029,290.3379355099603
New Hampshire,2030,288.99989163832976
New Hampshire,2031,316.4161064894051
New Hampshire,2032,204.97197794664976
New Hampshire,2033,309.78454378870754
New Hampshire,2034,329.86124648945355
New Hampshire,2035,300.36281484393135
New Hampshire,2036,237.14813029122143
New Hampshire,2037,250.05225339809886
New Hampshire,2038,282.49422449254325
New Hampshire,2039,386.9841782703941
New Hampshire,2040,172.61882515506562
New Hampshire,2041,306.0174110499896
New Hampshire,2042,333.40230664684185
New Hampshire,2043,278.77747581085254
New Hampshire,2044,197.9077338421149
New Hampshire,2045,347.16131294755775
New Hampshire,2046,298.29013386549343
New Hampshire,2047,283.9484479623928
New Hampshire,2048,268.22481020225416
New Hampshire,2049,199.89365365351523
New Hampshire,2050,364.2022065132696
New Hampshire,2051,324.849215368915
New Hampshire,2052,336.1994711061159
New Hampshire,2053,313.8414170228158
New Hampshire,2054,247.91257613395516
New Hampshire,2055,302.6867914911711
New Hampshire,2056,364.3799762273986
New Hampshire,2057,295.196739675462
New Hampshire,2058,381.33684483062956
New Hampshire,2059,278.90658824756497
New Hampshire,2060,401.0784088051679
New Hampshire,2061,365.163732644304
New Hampshire,2062,266.097509004066
New Hampshire,2063,470.32166475801637
New Hampshire,2064,392.25765181215456
New Hampshire,2065,305.50371894174015
New Hampshire,2066,279.95926136718236
New Hampshire,2067,361.5893657099449
New Hampshire,2068,499.0096729170543
New Hampshire,2069,395.0025005554325
New Hampshire,2070,411.4982470178101
New Hampshire,2071,438.9958953336466
New Hampshire,2072,306.0499588544609
New Hampshire,2073,420.8352413999546
New Hampshire,2074,420.92775789127586
New Hampshire,2075,395.2092539781312
New Hampshire,2076,333.18250118907656
New Hampshire,2077,338.86269027421434
New Hampshire,2078,390.8462216556483
New Hampshire,2079,486.7163863651655
New Hampshire,2080,254.84272947688623
New Hampshire,2081,417.0799486408504
New Hampshire,2082,433.71338486240916
New Hampshire,2083,353.3380648551881
New Hampshire,2084,273.588581847532
New Hampshire,2085,440.3354099037777
New Hampshire,2086,387.98239386318244
New Hampshire,2087,354.31213405112
New Hampshire,2088,338.0801541058729
New Hampshire,2089,250.56820361477332
New Hampshire,2090,441.4624062482578
New Hampshire,2091,410.09804186563144
New Hampshire,2092,413.27368758652364
New Hampshire,2093,382.54328788869276
New Hampshire,2094,329.7105049373693
New Hampshire,2095,398.7143933814475
New Hampshire,2096,456.86152147016884
New Hampshire,2097,383.7354431730367
New Hampshire,2098,478.71508419480637
New Hampshire,2099,382.9908534447959
