state,Year,cdd
New Jersey,2020,3270.258411216012
New Jersey,2021,3154.4995559553377
New Jersey,2022,3103.5922926864323
New Jersey,2023,2979.8860774034006
New Jersey,2024,2988.7070951594196
New Jersey,2025,2936.2473357208523
New Jersey,2026,2984.3328613493222
New Jersey,2027,3109.406017265011
New Jersey,2028,3185.355741436206
New Jersey,2029,3160.321813724416
New Jersey,2030,2633.8539026451417
New Jersey,2031,2701.1481835975655
New Jersey,2032,3050.509282150323
New Jersey,2033,3071.5402174926385
New Jersey,2034,3104.5793100364403
New Jersey,2035,3008.317758283947
New Jersey,2036,3208.7007854268313
New Jersey,2037,3080.172647814306
New Jersey,2038,2609.6145596050137
New Jersey,2039,2857.6989255043827
New Jersey,2040,3153.9470439244337
New Jersey,2041,2908.7055121438193
New Jersey,2042,2836.4292335836008
New Jersey,2043,3285.406403291088
New Jersey,2044,3052.2747195366337
New Jersey,2045,3128.21933734678
New Jersey,2046,2693.7285295880647
New Jersey,2047,2991.3124763095643
New Jersey,2048,2940.2100916367335
New Jersey,2049,3053.8994783508815
New Jersey,2050,2935.865054193401
New Jersey,2051,2879.4328867974773
New Jersey,2052,2620.3153079514814
New Jersey,2053,3093.4224638095625
New Jersey,2054,3271.2978342593224
New Jersey,2055,3079.2131094255496
New Jersey,2056,2910.549832169877
New Jersey,2057,2845.4514610833685
New Jersey,2058,3018.969015225102
New Jersey,2059,2984.563149902605
New Jersey,2060,2869.014842527056
New Jersey,2061,2732.8717868231847
New Jersey,2062,2726.0892422434686
New Jersey,2063,2627.6515554770795
New Jersey,2064,2618.7537879657966
New Jersey,2065,2577.1728468244364
New Jersey,2066,2611.646986314873
New Jersey,2067,2680.417764730099
New Jersey,2068,2813.8653628128623
New Jersey,2069,2806.6055358398144
New Jersey,2070,2271.511204330327
New Jersey,2071,2365.313090688183
New Jersey,2072,2674.677772279743
New Jersey,2073,2679.649465323707
New Jersey,2074,2701.1508288867676
New Jersey,2075,2627.6806487283184
New Jersey,2076,2808.469011332983
New Jersey,2077,2669.378463956202
New Jersey,2078,2226.0109336307805
New Jersey,2079,2483.9727360363877
New Jersey,2080,2744.944776289471
New Jersey,2081,2565.5806241561286
New Jersey,2082,2520.6992731243436
New Jersey,2083,2931.752508145737
New Jersey,2084,2734.0488364979847
New Jersey,2085,2812.0188727722607
New Jersey,2086,2399.841728421676
New Jersey,2087,2715.974450135755
New Jersey,2088,2644.561215627562
New Jersey,2089,2744.9810811119437
New Jersey,2090,2636.698755147316
New Jersey,2091,2567.677194746199
New Jersey,2092,2326.800655605075
New Jersey,2093,2767.401688716304
New Jersey,2094,2912.304908677731
New Jersey,2095,2776.4983035924242
New Jersey,2096,2646.0726118194593
New Jersey,2097,2582.5101783844834
New Jersey,2098,2736.963429872074
New Jersey,2099,2727.55867594537
