rb,Year,Date,Load_sum
p126,2020,2020-12-25,
p126,2021,2021-01-09,
p126,2021,2021-01-11,
p126,2021,2021-01-12,
p126,2021,2021-01-13,
p126,2022,2022-01-11,
p126,2022,2022-01-17,
p126,2022,2022-01-18,
p126,2022,2022-01-27,
p126,2023,2023-02-13,
p126,2024,2024-01-22,
p126,2025,2025-01-21,
p126,2027,2027-01-25,
p126,2027,2027-01-27,
p126,2027,2027-01-28,
p126,2034,2034-01-19,
p126,2034,2034-01-20,
p126,2034,2034-01-21,
p126,2034,2034-01-27,
p126,2034,2034-02-15,
p126,2035,2035-02-06,
p126,2035,2035-02-07,
p126,2036,2036-02-05,
p126,2040,2040-01-29,
p126,2045,2045-01-24,
p126,2045,2045-01-28,
p126,2049,2049-01-17,
p126,2054,2054-01-04,
p126,2055,2055-02-16,
p126,2055,2055-02-20,
p126,2056,2056-02-14,
p126,2058,2058-01-07,
p126,2062,2062-01-18,
