state,Year,Date
New Jersey,2020,2020-03-01
New Jersey,2020,2020-12-25
New Jersey,2020,2020-12-26
New Jersey,2021,2021-01-09
New Jersey,2021,2021-01-11
New Jersey,2021,2021-01-12
New Jersey,2021,2021-01-13
New Jersey,2022,2022-01-11
New Jersey,2022,2022-01-17
New Jersey,2022,2022-01-18
New Jersey,2022,2022-01-27
New Jersey,2023,2023-02-13
New Jersey,2024,2024-01-20
New Jersey,2024,2024-01-21
New Jersey,2024,2024-01-22
New Jersey,2024,2024-03-10
New Jersey,2025,2025-01-21
New Jersey,2026,2026-02-13
New Jersey,2027,2027-01-24
New Jersey,2027,2027-01-25
New Jersey,2027,2027-01-27
New Jersey,2027,2027-01-28
New Jersey,2027,2027-02-16
New Jersey,2028,2028-01-14
New Jersey,2028,2028-01-15
New Jersey,2029,2029-12-23
New Jersey,2033,2033-03-15
New Jersey,2034,2034-01-15
New Jersey,2034,2034-01-16
New Jersey,2034,2034-01-17
New Jersey,2034,2034-01-19
New Jersey,2034,2034-01-20
New Jersey,2034,2034-01-21
New Jersey,2034,2034-01-27
New Jersey,2034,2034-02-15
New Jersey,2034,2034-02-27
New Jersey,2034,2034-02-28
New Jersey,2035,2035-02-06
New Jersey,2035,2035-02-07
New Jersey,2036,2036-01-06
New Jersey,2036,2036-02-05
New Jersey,2036,2036-02-06
New Jersey,2040,2040-01-17
New Jersey,2040,2040-01-18
New Jersey,2040,2040-01-22
New Jersey,2040,2040-01-28
New Jersey,2040,2040-01-29
New Jersey,2043,2043-01-18
New Jersey,2043,2043-01-23
New Jersey,2043,2043-01-28
New Jersey,2044,2044-01-10
New Jersey,2044,2044-01-16
New Jersey,2044,2044-01-25
New Jersey,2045,2045-01-19
New Jersey,2045,2045-01-22
New Jersey,2045,2045-01-24
New Jersey,2045,2045-01-28
New Jersey,2047,2047-03-06
New Jersey,2049,2049-01-17
New Jersey,2049,2049-03-04
New Jersey,2051,2051-01-24
New Jersey,2054,2054-01-04
New Jersey,2054,2054-02-12
New Jersey,2055,2055-02-13
New Jersey,2055,2055-02-16
New Jersey,2055,2055-02-20
New Jersey,2055,2055-02-21
New Jersey,2055,2055-02-24
New Jersey,2056,2056-02-14
New Jersey,2058,2058-01-01
New Jersey,2058,2058-01-07
New Jersey,2059,2059-01-21
New Jersey,2059,2059-01-31
New Jersey,2060,2060-12-25
New Jersey,2061,2061-01-12
New Jersey,2061,2061-01-13
New Jersey,2062,2062-01-17
New Jersey,2062,2062-01-18
New Jersey,2063,2063-02-13
New Jersey,2064,2064-01-22
New Jersey,2065,2065-01-21
New Jersey,2067,2067-01-25
New Jersey,2067,2067-01-27
New Jersey,2067,2067-01-28
New Jersey,2074,2074-01-19
New Jersey,2074,2074-01-20
New Jersey,2074,2074-01-27
New Jersey,2076,2076-02-05
New Jersey,2080,2080-01-29
New Jersey,2084,2084-01-16
New Jersey,2085,2085-01-24
New Jersey,2085,2085-01-28
New Jersey,2089,2089-01-17
New Jersey,2091,2091-01-24
New Jersey,2094,2094-01-04
New Jersey,2095,2095-02-16
New Jersey,2095,2095-02-20
New Jersey,2095,2095-02-21
New Jersey,2095,2095-02-24
New Jersey,2096,2096-02-14
New Jersey,2098,2098-01-07
