state,Year,Date
New Jersey,2020,2020-12-25
New Jersey,2021,2021-01-09
New Jersey,2021,2021-01-11
New Jersey,2021,2021-01-12
New Jersey,2021,2021-01-13
New Jersey,2022,2022-01-11
New Jersey,2022,2022-01-17
New Jersey,2022,2022-01-18
New Jersey,2022,2022-01-27
New Jersey,2023,2023-02-13
New Jersey,2024,2024-01-22
New Jersey,2025,2025-01-21
New Jersey,2027,2027-01-25
New Jersey,2027,2027-01-27
New Jersey,2027,2027-01-28
New Jersey,2034,2034-01-19
New Jersey,2034,2034-01-20
New Jersey,2034,2034-01-21
New Jersey,2034,2034-01-27
New Jersey,2034,2034-02-15
New Jersey,2035,2035-02-06
New Jersey,2035,2035-02-07
New Jersey,2036,2036-02-05
New Jersey,2040,2040-01-29
New Jersey,2045,2045-01-24
New Jersey,2045,2045-01-28
New Jersey,2049,2049-01-17
New Jersey,2054,2054-01-04
New Jersey,2055,2055-02-16
New Jersey,2055,2055-02-20
New Jersey,2056,2056-02-14
New Jersey,2058,2058-01-07
New Jersey,2062,2062-01-18
