state,Year,cdd
New Mexico,2020,1935.0807516293078
New Mexico,2021,1671.7894372216128
New Mexico,2022,1991.4767059583176
New Mexico,2023,2069.708997775473
New Mexico,2024,2069.1049406281168
New Mexico,2025,1978.8067730026744
New Mexico,2026,1754.7525729409592
New Mexico,2027,2043.2068850091853
New Mexico,2028,1917.6231328012318
New Mexico,2029,1774.8015687669113
New Mexico,2030,1857.7526983333305
New Mexico,2031,1925.0064886654318
New Mexico,2032,1916.8570263526017
New Mexico,2033,1920.046193084819
New Mexico,2034,1830.3783561121343
New Mexico,2035,1739.76559823548
New Mexico,2036,1866.5455042836334
New Mexico,2037,2157.255023706898
New Mexico,2038,1936.9297686684577
New Mexico,2039,1729.4930574777904
New Mexico,2040,1881.0485350686386
New Mexico,2041,1870.4796881074174
New Mexico,2042,1930.872979121451
New Mexico,2043,1707.758446616911
New Mexico,2044,1924.3292846251406
New Mexico,2045,1778.5632451334245
New Mexico,2046,1698.8903570360183
New Mexico,2047,1816.5725120922025
New Mexico,2048,1864.7393292624652
New Mexico,2049,1801.7535732525653
New Mexico,2050,1918.431492731159
New Mexico,2051,1897.1644278530916
New Mexico,2052,1602.0807483912677
New Mexico,2053,1978.909317893064
New Mexico,2054,1774.59832930104
New Mexico,2055,1828.5801027919701
New Mexico,2056,1676.8531767832212
New Mexico,2057,1492.9754508959609
New Mexico,2058,1812.8720690987425
New Mexico,2059,1911.493621028934
New Mexico,2060,1582.607593396563
New Mexico,2061,1371.2082071681534
New Mexico,2062,1668.8210161910893
New Mexico,2063,1753.6831509124045
New Mexico,2064,1729.357492359161
New Mexico,2065,1661.4953580890276
New Mexico,2066,1422.6485218453367
New Mexico,2067,1733.2037133185524
New Mexico,2068,1588.4297738537516
New Mexico,2069,1475.731969008609
New Mexico,2070,1510.2152684359405
New Mexico,2071,1585.8991312511303
New Mexico,2072,1593.793218389185
New Mexico,2073,1605.9251959882733
New Mexico,2074,1496.5860756164257
New Mexico,2075,1419.5980611674595
New Mexico,2076,1561.4788474980064
New Mexico,2077,1832.3678342898052
New Mexico,2078,1624.0384999169114
New Mexico,2079,1417.5771666565413
New Mexico,2080,1583.8017816958466
New Mexico,2081,1604.6246302352697
New Mexico,2082,1665.057155889864
New Mexico,2083,1456.880664439816
New Mexico,2084,1643.1703283779111
New Mexico,2085,1499.4486778336875
New Mexico,2086,1431.4320015920966
New Mexico,2087,1550.6468500234432
New Mexico,2088,1597.7194387903573
New Mexico,2089,1546.0270474492104
New Mexico,2090,1672.0376035605304
New Mexico,2091,1668.4602456784612
New Mexico,2092,1389.2754219890262
New Mexico,2093,1748.0168939481741
New Mexico,2094,1547.0931411116353
New Mexico,2095,1598.6985143769466
New Mexico,2096,1465.6755335306102
New Mexico,2097,1291.4234758112043
New Mexico,2098,1597.7791847471772
New Mexico,2099,1722.9936801729314
