rb,Year,Date
p134,2020,2020-06-06
p134,2020,2020-06-14
p134,2020,2020-06-15
p134,2020,2020-06-16
p134,2020,2020-06-17
p134,2020,2020-06-18
p134,2020,2020-06-23
p134,2020,2020-06-24
p134,2020,2020-06-25
p134,2020,2020-06-26
p134,2020,2020-06-27
p134,2020,2020-06-28
p134,2020,2020-06-29
p134,2020,2020-07-03
p134,2020,2020-07-04
p134,2020,2020-07-16
p134,2020,2020-07-17
p134,2020,2020-07-18
p134,2020,2020-07-19
p134,2020,2020-07-26
p134,2021,2021-06-08
p134,2021,2021-06-09
p134,2021,2021-06-10
p134,2021,2021-06-11
p134,2021,2021-06-20
p134,2021,2021-06-21
p134,2021,2021-06-22
p134,2021,2021-06-23
p134,2021,2021-07-21
p134,2021,2021-07-22
p134,2025,2025-06-16
p134,2025,2025-07-05
p134,2025,2025-07-06
p134,2027,2027-07-02
p134,2027,2027-07-03
p134,2027,2027-07-04
p134,2029,2029-06-17
p134,2029,2029-06-18
p134,2029,2029-06-19
p134,2029,2029-07-01
p134,2029,2029-07-02
p134,2029,2029-07-03
p134,2029,2029-07-16
p134,2029,2029-07-17
p134,2029,2029-07-18
p134,2029,2029-07-19
p134,2030,2030-06-05
p134,2030,2030-06-06
p134,2030,2030-06-08
p134,2030,2030-06-18
p134,2030,2030-06-23
p134,2030,2030-06-24
p134,2030,2030-06-25
p134,2030,2030-06-26
p134,2030,2030-06-27
p134,2030,2030-06-28
p134,2030,2030-06-29
p134,2031,2031-06-24
p134,2031,2031-06-25
p134,2032,2032-06-18
p134,2032,2032-06-19
p134,2032,2032-06-30
p134,2032,2032-07-05
p134,2032,2032-07-06
p134,2032,2032-07-07
p134,2033,2033-06-28
p134,2033,2033-07-06
p134,2033,2033-07-07
p134,2033,2033-07-08
p134,2034,2034-06-11
p134,2034,2034-06-13
p134,2034,2034-06-16
p134,2034,2034-06-17
p134,2034,2034-06-24
p134,2034,2034-06-25
p134,2034,2034-06-26
p134,2034,2034-06-27
p134,2034,2034-06-28
p134,2034,2034-06-29
p134,2034,2034-06-30
p134,2034,2034-07-01
p134,2034,2034-07-02
p134,2034,2034-07-03
p134,2034,2034-07-04
p134,2034,2034-07-05
p134,2034,2034-07-06
p134,2034,2034-07-07
p134,2034,2034-07-11
p134,2034,2034-07-12
p134,2034,2034-07-13
p134,2034,2034-08-07
p134,2034,2034-08-17
p134,2035,2035-07-23
p134,2035,2035-07-24
p134,2035,2035-07-25
p134,2035,2035-07-26
p134,2035,2035-07-27
p134,2035,2035-07-28
p134,2035,2035-07-29
p134,2035,2035-07-30
p134,2035,2035-08-06
p134,2035,2035-08-08
p134,2036,2036-06-05
p134,2036,2036-06-06
p134,2036,2036-06-10
p134,2036,2036-06-18
p134,2036,2036-06-19
p134,2036,2036-06-20
p134,2036,2036-06-21
p134,2036,2036-06-22
p134,2036,2036-07-05
p134,2036,2036-07-21
p134,2036,2036-07-22
p134,2036,2036-07-23
p134,2037,2037-06-29
p134,2037,2037-06-30
p134,2037,2037-07-01
p134,2037,2037-07-02
p134,2037,2037-07-03
p134,2037,2037-07-13
p134,2037,2037-07-14
p134,2038,2038-06-01
p134,2038,2038-06-02
p134,2038,2038-06-20
p134,2038,2038-06-23
p134,2038,2038-06-24
p134,2038,2038-06-25
p134,2038,2038-06-26
p134,2038,2038-06-27
p134,2038,2038-06-28
p134,2038,2038-06-29
p134,2038,2038-06-30
p134,2038,2038-07-11
p134,2038,2038-07-12
p134,2038,2038-07-13
p134,2038,2038-07-14
p134,2038,2038-07-15
p134,2038,2038-07-19
p134,2039,2039-06-26
p134,2039,2039-06-27
p134,2039,2039-06-28
p134,2039,2039-06-29
p134,2039,2039-06-30
p134,2039,2039-07-01
p134,2039,2039-07-02
p134,2040,2040-05-23
p134,2040,2040-05-24
p134,2040,2040-05-25
p134,2040,2040-05-30
p134,2040,2040-07-16
p134,2040,2040-07-18
p134,2040,2040-07-22
p134,2040,2040-07-24
p134,2040,2040-07-25
p134,2040,2040-07-26
p134,2040,2040-07-27
p134,2040,2040-07-28
p134,2040,2040-08-03
p134,2040,2040-08-04
p134,2041,2041-06-10
p134,2041,2041-06-11
p134,2041,2041-06-12
p134,2041,2041-07-12
p134,2041,2041-07-13
p134,2041,2041-07-23
p134,2042,2042-06-13
p134,2042,2042-06-15
p134,2042,2042-06-18
p134,2042,2042-06-19
p134,2042,2042-06-24
p134,2042,2042-06-25
p134,2042,2042-06-26
p134,2042,2042-07-01
p134,2042,2042-07-02
p134,2042,2042-08-12
p134,2042,2042-08-13
p134,2042,2042-08-15
p134,2042,2042-08-16
p134,2042,2042-08-17
p134,2042,2042-08-25
p134,2042,2042-08-26
p134,2042,2042-08-27
p134,2043,2043-07-02
p134,2043,2043-07-03
p134,2043,2043-07-09
p134,2043,2043-07-10
p134,2043,2043-07-11
p134,2043,2043-07-12
p134,2043,2043-07-13
p134,2043,2043-07-14
p134,2043,2043-07-15
p134,2043,2043-07-16
p134,2043,2043-07-19
p134,2043,2043-07-20
p134,2043,2043-07-22
