state,Year,cdd
New York,2020,3711.4835146925625
New York,2021,3733.41167627078
New York,2022,3777.938384752758
New York,2023,3820.6541793758824
New York,2024,3887.126018901144
New York,2025,3910.21344599004
New York,2026,3954.4473972700016
New York,2027,4000.391609020088
New York,2028,4069.5762494635965
New York,2029,4092.1593672429467
New York,2030,4135.390547926051
New York,2031,4184.632247863077
New York,2032,4254.7537837176915
New York,2033,4279.751867677267
New York,2034,4325.378806848747
New York,2035,4372.804128153034
New York,2036,4446.222868563369
New York,2037,4472.269735608445
New York,2038,4520.791640523848
New York,2039,4569.319221392437
New York,2040,4646.4692079738425
New York,2041,4672.8149339399115
New York,2042,4725.051599286007
New York,2043,4777.838406493464
New York,2044,4857.269443588487
New York,2045,4886.867434133721
New York,2046,4941.540054371592
New York,2047,4997.938136741763
New York,2048,5079.697001812501
New York,2049,5111.532269138698
New York,2050,5168.744485351055
New York,2051,5227.01910949331
New York,2052,5310.288129847505
New York,2053,5340.364896591295
New York,2054,5399.6073437464975
New York,2055,5457.248707698679
New York,2056,5542.94588945702
New York,2057,5572.852864296598
New York,2058,5630.56267802309
New York,2059,5688.94206449357
New York,2060,5775.471456167151
New York,2061,5806.374549046637
New York,2062,5863.266885208681
New York,2063,5923.758030094563
New York,2064,6009.833930256584
New York,2065,6041.571578523907
New York,2066,6099.926538168192
New York,2067,6158.879831537963
New York,2068,6247.730148567883
New York,2069,6277.528218701458
New York,2070,6337.66548024971
New York,2071,6396.317083950485
New York,2072,6487.849360626542
New York,2073,6518.1109011061735
New York,2074,6580.0136276015255
New York,2075,6639.185199624226
New York,2076,6729.704336465608
New York,2077,6761.976534559117
New York,2078,6823.063959395666
New York,2079,6885.10671039809
New York,2080,6976.367846633382
New York,2081,7008.770998567505
New York,2082,7072.026438515009
New York,2083,7136.427951990039
New York,2084,7231.380468405227
New York,2085,7262.408410755488
New York,2086,7327.6496571080015
New York,2087,7391.632998114201
New York,2088,7489.7403255630925
New York,2089,7521.849022514888
New York,2090,7587.192595050377
New York,2091,7654.61281592264
New York,2092,7755.008555979048
New York,2093,7789.858950549989
New York,2094,7856.6210678301195
New York,2095,7927.117525079856
New York,2096,8029.627237763933
New York,2097,8065.669696152831
New York,2098,8134.689923255548
New York,2099,8205.202752822886
