state,Year,cdd
New York,2020,3704.9018235723247
New York,2021,3552.6603590498303
New York,2022,3533.3734630968233
New York,2023,3363.411435016357
New York,2024,3420.8799556967883
New York,2025,3363.7418091141476
New York,2026,3400.1506756903445
New York,2027,3442.698407206749
New York,2028,3529.2883007813357
New York,2029,3540.3735109499285
New York,2030,3000.038366665223
New York,2031,3060.4979234027414
New York,2032,3448.677287347829
New York,2033,3476.995554662925
New York,2034,3520.4252628158783
New York,2035,3339.9520889459004
New York,2036,3513.180086889188
New York,2037,3420.97451020069
New York,2038,2904.5977362881595
New York,2039,3169.252840212618
New York,2040,3469.288229226416
New York,2041,3207.549286451801
New York,2042,3188.240660508666
New York,2043,3633.3872430181896
New York,2044,3394.2718623135415
New York,2045,3430.888468421305
New York,2046,3022.371331934628
New York,2047,3303.6250276046417
New York,2048,3267.0867922070174
New York,2049,3337.0070529640734
New York,2050,3120.134029668285
New York,2051,3075.537839693977
New York,2052,2753.415543913193
New York,2053,3233.922942974875
New York,2054,3363.9168197744852
New York,2055,3216.676596794982
New York,2056,3002.954045052032
New York,2057,2948.896839739254
New York,2058,3151.070512994442
New York,2059,3141.748329870038
New York,2060,3136.642899506207
New York,2061,3014.1423551107378
New York,2062,2954.9240597792113
New York,2063,2828.3161949310306
New York,2064,2860.3851523294634
New York,2065,2835.7284969672032
New York,2066,2861.5912054642613
New York,2067,2892.2370451072065
New York,2068,2972.24238170914
New York,2069,3017.8879084285763
New York,2070,2462.082367381118
New York,2071,2542.55503390891
New York,2072,2880.9233060875795
New York,2073,2869.4603373159384
New York,2074,2889.367066521848
New York,2075,2772.619073412095
New York,2076,2908.9861756544205
New York,2077,2792.825024302844
New York,2078,2330.235684773666
New York,2079,2557.694602248642
New York,2080,2837.9310289709615
New York,2081,2614.393318932856
New York,2082,2588.263511371405
New York,2083,2994.103064464922
New York,2084,2801.447464392445
New York,2085,2841.176548709481
New York,2086,2411.9901075393664
New York,2087,2735.39036060106
New York,2088,2671.834110027638
New York,2089,2731.5332659372434
New York,2090,2575.669040139471
New York,2091,2513.1081485668087
New York,2092,2230.762054696015
New York,2093,2657.0455810163858
New York,2094,2809.179152826513
New York,2095,2678.7861816134728
New York,2096,2489.175872060612
New York,2097,2392.711031882618
New York,2098,2600.741539050516
New York,2099,2545.538239954788
