state,Year,cdd
New York,2020,3382.8424224236064
New York,2021,3261.4625506566103
New York,2022,3202.263642130672
New York,2023,3036.229087286714
New York,2024,3047.0044703553067
New York,2025,3020.8681562769325
New York,2026,3032.068846895591
New York,2027,3107.8565892142665
New York,2028,3172.2322503954133
New York,2029,3158.5952093792102
New York,2030,2660.0156846252744
New York,2031,2701.0971118586554
New York,2032,3080.47682387213
New York,2033,3084.292828478364
New York,2034,3116.8459491519625
New York,2035,2994.4612474275914
New York,2036,3154.570606637374
New York,2037,3047.9528967796514
New York,2038,2588.722629580189
New York,2039,2789.809705342582
New York,2040,3066.6630889931375
New York,2041,2816.6950668215045
New York,2042,2787.5644667228403
New York,2043,3203.2391541305547
New York,2044,2989.797450742376
New York,2045,3029.5954439978054
New York,2046,2615.439461894815
New York,2047,2921.456228233465
New York,2048,2853.1579302564487
New York,2049,2933.292095510109
New York,2050,2762.4468150217763
New York,2051,2689.8012509835467
New York,2052,2402.5276405393015
New York,2053,2838.503217338522
New York,2054,2985.0284884706243
New York,2055,2869.5056991183037
New York,2056,2653.79461476427
New York,2057,2607.5053091985355
New York,2058,2771.6239293343406
New York,2059,2747.309536948088
New York,2060,2636.5354447178925
New York,2061,2518.571178419984
New York,2062,2492.1947537296824
New York,2063,2358.1211382750666
New York,2064,2361.238451791962
New York,2065,2365.8934606609164
New York,2066,2376.763576546604
New York,2067,2418.3116318814823
New York,2068,2522.5527629826274
New York,2069,2547.69266822103
New York,2070,2062.281305954524
New York,2071,2115.730508414586
New York,2072,2420.915812885208
New York,2073,2388.672467356926
New York,2074,2373.3164216310206
New York,2075,2297.4080255034596
New York,2076,2425.220246329801
New York,2077,2259.5616230684964
New York,2078,1881.2796741092213
New York,2079,2061.8474359470424
New York,2080,2278.4402250523344
New York,2081,2055.921318936348
New York,2082,2051.057764081225
New York,2083,2387.591075467519
New York,2084,2250.525265354758
New York,2085,2292.2497783664085
New York,2086,1894.709578178402
New York,2087,2208.557222903906
New York,2088,2094.0720554994004
New York,2089,2153.391687408056
New York,2090,2009.1692722155303
New York,2091,1954.8029238133786
New York,2092,1726.361199651935
New York,2093,2095.623991398444
New York,2094,2239.3301204069007
New York,2095,2130.068484899958
New York,2096,1947.8868126784068
New York,2097,1925.7267336977438
New York,2098,2094.7330019589226
New York,2099,2069.1092365642658
