state,Year,hdd
New York,2020,516.0974732075595
New York,2021,442.5302036620153
New York,2022,327.45892832920936
New York,2023,527.4093498924469
New York,2024,437.32240850476137
New York,2025,415.73695728010483
New York,2026,398.61528667991905
New York,2027,473.4579061321289
New York,2028,499.5935618277149
New York,2029,463.69496982509537
New York,2030,447.07264338291236
New York,2031,592.6125980519291
New York,2032,350.0929604815139
New York,2033,528.0027317767906
New York,2034,459.0238387790256
New York,2035,470.0370829853703
New York,2036,392.164391970518
New York,2037,422.774942692684
New York,2038,505.8387171711335
New York,2039,541.5926435789213
New York,2040,373.78816470168664
New York,2041,453.1802135440251
New York,2042,529.0786163112393
New York,2043,432.1622180273578
New York,2044,404.33046960989094
New York,2045,585.8929156502013
New York,2046,486.1472268396541
New York,2047,500.28101744526754
New York,2048,501.3465196103621
New York,2049,382.36188815077213
New York,2050,619.9646901064126
New York,2051,589.93221506192
New York,2052,599.5771339919884
New York,2053,523.954187456226
New York,2054,429.48308126178415
New York,2055,519.2245830741052
New York,2056,595.4572969550634
New York,2057,502.67559128774235
New York,2058,610.6476399180667
New York,2059,549.8725027922992
New York,2060,771.8011486375476
New York,2061,685.2292466170077
New York,2062,542.3638200411485
New York,2063,755.8398772045757
New York,2064,674.5069748390506
New York,2065,639.1529987934794
New York,2066,634.5398264632917
New York,2067,675.1615524108227
New York,2068,690.9798509072597
New York,2069,686.356529580173
New York,2070,686.0304822007992
New York,2071,839.8262467271662
New York,2072,557.3665694972884
New York,2073,758.0646083112749
New York,2074,689.865310542519
New York,2075,715.713208430022
New York,2076,620.2416085492227
New York,2077,652.4245687125499
New York,2078,730.8763723314669
New York,2079,773.666456169997
New York,2080,594.8635946926483
New York,2081,708.5424054487495
New York,2082,773.2009496944104
New York,2083,633.8603580386139
New York,2084,640.9539047100296
New York,2085,807.6915171236075
New York,2086,687.6862255608548
New York,2087,719.5262009010476
New York,2088,708.4729948058307
New York,2089,589.6541485917132
New York,2090,831.6788713941464
New York,2091,805.4293964296727
New York,2092,814.1394830528957
New York,2093,701.0235864488435
New York,2094,623.7728107771725
New York,2095,721.2272469896158
New York,2096,798.7328607845902
New York,2097,710.9552163780213
New York,2098,807.2038777454732
New York,2099,744.2235747594327
