state,Year,cdd
North Carolina,2020,2121.2146962843335
North Carolina,2021,2138.1694788306645
North Carolina,2022,1878.1097940816226
North Carolina,2023,2038.4618939663474
North Carolina,2024,1852.4818884098568
North Carolina,2025,1825.3576590559396
North Carolina,2026,1759.4450194443075
North Carolina,2027,2003.8369432705497
North Carolina,2028,2050.751475720742
North Carolina,2029,1976.7759218414176
North Carolina,2030,1447.989237803777
North Carolina,2031,1624.7715096198474
North Carolina,2032,1786.9382183962443
North Carolina,2033,1924.306056596694
North Carolina,2034,1739.1092256399988
North Carolina,2035,1911.855140968481
North Carolina,2036,2033.1785192677112
North Carolina,2037,1846.5027454453368
North Carolina,2038,1541.8716121212017
North Carolina,2039,1674.9434684679063
North Carolina,2040,1970.5572576118468
North Carolina,2041,1711.7068634811583
North Carolina,2042,1797.5399497695043
North Carolina,2043,1897.6905646697837
North Carolina,2044,1878.9058630193604
North Carolina,2045,1850.4679966998883
North Carolina,2046,1635.0428164325083
North Carolina,2047,1631.0672562235736
North Carolina,2048,1720.7284001517332
North Carolina,2049,1815.4922169780536
North Carolina,2050,2002.0277915344138
North Carolina,2051,1594.8546397837022
North Carolina,2052,1412.4195346318438
North Carolina,2053,1782.1300330949475
North Carolina,2054,1922.1414749356416
North Carolina,2055,1622.5109108275346
North Carolina,2056,1619.2786093499249
North Carolina,2057,1461.8673350107204
North Carolina,2058,1770.5622396636163
North Carolina,2059,1551.2210306682832
North Carolina,2060,1724.157040746674
North Carolina,2061,1733.6581264314732
North Carolina,2062,1508.495553137692
North Carolina,2063,1660.3966051683346
North Carolina,2064,1487.0857483457794
North Carolina,2065,1533.2384590905501
North Carolina,2066,1437.8581668779884
North Carolina,2067,1623.1685835957974
North Carolina,2068,1669.5909029270101
North Carolina,2069,1610.620669509327
North Carolina,2070,1111.3611861410886
North Carolina,2071,1304.8681540410205
North Carolina,2072,1433.23504424952
North Carolina,2073,1553.8318500926698
North Carolina,2074,1376.9785230829002
North Carolina,2075,1557.5413910409316
North Carolina,2076,1655.9519607606912
North Carolina,2077,1441.5932865105462
North Carolina,2078,1177.5235969596854
North Carolina,2079,1300.7956658242388
North Carolina,2080,1566.6603939138631
North Carolina,2081,1328.2472867932213
North Carolina,2082,1426.1208606608047
North Carolina,2083,1530.7553082180154
North Carolina,2084,1528.3946913308293
North Carolina,2085,1497.6602205036593
North Carolina,2086,1272.5163489950478
North Carolina,2087,1310.4598768383391
North Carolina,2088,1371.570308238639
North Carolina,2089,1457.8492136916584
North Carolina,2090,1651.6713516021146
North Carolina,2091,1260.736172021306
North Carolina,2092,1094.4018488255388
North Carolina,2093,1433.4150594767134
North Carolina,2094,1595.0709788165432
North Carolina,2095,1299.1964681443794
North Carolina,2096,1302.5891852130142
North Carolina,2097,1133.9079182655717
North Carolina,2098,1429.6866559820853
North Carolina,2099,1229.2138641091672
