state,Year,hdd
North Carolina,2020,938.0751741246361
North Carolina,2021,1007.6377210923808
North Carolina,2022,1079.702145734626
North Carolina,2023,1150.2067162376056
North Carolina,2024,1224.975114170199
North Carolina,2025,1300.4818888191587
North Carolina,2026,1377.6719002996215
North Carolina,2027,1456.3757295577825
North Carolina,2028,1536.1827604632135
North Carolina,2029,1618.8226487875086
North Carolina,2030,1701.1068748878274
North Carolina,2031,1785.6737417784595
North Carolina,2032,1872.1226655837777
North Carolina,2033,1961.3165814665176
North Carolina,2034,2052.1695487422426
North Carolina,2035,2143.4714421682056
North Carolina,2036,2238.539016441246
North Carolina,2037,2334.029197592957
North Carolina,2038,2432.1450975836856
North Carolina,2039,2532.461934613052
North Carolina,2040,2631.7632892900374
North Carolina,2041,2736.3145409387553
North Carolina,2042,2841.2787337138357
North Carolina,2043,2946.3200967534567
North Carolina,2044,3056.112206094445
North Carolina,2045,3167.089611160397
North Carolina,2046,3279.6104882392456
North Carolina,2047,3396.6813211436033
North Carolina,2048,3517.0751495466243
North Carolina,2049,3643.512209096474
North Carolina,2050,3771.9254668867243
North Carolina,2051,3904.598561376917
North Carolina,2052,4039.904156020375
North Carolina,2053,4178.611767524877
North Carolina,2054,4316.817152658192
North Carolina,2055,4460.832671457721
North Carolina,2056,4608.85804390982
North Carolina,2057,4758.70826390794
North Carolina,2058,4908.4216320629985
North Carolina,2059,5060.906588109217
North Carolina,2060,5215.8307072973475
North Carolina,2061,5363.588336616112
North Carolina,2062,5516.229621447734
North Carolina,2063,5665.546898010698
North Carolina,2064,5824.479136388398
North Carolina,2065,5969.45798392329
North Carolina,2066,6121.839182735385
North Carolina,2067,6271.978880180673
North Carolina,2068,6430.907996201872
North Carolina,2069,6576.201060086642
North Carolina,2070,6726.965227525541
North Carolina,2071,6879.828564762989
North Carolina,2072,7037.784792383245
North Carolina,2073,7182.406304947683
North Carolina,2074,7332.362232132662
North Carolina,2075,7485.380516844396
North Carolina,2076,7647.259602888622
North Carolina,2077,7788.029907348582
North Carolina,2078,7939.904129869764
North Carolina,2079,8090.480433754166
North Carolina,2080,8255.505776004033
North Carolina,2081,8393.668947986453
North Carolina,2082,8546.664458382824
North Carolina,2083,8697.051398939968
North Carolina,2084,8863.012546639307
North Carolina,2085,9001.615938103732
North Carolina,2086,9152.428682485594
North Carolina,2087,9305.070364798199
North Carolina,2088,9471.366431013113
North Carolina,2089,9608.555356357174
North Carolina,2090,9758.55511526468
North Carolina,2091,9911.072608000732
North Carolina,2092,10079.870612645962
North Carolina,2093,10214.5186499601
North Carolina,2094,10367.148948225045
North Carolina,2095,10516.302311631614
North Carolina,2096,10688.099992708418
North Carolina,2097,10820.461732110072
North Carolina,2098,10973.197234115052
North Carolina,2099,11123.501878481604
