state,Year,hdd
North Carolina,2020,1017.6662763354864
North Carolina,2021,889.268255733201
North Carolina,2022,823.439300147151
North Carolina,2023,919.0924883531482
North Carolina,2024,859.7182040915261
North Carolina,2025,912.9930127014161
North Carolina,2026,1027.9857836248616
North Carolina,2027,1004.8395720895799
North Carolina,2028,915.9805956982127
North Carolina,2029,948.3115811209959
North Carolina,2030,1010.5830640198283
North Carolina,2031,1002.3934106896264
North Carolina,2032,824.2911536676454
North Carolina,2033,1083.9280850892083
North Carolina,2034,862.6979693127992
North Carolina,2035,987.136566050193
North Carolina,2036,944.3690522350761
North Carolina,2037,838.6072547127072
North Carolina,2038,1091.4875500959063
North Carolina,2039,951.5879325711562
North Carolina,2040,929.2213526623295
North Carolina,2041,914.6793277398435
North Carolina,2042,1118.0476514459874
North Carolina,2043,882.1915515703818
North Carolina,2044,990.6372387947074
North Carolina,2045,1029.2984451135728
North Carolina,2046,940.9461095245624
North Carolina,2047,1130.3757573621542
North Carolina,2048,1001.8851537239385
North Carolina,2049,969.0047653027983
North Carolina,2050,1283.8354006597667
North Carolina,2051,1234.7924807576146
North Carolina,2052,1064.0123516554318
North Carolina,2053,908.8650691385157
North Carolina,2054,987.6371049211134
North Carolina,2055,1099.7914254799107
North Carolina,2056,1243.4651620692196
North Carolina,2057,1121.3260777807218
North Carolina,2058,1251.8317002471586
North Carolina,2059,1289.9911941636924
North Carolina,2060,1382.441121376004
North Carolina,2061,1276.5365235104284
North Carolina,2062,1187.147606088056
North Carolina,2063,1251.511365320259
North Carolina,2064,1201.9815364759302
North Carolina,2065,1320.4537442534604
North Carolina,2066,1413.2245219687416
North Carolina,2067,1355.3828055112126
North Carolina,2068,1311.431689353059
North Carolina,2069,1315.0409698843516
North Carolina,2070,1432.0674687395433
North Carolina,2071,1409.3536088219657
North Carolina,2072,1185.542658668676
North Carolina,2073,1492.928223572077
North Carolina,2074,1242.250394061037
North Carolina,2075,1416.676657216248
North Carolina,2076,1315.5331905539153
North Carolina,2077,1191.6367538968489
North Carolina,2078,1547.4687862135688
North Carolina,2079,1388.3906763078926
North Carolina,2080,1389.483788496992
North Carolina,2081,1394.6714718466772
North Carolina,2082,1591.7411725528498
North Carolina,2083,1281.225293854685
North Carolina,2084,1406.4111784377187
North Carolina,2085,1461.2928743581356
North Carolina,2086,1412.932320661422
North Carolina,2087,1622.6251810074248
North Carolina,2088,1451.4444811749863
North Carolina,2089,1400.251846130955
North Carolina,2090,1726.4983984105406
North Carolina,2091,1755.7122463363953
North Carolina,2092,1555.6567869036921
North Carolina,2093,1338.6367676984569
North Carolina,2094,1438.22832423215
North Carolina,2095,1607.9016131779367
North Carolina,2096,1729.2629586547453
North Carolina,2097,1638.798954543529
North Carolina,2098,1678.8346198204204
North Carolina,2099,1763.4968186223307
